»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 11:10:3
Configured:	06/27/25 10:20:27 AM
Executed:	06/27/25 11:09:40 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1242
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0034	-13.237140	0.000368	3.677984	0.623067	0.007355
   2	5.0000e-04	0.0058	-13.200365	0.000368	3.677984	0.623067	0.007355
   3	1.0000e-03	0.0177	-13.126813	0.000736	7.355968	1.246135	0.014710
   4	1.5000e-03	0.0266	-13.119971	0.000068	0.684276	0.115920	0.001368
   5	2.0000e-03	0.0383	-13.087472	0.000325	3.250312	0.550618	0.006500
   6	2.5000e-03	0.0481	-13.054972	0.000325	3.250312	0.550618	0.006500
   7	3.0000e-03	0.0587	-13.007506	0.000475	4.747166	0.804192	0.009493
   8	3.5000e-03	0.0661	-12.977144	0.000304	3.036475	0.514393	0.006072
   9	4.0000e-03	0.0775	-12.962177	0.000150	1.496854	0.253574	0.002993
  10	4.5000e-03	0.0869	-12.913856	0.000483	4.832700	0.818682	0.009664
  11	5.0000e-03	0.0983	-12.883922	0.000299	2.993708	0.507148	0.005987
  12	5.5000e-03	0.1078	-12.850567	0.000334	3.335846	0.565108	0.006671
  13	6.0000e-03	0.1163	-12.825337	0.000252	2.523268	0.427453	0.005046
  14	6.5000e-03	0.1268	-12.778298	0.000470	4.704398	0.796947	0.009408
  15	7.0000e-03	0.1376	-12.739812	0.000385	3.849053	0.652047	0.007697
  16	7.5000e-03	0.1476	-12.718431	0.000214	2.138363	0.362248	0.004276
  17	8.0000e-03	0.1564	-12.682510	0.000359	3.592450	0.608577	0.007184
  18	8.5000e-03	0.1653	-12.647017	0.000355	3.549682	0.601332	0.007099
  19	9.0000e-03	0.1747	-12.633761	0.000133	1.325785	0.224594	0.002651
  20	9.5000e-03	0.1875	-12.573894	0.000599	5.987416	1.014296	0.011974
  21	1.0000e-02	0.1980	-12.543960	0.000299	2.993708	0.507148	0.005987
  22	1.0500e-02	0.2084	-12.528993	0.000150	1.496854	0.253574	0.002993
  23	1.1000e-02	0.2164	-12.469553	0.000594	5.944649	1.007051	0.011888
  24	1.1500e-02	0.2282	-12.447744	0.000218	2.181130	0.369493	0.004362
