»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 14:46:12
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 02:45:40 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0041	-15.717516	0.000364	3.643740	0.617266	0.000036
   2	9.9500e-02	0.0044	-15.681263	0.000364	3.643740	0.617266	0.000036
   3	1.9900e-01	0.0159	-15.639306	0.000422	4.216912	0.714364	0.000042
   4	2.9850e-01	0.0243	-15.598572	0.000409	4.094089	0.693558	0.000041
   5	3.9800e-01	0.0349	-15.558245	0.000405	4.053148	0.686622	0.000041
   6	4.9750e-01	0.0472	-15.514252	0.000442	4.421617	0.749042	0.000044
   7	5.9700e-01	0.0546	-15.475962	0.000385	3.848444	0.651944	0.000038
   8	6.9650e-01	0.0635	-15.433598	0.000426	4.257853	0.721300	0.000043
   9	7.9600e-01	0.0743	-15.392864	0.000409	4.094089	0.693558	0.000041
  10	8.9550e-01	0.0849	-15.351722	0.000414	4.135030	0.700493	0.000041
  11	9.9500e-01	0.0951	-15.307729	0.000442	4.421617	0.749042	0.000044
  12	1.0945e+00	0.1041	-15.269439	0.000385	3.848444	0.651944	0.000038
  13	1.1940e+00	0.1141	-15.226668	0.000430	4.298794	0.728235	0.000043
  14	1.2935e+00	0.1256	-15.187156	0.000397	3.971267	0.672751	0.000040
  15	1.3930e+00	0.1384	-15.143978	0.000434	4.339735	0.735171	0.000043
  16	1.4925e+00	0.1457	-15.096726	0.000475	4.749144	0.804527	0.000047
  17	1.5920e+00	0.1559	-15.054770	0.000422	4.216912	0.714364	0.000042
  18	1.6915e+00	0.1648	-15.007518	0.000475	4.749144	0.804527	0.000047
  19	1.7910e+00	0.1770	-14.966376	0.000414	4.135030	0.700493	0.000041
  20	1.8905e+00	0.1843	-14.922791	0.000438	4.380676	0.742107	0.000044
  21	1.9900e+00	0.1952	-14.881242	0.000418	4.175971	0.707429	0.000042
  22	2.0895e+00	0.2034	-14.841322	0.000401	4.012208	0.679686	0.000040
  23	2.1890e+00	0.2151	-14.798959	0.000426	4.257853	0.721300	0.000043
  24	2.2885e+00	0.2231	-14.757002	0.000422	4.216912	0.714364	0.000042
