»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 16:51:57
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 04:51:29 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0038	-12.355163	0.000543	5.428480	0.919609	0.010862
   2	5.0000e-04	0.0048	-12.300855	0.000543	5.428480	0.919609	0.010862
   3	1.0000e-03	0.0168	-12.279474	0.000214	2.137197	0.362051	0.004276
   4	1.5000e-03	0.0271	-12.236283	0.000432	4.317138	0.731343	0.008638
   5	2.0000e-03	0.0351	-12.231152	0.000051	0.512927	0.086892	0.001026
   6	2.5000e-03	0.0460	-12.189672	0.000415	4.146162	0.702379	0.008296
   7	3.0000e-03	0.0610	-12.170429	0.000192	1.923477	0.325846	0.003849
   8	3.5000e-03	0.0648	-12.136219	0.000342	3.419515	0.579282	0.006842
   9	4.0000e-03	0.0742	-12.112700	0.000235	2.350917	0.398256	0.004704
  10	4.5000e-03	0.0887	-12.071648	0.000410	4.103418	0.695138	0.008210
  11	5.0000e-03	0.0957	-12.039148	0.000325	3.248539	0.550317	0.006500
  12	5.5000e-03	0.1064	-12.012635	0.000265	2.650124	0.448943	0.005303
  13	6.0000e-03	0.1127	-11.987833	0.000248	2.479148	0.419979	0.004960
  14	6.5000e-03	0.1262	-11.970728	0.000171	1.709758	0.289641	0.003421
  15	7.0000e-03	0.1353	-11.916420	0.000543	5.428480	0.919609	0.010862
  16	7.5000e-03	0.1453	-11.899315	0.000171	1.709758	0.289641	0.003421
  17	8.0000e-03	0.1569	-11.886486	0.000128	1.282318	0.217231	0.002566
  18	8.5000e-03	0.1636	-11.862967	0.000235	2.350917	0.398256	0.004704
  19	9.0000e-03	0.1745	-11.819776	0.000432	4.317138	0.731343	0.008638
  20	9.5000e-03	0.1864	-11.798395	0.000214	2.137197	0.362051	0.004276
  21	1.0000e-02	0.1967	-11.755633	0.000427	4.274394	0.724102	0.008553
  22	1.0500e-02	0.2054	-11.737245	0.000184	1.837989	0.311364	0.003678
  23	1.1000e-02	0.2141	-11.723561	0.000137	1.367806	0.231713	0.002737
  24	1.1500e-02	0.2262	-11.673956	0.000496	4.958297	0.839958	0.009921
  25	1.2000e-02	0.2364	-11.639319	0.000346	3.462259	0.586523	0.006928
  26	1.2500e-02	0.2469	-11.618793	0.000205	2.051709	0.347569	0.004105
  27	1.3000e-02	0.2570	-11.581589	0.000372	3.718723	0.629969	0.007441
  28	1.3500e-02	0.2619	-11.547379	0.000342	3.419515	0.579282	0.006842
  29	1.4000e-02	0.2763	-11.539682	0.000077	0.769391	0.130338	0.001539
  30	1.4500e-02	0.2872	-11.504617	0.000351	3.505003	0.593764	0.007013
  31	1.5000e-02	0.2956	-11.463992	0.000406	4.060674	0.687897	0.008125
  32	1.5500e-02	0.3085	-11.452019	0.000120	1.196830	0.202749	0.002395
  33	1.6000e-02	0.3175	-11.415671	0.000363	3.633235	0.615487	0.007270
  34	1.6500e-02	0.3286	-11.396000	0.000197	1.966221	0.333087	0.003934
  35	1.7000e-02	0.3361	-11.352382	0.000436	4.359882	0.738584	0.008724
  36	1.7500e-02	0.3470	-11.318172	0.000342	3.419515	0.579282	0.006842
  37	1.8000e-02	0.3579	-11.304916	0.000133	1.325062	0.224472	0.002651
  38	1.8500e-02	0.3638	-11.256166	0.000487	4.872809	0.825476	0.009750
  39	1.9000e-02	0.3769	-11.233075	0.000231	2.308173	0.391015	0.004618
  40	1.9500e-02	0.3882	-11.205279	0.000278	2.778356	0.470666	0.005559
  41	2.0000e-02	0.3995	-11.190312	0.000150	1.496038	0.253436	0.002993
  42	2.0500e-02	0.4068	-11.165510	0.000248	2.479148	0.419979	0.004960
  43	2.1000e-02	0.4156	-11.130444	0.000351	3.505003	0.593764	0.007013
  44	2.1500e-02	0.4288	-11.100083	0.000303	3.034820	0.514112	0.006072
  45	2.2000e-02	0.4360	-11.062024	0.000380	3.804211	0.644451	0.007612
  46	2.2500e-02	0.4490	-11.036367	0.000256	2.564636	0.434461	0.005132
  47	2.3000e-02	0.4570	-11.025676	0.000107	1.068598	0.181025	0.002138
  48	2.3500e-02	0.4688	-10.985052	0.000406	4.060674	0.687897	0.008125
  49	2.4000e-02	0.4762	-10.944427	0.000406	4.060674	0.687897	0.008125
  50	2.4500e-02	0.4850	-10.931599	0.000128	1.282318	0.217231	0.002566
  51	2.5000e-02	0.4947	-10.902948	0.000286	2.863844	0.485148	0.005730
  52	2.5500e-02	0.5064	-10.870021	0.000329	3.291283	0.557558	0.006585
  53	2.6000e-02	0.5183	-10.840515	0.000295	2.949332	0.499630	0.005901
  54	2.6500e-02	0.5264	-10.807160	0.000333	3.334027	0.564800	0.006671
  55	2.7000e-02	0.5385	-10.785778	0.000214	2.137197	0.362051	0.004276
  56	2.7500e-02	0.5453	-10.752851	0.000329	3.291283	0.557558	0.006585
  57	2.8000e-02	0.5577	-10.725911	0.000269	2.692868	0.456184	0.005388
  58	2.8500e-02	0.5682	-10.686997	0.000389	3.889698	0.658933	0.007783
  59	2.9000e-02	0.5767	-10.672885	0.000141	1.410550	0.238954	0.002822
  60	2.9500e-02	0.5872	-10.646373	0.000265	2.650124	0.448943	0.005303
  61	3.0000e-02	0.5969	-10.607031	0.000393	3.932442	0.666174	0.007868
  62	3.0500e-02	0.6087	-10.572821	0.000342	3.419515	0.579282	0.006842
  63	3.1000e-02	0.6155	-10.536473	0.000363	3.633235	0.615487	0.007270
  64	3.1500e-02	0.6275	-10.511671	0.000248	2.479148	0.419979	0.004960
  65	3.2000e-02	0.6386	-10.503118	0.000085	0.854879	0.144820	0.001711
  66	3.2500e-02	0.6454	-10.451803	0.000513	5.129273	0.868922	0.010263
  67	3.3000e-02	0.6553	-10.434698	0.000171	1.709758	0.289641	0.003421
  68	3.3500e-02	0.6667	-10.409041	0.000256	2.564636	0.434461	0.005132
  69	3.4000e-02	0.6740	-10.368416	0.000406	4.060674	0.687897	0.008125
  70	3.4500e-02	0.6860	-10.345324	0.000231	2.308173	0.391015	0.004618
  71	3.5000e-02	0.6939	-10.330785	0.000145	1.453294	0.246195	0.002908
  72	3.5500e-02	0.7057	-10.302562	0.000282	2.821100	0.477907	0.005645
  73	3.6000e-02	0.7181	-10.263648	0.000389	3.889698	0.658933	0.007783
  74	3.6500e-02	0.7258	-10.238846	0.000248	2.479148	0.419979	0.004960
  75	3.7000e-02	0.7365	-10.203353	0.000355	3.547747	0.601005	0.007099
  76	3.7500e-02	0.7469	-10.190952	0.000124	1.239574	0.209990	0.002480
  77	3.8000e-02	0.7569	-10.149472	0.000415	4.146162	0.702379	0.008296
  78	3.8500e-02	0.7663	-10.122532	0.000269	2.692868	0.456184	0.005388
  79	3.9000e-02	0.7772	-10.099868	0.000227	2.265429	0.383774	0.004533
  80	3.9500e-02	0.7842	-10.084473	0.000154	1.538782	0.260677	0.003079
  81	4.0000e-02	0.7983	-10.054112	0.000303	3.034820	0.514112	0.006072
  82	4.0500e-02	0.8050	-10.004507	0.000496	4.958297	0.839958	0.009921
  83	4.1000e-02	0.8165	-9.984836	0.000197	1.966221	0.333087	0.003934
  84	4.1500e-02	0.8245	-9.962600	0.000222	2.222685	0.376533	0.004447
  85	4.2000e-02	0.8369	-9.933949	0.000286	2.863844	0.485148	0.005730
  86	4.2500e-02	0.8463	-9.892469	0.000415	4.146162	0.702379	0.008296
  87	4.3000e-02	0.8566	-9.872371	0.000201	2.008965	0.340328	0.004020
  88	4.3500e-02	0.8660	-9.846713	0.000256	2.564636	0.434461	0.005132
  89	4.4000e-02	0.8762	-9.805661	0.000410	4.103418	0.695138	0.008210
  90	4.4500e-02	0.8857	-9.780431	0.000252	2.521892	0.427220	0.005046
  91	4.5000e-02	0.8974	-9.758623	0.000218	2.179941	0.369292	0.004362
  92	4.5500e-02	0.9023	-9.708590	0.000500	5.001041	0.847199	0.010006
  93	4.6000e-02	0.9186	-9.680795	0.000278	2.778356	0.470666	0.005559
  94	4.6500e-02	0.9264	-9.662835	0.000180	1.795245	0.304123	0.003592
  95	4.7000e-02	0.9359	-9.669249	-0.000064	-0.641159	-0.108615	-0.001283
  96	4.7500e-02	0.9453	-9.605960	0.000633	6.326103	1.071671	0.012658
  97	4.8000e-02	0.9596	-9.598263	0.000077	0.769391	0.130338	0.001539
  98	4.8500e-02	0.9647	-9.537968	0.000603	6.026895	1.020984	0.012059
  99	4.9000e-02	0.9772	-9.526422	0.000115	1.154086	0.195508	0.002309
