»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 16:39:40
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 04:39:07 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0021	-14.243954	0.000324	3.235120	0.548044	0.000032
   2	9.9500e-02	0.0040	-14.211774	0.000324	3.235120	0.548044	0.000032
   3	1.9900e-01	0.0195	-14.176743	0.000352	3.521777	0.596605	0.000035
   4	2.9850e-01	0.0237	-14.142526	0.000344	3.439875	0.582731	0.000034
   5	3.9800e-01	0.0364	-14.106273	0.000364	3.644629	0.617417	0.000036
   6	4.9750e-01	0.0478	-14.073685	0.000328	3.276071	0.554982	0.000033
   7	5.9700e-01	0.0560	-14.037432	0.000364	3.644629	0.617417	0.000036
   8	6.9650e-01	0.0646	-14.001993	0.000356	3.562728	0.603542	0.000036
   9	7.9600e-01	0.0753	-13.966961	0.000352	3.521777	0.596605	0.000035
  10	8.9550e-01	0.0830	-13.931930	0.000352	3.521777	0.596605	0.000035
  11	9.9500e-01	0.0950	-13.895676	0.000364	3.644629	0.617417	0.000036
  12	1.0945e+00	0.1031	-13.858201	0.000377	3.767482	0.638229	0.000038
  13	1.1940e+00	0.1137	-13.824392	0.000340	3.398924	0.575793	0.000034
  14	1.2935e+00	0.1253	-13.790582	0.000340	3.398924	0.575793	0.000034
  15	1.3930e+00	0.1359	-13.753107	0.000377	3.767482	0.638229	0.000038
  16	1.4925e+00	0.1436	-13.718075	0.000352	3.521777	0.596605	0.000035
  17	1.5920e+00	0.1566	-13.679785	0.000385	3.849384	0.652103	0.000038
  18	1.6915e+00	0.1637	-13.644346	0.000356	3.562728	0.603542	0.000036
  19	1.7910e+00	0.1775	-13.613388	0.000311	3.112268	0.527232	0.000031
  20	1.8905e+00	0.1872	-13.573061	0.000405	4.054138	0.686790	0.000041
  21	1.9900e+00	0.1939	-13.538030	0.000352	3.521777	0.596605	0.000035
  22	2.0895e+00	0.2030	-13.501776	0.000364	3.644629	0.617417	0.000036
  23	2.1890e+00	0.2151	-13.467559	0.000344	3.439875	0.582731	0.000034
  24	2.2885e+00	0.2260	-13.432528	0.000352	3.521777	0.596605	0.000035
