»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 17:22:12
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 05:21:11 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1511	-14.079197	0.000452	4.517627	0.765307	0.892010
   2	1.0000e-04	0.3504	-13.187187	0.000452	4.517627	0.765307	0.892010
   3	2.0000e-04	0.5345	-11.963858	0.000620	6.195603	1.049564	1.223328
   4	3.0000e-04	0.7632	-11.457779	0.000256	2.563062	0.434194	0.506079
   5	4.0000e-04	0.9534	-11.144665	0.000159	1.585779	0.268638	0.313114
   6	5.0000e-04	1.1402	-10.343677	0.000406	4.056645	0.687214	0.800989
   7	6.0000e-04	1.3516	-9.462589	0.000446	4.462310	0.755936	0.881088
   8	7.0000e-04	1.5500	-8.818157	0.000326	3.263755	0.552895	0.644432
   9	8.0000e-04	1.7569	-8.381254	0.000221	2.212715	0.374844	0.436903
  10	9.0000e-04	1.9461	-7.693132	0.000349	3.485027	0.590380	0.688122
  11	1.0000e-03	2.1445	-6.903066	0.000400	4.001327	0.677843	0.790066
  12	1.1000e-03	2.3550	-6.313247	0.000299	2.987166	0.506040	0.589819
  13	1.2000e-03	2.5595	-5.774400	0.000273	2.729016	0.462308	0.538847
  14	1.3000e-03	2.7432	-5.075356	0.000354	3.540345	0.599751	0.699045
  15	1.4000e-03	2.9556	-4.485537	0.000299	2.987166	0.506040	0.589819
  16	1.5000e-03	3.1531	-3.837464	0.000328	3.282195	0.556019	0.648073
  17	1.6000e-03	3.3482	-3.211236	0.000317	3.171559	0.537277	0.626228
  18	1.7000e-03	3.5526	-2.676030	0.000271	2.710576	0.459184	0.535206
  19	1.8000e-03	3.7521	-2.031599	0.000326	3.263755	0.552895	0.644432
  20	1.9000e-03	3.9450	-1.412653	0.000313	3.134680	0.531029	0.618946
  21	2.0000e-03	4.1544	-0.884728	0.000267	2.673698	0.452937	0.527924
  22	2.1000e-03	4.3497	-0.327677	0.000282	2.821212	0.477926	0.557051
  23	2.2000e-03	4.5529	0.283987	0.000310	3.097802	0.524782	0.611664
  24	2.3000e-03	4.7516	0.848320	0.000286	2.858091	0.484174	0.564333
  25	2.4000e-03	4.9515	1.401730	0.000280	2.802773	0.474803	0.553410
  26	2.5000e-03	5.1566	1.976986	0.000291	2.913409	0.493545	0.575256
  27	2.6000e-03	5.3488	2.581368	0.000306	3.060923	0.518534	0.604382
  28	2.7000e-03	5.5508	3.007348	0.000216	2.157398	0.365473	0.425980
  29	2.8000e-03	5.7535	3.608090	0.000304	3.042484	0.515411	0.600742
  30	2.9000e-03	5.9500	4.161500	0.000280	2.802773	0.474803	0.553410
  31	3.0000e-03	6.1545	4.667580	0.000256	2.563062	0.434194	0.506079
  32	3.1000e-03	6.3559	5.188222	0.000264	2.636819	0.446689	0.520643
  33	3.2000e-03	6.5475	5.745273	0.000282	2.821212	0.477926	0.557051
  34	3.3000e-03	6.7538	6.178536	0.000219	2.194276	0.371720	0.433262
  35	3.4000e-03	6.9516	6.710101	0.000269	2.692137	0.456060	0.531565
  36	3.5000e-03	7.1506	7.256229	0.000277	2.765894	0.468555	0.546129
  37	3.6000e-03	7.3544	7.725900	0.000238	2.378669	0.402957	0.469671
  38	3.7000e-03	7.5589	8.184648	0.000232	2.323351	0.393586	0.458748
  39	3.8000e-03	7.7493	8.712572	0.000267	2.673698	0.452937	0.527924
  40	3.9000e-03	7.9541	9.120349	0.000207	2.065201	0.349855	0.407776
  41	4.0000e-03	8.1516	9.662836	0.000275	2.747455	0.465431	0.542488
  42	4.1000e-03	8.3481	10.165275	0.000254	2.544623	0.431071	0.502438
  43	4.2000e-03	8.5544	10.576692	0.000208	2.083640	0.352978	0.411417
  44	4.3000e-03	8.7497	11.046362	0.000238	2.378669	0.402957	0.469671
  45	4.4000e-03	8.9584	11.523315	0.000242	2.415548	0.409205	0.476952
  46	4.5000e-03	9.1440	12.022112	0.000253	2.526183	0.427947	0.498798
  47	4.6000e-03	9.3497	12.426247	0.000205	2.046762	0.346731	0.404135
  48	4.7000e-03	9.5523	12.906841	0.000243	2.433987	0.412329	0.480593
