»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/27/2025 - 17:8:11
Configured:	06/27/25 11:23:28 AM
Executed:	06/27/25 05:07:40 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.9 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1276
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0047	-18.192122	0.000393	3.930776	0.665891	0.000039
   2	9.9500e-02	0.0050	-18.153017	0.000393	3.930776	0.665891	0.000039
   3	1.9900e-01	0.0153	-18.106173	0.000471	4.708742	0.797682	0.000047
   4	2.9850e-01	0.0227	-18.062180	0.000442	4.422123	0.749128	0.000044
   5	3.9800e-01	0.0350	-18.023075	0.000393	3.930776	0.665891	0.000039
   6	4.9750e-01	0.0465	-17.977860	0.000454	4.544959	0.769937	0.000045
   7	5.9700e-01	0.0545	-17.933867	0.000442	4.422123	0.749128	0.000044
   8	6.9650e-01	0.0663	-17.894355	0.000397	3.971721	0.672828	0.000040
   9	7.9600e-01	0.0760	-17.852398	0.000422	4.217395	0.714446	0.000042
  10	8.9550e-01	0.0845	-17.810849	0.000418	4.176449	0.707510	0.000042
  11	9.9500e-01	0.0935	-17.764005	0.000471	4.708742	0.797682	0.000047
  12	1.0945e+00	0.1051	-17.728159	0.000360	3.603211	0.610400	0.000036
  13	1.1940e+00	0.1138	-17.686610	0.000418	4.176449	0.707510	0.000042
  14	1.2935e+00	0.1254	-17.640580	0.000463	4.626851	0.783810	0.000046
  15	1.3930e+00	0.1336	-17.601475	0.000393	3.930776	0.665891	0.000039
  16	1.4925e+00	0.1433	-17.555038	0.000467	4.667796	0.790746	0.000047
  17	1.5920e+00	0.1543	-17.512267	0.000430	4.299286	0.728319	0.000043
  18	1.6915e+00	0.1631	-17.472348	0.000401	4.012667	0.679764	0.000040
  19	1.7910e+00	0.1752	-17.434872	0.000377	3.766993	0.638146	0.000038
  20	1.8905e+00	0.1849	-17.387213	0.000479	4.790633	0.811555	0.000048
  21	1.9900e+00	0.1936	-17.348923	0.000385	3.848885	0.652019	0.000038
  22	2.0895e+00	0.2042	-17.303708	0.000454	4.544959	0.769937	0.000045
  23	2.1890e+00	0.2139	-17.261344	0.000426	4.258340	0.721382	0.000043
  24	2.2885e+00	0.2243	-17.221425	0.000401	4.012667	0.679764	0.000040
  25	2.3880e+00	0.2356	-17.178246	0.000434	4.340231	0.735255	0.000043
  26	2.4875e+00	0.2484	-17.133439	0.000450	4.504014	0.763001	0.000045
  27	2.5870e+00	0.2544	-17.089853	0.000438	4.381177	0.742191	0.000044
  28	2.6865e+00	0.2647	-17.049934	0.000401	4.012667	0.679764	0.000040
  29	2.7860e+00	0.2730	-17.004311	0.000459	4.585905	0.776873	0.000046
  30	2.8855e+00	0.2865	-16.959911	0.000446	4.463068	0.756064	0.000045
  31	2.9850e+00	0.2946	-16.913474	0.000467	4.667796	0.790746	0.000047
  32	3.0845e+00	0.3040	-16.872332	0.000414	4.135504	0.700573	0.000041
  33	3.1840e+00	0.3161	-16.826710	0.000459	4.585905	0.776873	0.000046
  34	3.2835e+00	0.3209	-16.785161	0.000418	4.176449	0.707510	0.000042
  35	3.3830e+00	0.3336	-16.737094	0.000483	4.831578	0.818492	0.000048
  36	3.4825e+00	0.3461	-16.695138	0.000422	4.217395	0.714446	0.000042
  37	3.5820e+00	0.3542	-16.650330	0.000450	4.504014	0.763001	0.000045
  38	3.6815e+00	0.3655	-16.609596	0.000409	4.094558	0.693637	0.000041
  39	3.7810e+00	0.3722	-16.565603	0.000442	4.422123	0.749128	0.000044
  40	3.8805e+00	0.3830	-16.519981	0.000459	4.585905	0.776873	0.000046
  41	3.9800e+00	0.3941	-16.472322	0.000479	4.790633	0.811555	0.000048
  42	4.0795e+00	0.4028	-16.425477	0.000471	4.708742	0.797682	0.000047
  43	4.1790e+00	0.4121	-16.383928	0.000418	4.176449	0.707510	0.000042
  44	4.2785e+00	0.4230	-16.339935	0.000442	4.422123	0.749128	0.000044
  45	4.3780e+00	0.4321	-16.296757	0.000434	4.340231	0.735255	0.000043
  46	4.4775e+00	0.4391	-16.252357	0.000446	4.463068	0.756064	0.000045
  47	4.5770e+00	0.4548	-16.212845	0.000397	3.971721	0.672828	0.000040
  48	4.6765e+00	0.4613	-16.163963	0.000491	4.913470	0.832364	0.000049
  49	4.7760e+00	0.4730	-16.115490	0.000487	4.872524	0.825428	0.000049
  50	4.8755e+00	0.4845	-16.076385	0.000393	3.930776	0.665891	0.000039
  51	4.9750e+00	0.4903	-16.027504	0.000491	4.913470	0.832364	0.000049
  52	5.0745e+00	0.5030	-15.986362	0.000414	4.135504	0.700573	0.000041
  53	5.1740e+00	0.5119	-15.940740	0.000459	4.585905	0.776873	0.000046
  54	5.2735e+00	0.5215	-15.897561	0.000434	4.340231	0.735255	0.000043
  55	5.3730e+00	0.5331	-15.850310	0.000475	4.749687	0.804619	0.000047
  56	5.4725e+00	0.5442	-15.805095	0.000454	4.544959	0.769937	0.000045
  57	5.5720e+00	0.5534	-15.758658	0.000467	4.667796	0.790746	0.000047
  58	5.6715e+00	0.5602	-15.719960	0.000389	3.889830	0.658955	0.000039
  59	5.7710e+00	0.5737	-15.674338	0.000459	4.585905	0.776873	0.000046
  60	5.8705e+00	0.5867	-15.629937	0.000446	4.463068	0.756064	0.000045
  61	5.9700e+00	0.5916	-15.583093	0.000471	4.708742	0.797682	0.000047
  62	6.0695e+00	0.6003	-15.538285	0.000450	4.504014	0.763001	0.000045
  63	6.1690e+00	0.6123	-15.495514	0.000430	4.299286	0.728319	0.000043
  64	6.2685e+00	0.6245	-15.456409	0.000393	3.930776	0.665891	0.000039
  65	6.3680e+00	0.6349	-15.413638	0.000430	4.299286	0.728319	0.000043
  66	6.4675e+00	0.6418	-15.366794	0.000471	4.708742	0.797682	0.000047
  67	6.5670e+00	0.6538	-15.327689	0.000393	3.930776	0.665891	0.000039
  68	6.6665e+00	0.6598	-15.283696	0.000442	4.422123	0.749128	0.000044
  69	6.7660e+00	0.6725	-15.237666	0.000463	4.626851	0.783810	0.000046
  70	6.8655e+00	0.6809	-15.196932	0.000409	4.094558	0.693637	0.000041
  71	6.9650e+00	0.6916	-15.153347	0.000438	4.381177	0.742191	0.000044
  72	7.0645e+00	0.7023	-15.110168	0.000434	4.340231	0.735255	0.000043
  73	7.1640e+00	0.7132	-15.063324	0.000471	4.708742	0.797682	0.000047
  74	7.2635e+00	0.7247	-15.024219	0.000393	3.930776	0.665891	0.000039
  75	7.3630e+00	0.7318	-14.980633	0.000438	4.381177	0.742191	0.000044
  76	7.4625e+00	0.7423	-14.934196	0.000467	4.667796	0.790746	0.000047
  77	7.5620e+00	0.7530	-14.897128	0.000373	3.726048	0.631210	0.000037
  78	7.6615e+00	0.7586	-14.849062	0.000483	4.831578	0.818492	0.000048
  79	7.7610e+00	0.7738	-14.813216	0.000360	3.603211	0.610400	0.000036
  80	7.8605e+00	0.7808	-14.761076	0.000524	5.241034	0.887855	0.000052
  81	7.9600e+00	0.7939	-14.720749	0.000405	4.053612	0.686701	0.000041
  82	8.0595e+00	0.8001	-14.672682	0.000483	4.831578	0.818492	0.000048
  83	8.1590e+00	0.8132	-14.627467	0.000454	4.544959	0.769937	0.000045
  84	8.2585e+00	0.8218	-14.589992	0.000377	3.766993	0.638146	0.000038
  85	8.3580e+00	0.8351	-14.541111	0.000491	4.913470	0.832364	0.000049
  86	8.4575e+00	0.8404	-14.496710	0.000446	4.463068	0.756064	0.000045
  87	8.5570e+00	0.8510	-14.449866	0.000471	4.708742	0.797682	0.000047
  88	8.6565e+00	0.8624	-14.408317	0.000418	4.176449	0.707510	0.000042
  89	8.7560e+00	0.8727	-14.356992	0.000516	5.159143	0.873982	0.000052
  90	8.8555e+00	0.8807	-14.316258	0.000409	4.094558	0.693637	0.000041
  91	8.9550e+00	0.8923	-14.268191	0.000483	4.831578	0.818492	0.000048
  92	9.0545e+00	0.9025	-14.223791	0.000446	4.463068	0.756064	0.000045
  93	9.1540e+00	0.9129	-14.173688	0.000504	5.036306	0.853173	0.000050
  94	9.2535e+00	0.9235	-14.127658	0.000463	4.626851	0.783810	0.000046
  95	9.3530e+00	0.9306	-14.080406	0.000475	4.749687	0.804619	0.000047
  96	9.4525e+00	0.9430	-14.034784	0.000459	4.585905	0.776873	0.000046
  97	9.5520e+00	0.9499	-13.988754	0.000463	4.626851	0.783810	0.000046
  98	9.6515e+00	0.9583	-13.939466	0.000495	4.954415	0.839301	0.000050
  99	9.7510e+00	0.9727	-13.892621	0.000471	4.708742	0.797682	0.000047
 100	9.8505e+00	0.9805	-13.846592	0.000463	4.626851	0.783810	0.000046
 101	9.9500e+00	0.9890	-13.802599	0.000442	4.422123	0.749128	0.000044
 102	1.0050e+01	0.9975	-13.752903	0.000500	4.995361	0.846237	0.000050
 103	1.0149e+01	1.0119	-13.707688	0.000454	4.544959	0.769937	0.000045
 104	1.0248e+01	1.0215	-13.660436	0.000475	4.749687	0.804619	0.000047
 105	1.0348e+01	1.0304	-13.609926	0.000508	5.077252	0.860110	0.000051
 106	1.0447e+01	1.0417	-13.563896	0.000463	4.626851	0.783810	0.000046
 107	1.0547e+01	1.0513	-13.519088	0.000450	4.504014	0.763001	0.000045
 108	1.0646e+01	1.0632	-13.469800	0.000495	4.954415	0.839301	0.000050
 109	1.0746e+01	1.0720	-13.422548	0.000475	4.749687	0.804619	0.000047
 110	1.0845e+01	1.0809	-13.375704	0.000471	4.708742	0.797682	0.000047
 111	1.0945e+01	1.0886	-13.331303	0.000446	4.463068	0.756064	0.000045
 112	1.1044e+01	1.0991	-13.283237	0.000483	4.831578	0.818492	0.000048
 113	1.1144e+01	1.1119	-13.240466	0.000430	4.299286	0.728319	0.000043
 114	1.1243e+01	1.1185	-13.193214	0.000475	4.749687	0.804619	0.000047
 115	1.1343e+01	1.1282	-13.149629	0.000438	4.381177	0.742191	0.000044
 116	1.1443e+01	1.1368	-13.102377	0.000475	4.749687	0.804619	0.000047
 117	1.1542e+01	1.1512	-13.055940	0.000467	4.667796	0.790746	0.000047
 118	1.1642e+01	1.1578	-13.007873	0.000483	4.831578	0.818492	0.000048
 119	1.1741e+01	1.1715	-12.967954	0.000401	4.012667	0.679764	0.000040
 120	1.1841e+01	1.1774	-12.917851	0.000504	5.036306	0.853173	0.000050
 121	1.1940e+01	1.1890	-12.873858	0.000442	4.422123	0.749128	0.000044
 122	1.2040e+01	1.1986	-12.832309	0.000418	4.176449	0.707510	0.000042
 123	1.2139e+01	1.2113	-12.785872	0.000467	4.667796	0.790746	0.000047
 124	1.2239e+01	1.2208	-12.739435	0.000467	4.667796	0.790746	0.000047
 125	1.2338e+01	1.2306	-12.699922	0.000397	3.971721	0.672828	0.000040
 126	1.2438e+01	1.2429	-12.651856	0.000483	4.831578	0.818492	0.000048
 127	1.2537e+01	1.2501	-12.608678	0.000434	4.340231	0.735255	0.000043
 128	1.2636e+01	1.2621	-12.564277	0.000446	4.463068	0.756064	0.000045
 129	1.2736e+01	1.2704	-12.521099	0.000434	4.340231	0.735255	0.000043
 130	1.2835e+01	1.2785	-12.475884	0.000454	4.544959	0.769937	0.000045
 131	1.2935e+01	1.2907	-12.428225	0.000479	4.790633	0.811555	0.000048
 132	1.3034e+01	1.2964	-12.383825	0.000446	4.463068	0.756064	0.000045
 133	1.3134e+01	1.3057	-12.342276	0.000418	4.176449	0.707510	0.000042
 134	1.3233e+01	1.3180	-12.294617	0.000479	4.790633	0.811555	0.000048
 135	1.3333e+01	1.3289	-12.254290	0.000405	4.053612	0.686701	0.000041
 136	1.3432e+01	1.3377	-12.206223	0.000483	4.831578	0.818492	0.000048
 137	1.3532e+01	1.3456	-12.163860	0.000426	4.258340	0.721382	0.000043
 138	1.3632e+01	1.3554	-12.117830	0.000463	4.626851	0.783810	0.000046
 139	1.3731e+01	1.3691	-12.076281	0.000418	4.176449	0.707510	0.000042
 140	1.3831e+01	1.3773	-12.031881	0.000446	4.463068	0.756064	0.000045
 141	1.3930e+01	1.3886	-11.985036	0.000471	4.708742	0.797682	0.000047
 142	1.4030e+01	1.3995	-11.946339	0.000389	3.889830	0.658955	0.000039
 143	1.4129e+01	1.4078	-11.897458	0.000491	4.913470	0.832364	0.000049
 144	1.4229e+01	1.4194	-11.857131	0.000405	4.053612	0.686701	0.000041
 145	1.4328e+01	1.4276	-11.811101	0.000463	4.626851	0.783810	0.000046
 146	1.4428e+01	1.4376	-11.765479	0.000459	4.585905	0.776873	0.000046
 147	1.4527e+01	1.4480	-11.719856	0.000459	4.585905	0.776873	0.000046
 148	1.4627e+01	1.4575	-11.678307	0.000418	4.176449	0.707510	0.000042
 149	1.4726e+01	1.4674	-11.631463	0.000471	4.708742	0.797682	0.000047
 150	1.4825e+01	1.4779	-11.587470	0.000442	4.422123	0.749128	0.000044
 151	1.4925e+01	1.4922	-11.541440	0.000463	4.626851	0.783810	0.000046
 152	1.5024e+01	1.4986	-11.492966	0.000487	4.872524	0.825428	0.000049
 153	1.5124e+01	1.5078	-11.450195	0.000430	4.299286	0.728319	0.000043
 154	1.5223e+01	1.5189	-11.406202	0.000442	4.422123	0.749128	0.000044
 155	1.5323e+01	1.5277	-11.360173	0.000463	4.626851	0.783810	0.000046
 156	1.5422e+01	1.5378	-11.313328	0.000471	4.708742	0.797682	0.000047
 157	1.5522e+01	1.5450	-11.269743	0.000438	4.381177	0.742191	0.000044
 158	1.5621e+01	1.5565	-11.224935	0.000450	4.504014	0.763001	0.000045
 159	1.5721e+01	1.5679	-11.176461	0.000487	4.872524	0.825428	0.000049
 160	1.5820e+01	1.5794	-11.132468	0.000442	4.422123	0.749128	0.000044
 161	1.5920e+01	1.5890	-11.085624	0.000471	4.708742	0.797682	0.000047
 162	1.6020e+01	1.5954	-11.042446	0.000434	4.340231	0.735255	0.000043
 163	1.6119e+01	1.6100	-11.000897	0.000418	4.176449	0.707510	0.000042
 164	1.6218e+01	1.6164	-10.954460	0.000467	4.667796	0.790746	0.000047
