»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 12:16:58
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 12:15:55 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1517	-18.147855	0.000487	4.870044	0.825008	0.961186
   2	1.0000e-04	0.3442	-17.186669	0.000487	4.870044	0.825008	0.961186
   3	2.0000e-04	0.5219	-15.581051	0.000814	8.135187	1.378138	1.605618
   4	3.0000e-04	0.7565	-14.579815	0.000507	5.072962	0.859383	1.001236
   5	4.0000e-04	0.9543	-14.146553	0.000220	2.195209	0.371879	0.433262
   6	5.0000e-04	1.1445	-13.498480	0.000328	3.283590	0.556255	0.648073
   7	6.0000e-04	1.3431	-12.413504	0.000550	5.497247	0.931259	1.084976
   8	7.0000e-04	1.5393	-11.292120	0.000568	5.681718	0.962509	1.121384
   9	8.0000e-04	1.7508	-10.560308	0.000371	3.707874	0.628131	0.731812
  10	9.0000e-04	1.9443	-9.894031	0.000338	3.375826	0.571880	0.666277
  11	1.0000e-03	2.1390	-8.994739	0.000456	4.556443	0.771882	0.899292
  12	1.1000e-03	2.3450	-8.048116	0.000480	4.796255	0.812508	0.946623
  13	1.2000e-03	2.5534	-7.174310	0.000443	4.427313	0.750007	0.873806
  14	1.3000e-03	2.7402	-6.427934	0.000378	3.781663	0.640631	0.746376
  15	1.4000e-03	2.9489	-5.747094	0.000345	3.449614	0.584381	0.680840
  16	1.5000e-03	3.1448	-4.818675	0.000470	4.704020	0.796883	0.928419
  17	1.6000e-03	3.3426	-3.995841	0.000417	4.169053	0.706257	0.822834
  18	1.7000e-03	3.5495	-3.242184	0.000382	3.818557	0.646881	0.753658
  19	1.8000e-03	3.7473	-2.499449	0.000376	3.763216	0.637506	0.742735
  20	1.9000e-03	3.9413	-1.760355	0.000374	3.744769	0.634381	0.739094
  21	2.0000e-03	4.1489	-0.912035	0.000430	4.298183	0.728132	0.848320
  22	2.1000e-03	4.3436	-0.212990	0.000354	3.541850	0.600006	0.699045
  23	2.2000e-03	4.5523	0.478773	0.000350	3.504956	0.593756	0.691763
  24	2.3000e-03	4.7476	1.246994	0.000389	3.892346	0.659381	0.768221
  25	2.4000e-03	4.9478	1.938757	0.000350	3.504956	0.593756	0.691763
  26	2.5000e-03	5.1529	2.714259	0.000393	3.929240	0.665631	0.775503
  27	2.6000e-03	5.3452	3.435149	0.000365	3.652533	0.618756	0.720890
  28	2.7000e-03	5.5487	4.061377	0.000317	3.172907	0.537505	0.626228
  29	2.8000e-03	5.7498	4.753140	0.000350	3.504956	0.593756	0.691763
  30	2.9000e-03	5.9445	5.393931	0.000325	3.246696	0.550005	0.640791
  31	3.0000e-03	6.1502	6.140307	0.000378	3.781663	0.640631	0.746376
  32	3.1000e-03	6.3562	6.762893	0.000315	3.154460	0.534380	0.622587
  33	3.2000e-03	6.5433	7.443734	0.000345	3.449614	0.584381	0.680840
  34	3.3000e-03	6.7514	8.008067	0.000286	2.859306	0.484380	0.564333
  35	3.4000e-03	6.9443	8.677984	0.000339	3.394273	0.575005	0.669918
  36	3.5000e-03	7.1454	9.406156	0.000369	3.689427	0.625006	0.728172
  37	3.6000e-03	7.3477	9.941362	0.000271	2.711729	0.459379	0.535206
  38	3.7000e-03	7.5522	10.531181	0.000299	2.988436	0.506255	0.589819
  39	3.8000e-03	7.7432	11.226585	0.000352	3.523403	0.596881	0.695404
  40	3.9000e-03	7.9504	11.688974	0.000234	2.342786	0.396879	0.462389
  41	4.0000e-03	8.1497	12.435349	0.000378	3.781663	0.640631	0.746376
  42	4.1000e-03	8.3447	13.039732	0.000306	3.062225	0.518755	0.604382
  43	4.2000e-03	8.5526	13.545811	0.000256	2.564152	0.434379	0.506079
  44	4.3000e-03	8.7448	14.146553	0.000304	3.043777	0.515630	0.600742
  45	4.4000e-03	8.9523	14.685400	0.000273	2.730176	0.462504	0.538847
  46	4.5000e-03	9.1415	15.413571	0.000369	3.689427	0.625006	0.728172
  47	4.6000e-03	9.3491	15.897805	0.000245	2.453469	0.415629	0.484234
  48	4.7000e-03	9.5453	16.443934	0.000277	2.767070	0.468754	0.546129
  49	4.8000e-03	9.7433	17.048316	0.000306	3.062225	0.518755	0.604382
  50	4.9000e-03	9.9454	17.568959	0.000264	2.637940	0.446879	0.520643
  51	5.0000e-03	9.8428	18.147855	-0.000293	-2.933095	-0.496880	0.578896
  52	5.1000e-03	9.6432	17.226718	0.000467	4.667125	0.790632	-0.921137
  53	5.2000e-03	9.4449	16.076207	0.000583	5.829295	0.987509	-1.150511
  54	5.3000e-03	9.2264	16.199996	-0.000063	-0.627203	-0.106251	0.123789
