»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 14:35:52
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 02:34:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0050	-19.851862	0.000731	7.311054	1.238526	0.014625
   2	5.0000e-04	0.0025	-19.778738	0.000731	7.311054	1.238526	0.014625
   3	1.0000e-03	0.0179	-19.746666	0.000321	3.206602	0.543213	0.006414
   4	1.5000e-03	0.0262	-19.689364	0.000573	5.729130	0.970541	0.011460
   5	2.0000e-03	0.0356	-19.641898	0.000475	4.745772	0.803955	0.009493
   6	2.5000e-03	0.0446	-19.611964	0.000299	2.992829	0.506999	0.005987
   7	3.0000e-03	0.0539	-19.560222	0.000517	5.173319	0.876384	0.010349
   8	3.5000e-03	0.0655	-19.515748	0.000445	4.446489	0.753256	0.008895
   9	4.0000e-03	0.0780	-19.455453	0.000603	6.028413	1.021241	0.012059
  10	4.5000e-03	0.0818	-19.422099	0.000333	3.334867	0.564942	0.006671
  11	5.0000e-03	0.0960	-19.378908	0.000432	4.318225	0.731527	0.008638
  12	5.5000e-03	0.1059	-19.337001	0.000419	4.189960	0.709799	0.008381
  13	6.0000e-03	0.1162	-19.288679	0.000483	4.831281	0.818441	0.009664
  14	6.5000e-03	0.1254	-19.245062	0.000436	4.360979	0.738770	0.008724
  15	7.0000e-03	0.1349	-19.208286	0.000368	3.676904	0.622884	0.007355
  16	7.5000e-03	0.1467	-19.149274	0.000590	5.900148	0.999512	0.011802
  17	8.0000e-03	0.1589	-19.106511	0.000428	4.275470	0.724284	0.008553
  18	8.5000e-03	0.1658	-19.067597	0.000389	3.890678	0.659099	0.007783
  19	9.0000e-03	0.1748	-19.020986	0.000466	4.660262	0.789470	0.009322
  20	9.5000e-03	0.1865	-18.983355	0.000376	3.762413	0.637370	0.007526
  21	1.0000e-02	0.1994	-18.929047	0.000543	5.429847	0.919841	0.010862
  22	1.0500e-02	0.2055	-18.889277	0.000398	3.976187	0.673584	0.007954
  23	1.1000e-02	0.2164	-18.834541	0.000547	5.472601	0.927084	0.010947
  24	1.1500e-02	0.2262	-18.793917	0.000406	4.061696	0.688070	0.008125
