»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 14:56:2
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 02:55:37 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2011

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0009	-24.961610	0.000649	6.492507	1.099860	0.000065
   2	9.9500e-02	0.0092	-24.897016	0.000649	6.492507	1.099860	0.000065
   3	1.9900e-01	0.0200	-24.800125	0.000974	9.738760	1.649791	0.000097
   4	2.9850e-01	0.0288	-24.763791	0.000365	3.652035	0.618671	0.000037
   5	3.9800e-01	0.0392	-24.711308	0.000528	5.275162	0.893637	0.000053
   6	4.9750e-01	0.0485	-24.658825	0.000528	5.275162	0.893637	0.000053
   7	5.9700e-01	0.0581	-24.642677	0.000162	1.623127	0.274965	0.000016
   8	6.9650e-01	0.0676	-24.565971	0.000771	7.709852	1.306084	0.000077
   9	7.9600e-01	0.0784	-24.501377	0.000649	6.492507	1.099860	0.000065
  10	8.9550e-01	0.0882	-24.420634	0.000812	8.115634	1.374826	0.000081
  11	9.9500e-01	0.0986	-24.368151	0.000528	5.275162	0.893637	0.000053
  12	1.0945e+00	0.1093	-24.335854	0.000325	3.246253	0.549930	0.000032
  13	1.1940e+00	0.1177	-24.247037	0.000893	8.927197	1.512308	0.000089
  14	1.2935e+00	0.1289	-24.206666	0.000406	4.057817	0.687413	0.000041
  15	1.3930e+00	0.1385	-24.170332	0.000365	3.652035	0.618671	0.000037
  16	1.4925e+00	0.1485	-24.097663	0.000730	7.304070	1.237343	0.000073
  17	1.5920e+00	0.1587	-24.069403	0.000284	2.840472	0.481189	0.000028
  18	1.6915e+00	0.1690	-23.972512	0.000974	9.738760	1.649791	0.000097
  19	1.7910e+00	0.1780	-23.944252	0.000284	2.840472	0.481189	0.000028
  20	1.8905e+00	0.1884	-23.883695	0.000609	6.086725	1.031119	0.000061
  21	1.9900e+00	0.1980	-23.815064	0.000690	6.898288	1.168602	0.000069
  22	2.0895e+00	0.2078	-23.750470	0.000649	6.492507	1.099860	0.000065
  23	2.1890e+00	0.2179	-23.718172	0.000325	3.246253	0.549930	0.000032
  24	2.2885e+00	0.2271	-23.637430	0.000812	8.115634	1.374826	0.000081
