»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 16:54:16
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 04:53:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.1505	-23.596399	0.000497	4.970234	0.841980	0.979391
   2	1.0000e-04	0.3443	-22.617008	0.000497	4.970234	0.841980	0.979391
   3	2.0000e-04	0.5174	-20.778375	0.000933	9.330736	1.580670	1.838633
   4	3.0000e-04	0.7468	-19.413053	0.000693	6.928765	1.173764	1.365322
   5	4.0000e-04	0.9512	-18.630269	0.000397	3.972492	0.672958	0.782784
   6	5.0000e-04	1.1459	-18.025886	0.000307	3.067133	0.519586	0.604382
   7	6.0000e-04	1.3439	-17.061059	0.000490	4.896327	0.829460	0.964827
   8	7.0000e-04	1.5320	-15.710301	0.000685	6.854858	1.161244	1.350758
   9	8.0000e-04	1.7447	-14.647171	0.000540	5.395198	0.913971	1.063130
  10	9.0000e-04	1.9476	-13.817055	0.000421	4.212689	0.713649	0.830116
  11	1.0000e-03	2.1432	-12.910481	0.000460	4.600700	0.779380	0.906574
  12	1.1000e-03	2.3398	-11.934732	0.000495	4.951757	0.838850	0.975750
  13	1.2000e-03	2.5449	-10.918932	0.000516	5.155001	0.873281	1.015799
  14	1.3000e-03	2.7383	-9.917696	0.000508	5.081094	0.860761	1.001236
  15	1.4000e-03	2.9495	-9.123989	0.000403	4.027922	0.682348	0.793707
  16	1.5000e-03	3.1436	-8.228338	0.000455	4.545270	0.769990	0.895651
  17	1.6000e-03	3.3395	-7.278075	0.000482	4.822420	0.816940	0.950264
  18	1.7000e-03	3.5440	-6.415191	0.000438	4.378979	0.741819	0.862883
  19	1.8000e-03	3.7497	-5.501336	0.000464	4.637653	0.785640	0.913855
  20	1.9000e-03	3.9383	-4.667580	0.000423	4.231166	0.716779	0.833756
  21	2.0000e-03	4.1434	-3.728238	0.000477	4.766990	0.807550	0.939341
  22	2.1000e-03	4.3387	-2.883559	0.000429	4.286596	0.726169	0.844679
  23	2.2000e-03	4.5450	-2.027958	0.000434	4.342026	0.735559	0.855602
  24	2.3000e-03	4.7437	-1.146870	0.000447	4.471363	0.757469	0.881088
  25	2.4000e-03	4.9460	-0.342241	0.000408	4.083352	0.691739	0.804630
