»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/30/2025 - 17:48:19
Configured:	06/30/25 10:19:58 AM
Executed:	06/30/25 05:47:56 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1804
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Monopolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0072	-21.527084	0.000876	8.764346	1.484720	0.017533
   2	5.0000e-04	0.0060	-21.439421	0.000876	8.764346	1.484720	0.017533
   3	1.0000e-03	0.0150	-21.391954	0.000475	4.745572	0.803922	0.009493
   4	1.5000e-03	0.0276	-21.333370	0.000586	5.857148	0.992228	0.011717
   5	2.0000e-03	0.0346	-21.262812	0.000705	7.054229	1.195019	0.014112
   6	2.5000e-03	0.0445	-21.215345	0.000475	4.745572	0.803922	0.009493
   7	3.0000e-03	0.0533	-21.158043	0.000573	5.728889	0.970500	0.011460
   8	3.5000e-03	0.0661	-21.105018	0.000530	5.301360	0.898075	0.010605
   9	4.0000e-03	0.0781	-21.069953	0.000351	3.505738	0.593888	0.007013
  10	4.5000e-03	0.0879	-20.995118	0.000748	7.481758	1.267444	0.014967
  11	5.0000e-03	0.0966	-20.942948	0.000522	5.215854	0.883590	0.010434
  12	5.5000e-03	0.1061	-20.890778	0.000522	5.215854	0.883590	0.010434
  13	6.0000e-03	0.1144	-20.839463	0.000513	5.130349	0.869105	0.010263
  14	6.5000e-03	0.1263	-20.771470	0.000680	6.797712	1.151564	0.013598
  15	7.0000e-03	0.1369	-20.718017	0.000534	5.344113	0.905317	0.010691
  16	7.5000e-03	0.1469	-20.660715	0.000573	5.728889	0.970500	0.011460
  17	8.0000e-03	0.1534	-20.605979	0.000547	5.472372	0.927045	0.010947
  18	8.5000e-03	0.1656	-20.567920	0.000381	3.805009	0.644586	0.007612
  19	9.0000e-03	0.1742	-20.492658	0.000752	7.524511	1.274687	0.015052
  20	9.5000e-03	0.1881	-20.465290	0.000274	2.736186	0.463522	0.005474
  21	1.0000e-02	0.1958	-20.374634	0.000906	9.063616	1.535418	0.018131
  22	1.0500e-02	0.2067	-20.344700	0.000299	2.992703	0.506978	0.005987
  23	1.1000e-02	0.2154	-20.295096	0.000496	4.959337	0.840134	0.009921
  24	1.1500e-02	0.2276	-20.215985	0.000791	7.909287	1.339870	0.015822
