»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	6/24/2025 - 13:44:36
Configured:	06/24/25 01:39:33 PM
Executed:	06/24/25 01:44:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-4
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0011	21.344337	0.000567	5.674566	0.961297	0.000114
   2	9.9500e-02	0.0217	21.457376	0.000567	5.674566	0.961297	0.000114
   3	1.9900e-01	0.0394	21.570416	0.000567	5.674566	0.961297	0.000114
   4	2.9850e-01	0.0602	21.683456	0.000567	5.674566	0.961297	0.000114
   5	3.9800e-01	0.0806	21.804570	0.000608	6.079892	1.029962	0.000122
   6	4.9750e-01	0.1006	21.893387	0.000446	4.458587	0.755305	0.000089
   7	5.9700e-01	0.1207	22.058910	0.000831	8.309185	1.407614	0.000166
   8	6.9650e-01	0.1400	22.163875	0.000527	5.269239	0.892633	0.000105
   9	7.9600e-01	0.1604	22.272878	0.000547	5.471902	0.926965	0.000110
  10	8.9550e-01	0.1814	22.406103	0.000669	6.687881	1.132958	0.000134
  11	9.9500e-01	0.2011	22.486846	0.000405	4.053261	0.686641	0.000081
  12	1.0945e+00	0.2200	22.624109	0.000689	6.890544	1.167290	0.000138
  13	1.1940e+00	0.2409	22.745223	0.000608	6.079892	1.029962	0.000122
  14	1.2935e+00	0.2601	22.862300	0.000588	5.877229	0.995629	0.000118
  15	1.3930e+00	0.2805	23.003599	0.000709	7.093207	1.201622	0.000142
  16	1.4925e+00	0.3001	23.108565	0.000527	5.269239	0.892633	0.000105
  17	1.5920e+00	0.3190	23.197382	0.000446	4.458587	0.755305	0.000089
  18	1.6915e+00	0.3396	23.326570	0.000649	6.485218	1.098626	0.000130
  19	1.7910e+00	0.3598	23.399239	0.000365	3.647935	0.617977	0.000073
  20	1.8905e+00	0.3805	23.544576	0.000730	7.295870	1.235954	0.000146
  21	1.9900e+00	0.4004	23.653578	0.000547	5.471902	0.926965	0.000110
  22	2.0895e+00	0.4196	23.778729	0.000628	6.282555	1.064294	0.000126
  23	2.1890e+00	0.4392	23.875621	0.000486	4.863913	0.823969	0.000097
  24	2.2885e+00	0.4594	23.996735	0.000608	6.079892	1.029962	0.000122
  25	2.3880e+00	0.4798	24.133997	0.000689	6.890544	1.167290	0.000138
  26	2.4875e+00	0.4990	24.238963	0.000527	5.269239	0.892633	0.000105
  27	2.5870e+00	0.5199	24.368151	0.000649	6.485218	1.098626	0.000130
  28	2.6865e+00	0.5399	24.473117	0.000527	5.269239	0.892633	0.000105
  29	2.7860e+00	0.5593	24.582120	0.000547	5.471902	0.926965	0.000110
  30	2.8855e+00	0.5793	24.654788	0.000365	3.647935	0.617977	0.000073
  31	2.9850e+00	0.5994	24.828385	0.000871	8.714511	1.476278	0.000174
  32	3.0845e+00	0.6190	24.921239	0.000466	4.661250	0.789637	0.000093
  33	3.1840e+00	0.6387	25.022167	0.000507	5.066576	0.858301	0.000101
  34	3.2835e+00	0.6584	25.159430	0.000689	6.890544	1.167290	0.000138
  35	3.3830e+00	0.6796	25.292655	0.000669	6.687881	1.132958	0.000134
  36	3.4825e+00	0.6982	25.385510	0.000466	4.661250	0.789637	0.000093
  37	3.5820e+00	0.7191	25.534884	0.000750	7.498533	1.270286	0.000150
  38	3.6815e+00	0.7378	25.643886	0.000547	5.471902	0.926965	0.000110
  39	3.7810e+00	0.7574	25.785186	0.000709	7.093207	1.201622	0.000142
  40	3.8805e+00	0.7793	25.914374	0.000649	6.485218	1.098626	0.000130
  41	3.9800e+00	0.7973	26.003191	0.000446	4.458587	0.755305	0.000089
  42	4.0795e+00	0.8190	26.164677	0.000811	8.106522	1.373282	0.000162
  43	4.1790e+00	0.8383	26.273679	0.000547	5.471902	0.926965	0.000110
  44	4.2785e+00	0.8578	26.386719	0.000567	5.674566	0.961297	0.000114
  45	4.3780e+00	0.8784	26.536093	0.000750	7.498533	1.270286	0.000150
  46	4.4775e+00	0.8994	26.645096	0.000547	5.471902	0.926965	0.000110
  47	4.5770e+00	0.9183	26.822730	0.000892	8.917174	1.510610	0.000179
  48	4.6765e+00	0.9373	26.927695	0.000527	5.269239	0.892633	0.000105
  49	4.7760e+00	0.9582	27.028624	0.000507	5.066576	0.858301	0.000101
  50	4.8755e+00	0.9792	27.169924	0.000709	7.093207	1.201622	0.000142
  51	4.9750e+00	0.9966	27.274889	0.000527	5.269239	0.892633	0.000105
  52	5.0745e+00	1.0169	27.396003	0.000608	6.079892	1.029962	0.000122
  53	5.1740e+00	1.0369	27.545377	0.000750	7.498533	1.270286	0.000150
  54	5.2735e+00	1.0578	27.650343	0.000527	5.269239	0.892633	0.000105
  55	5.3730e+00	1.0771	27.739160	0.000446	4.458587	0.755305	0.000089
  56	5.4725e+00	1.0972	27.860274	0.000608	6.079892	1.029962	0.000122
  57	5.5720e+00	1.1175	28.033871	0.000871	8.714511	1.476278	0.000174
  58	5.6715e+00	1.1383	28.106539	0.000365	3.647935	0.617977	0.000073
  59	5.7710e+00	1.1569	28.243802	0.000689	6.890544	1.167290	0.000138
  60	5.8705e+00	1.1771	28.368953	0.000628	6.282555	1.064294	0.000126
  61	5.9700e+00	1.1967	28.490067	0.000608	6.079892	1.029962	0.000122
  62	6.0695e+00	1.2160	28.615218	0.000628	6.282555	1.064294	0.000126
  63	6.1690e+00	1.2373	28.748444	0.000669	6.687881	1.132958	0.000134
  64	6.2685e+00	1.2572	28.829186	0.000405	4.053261	0.686641	0.000081
  65	6.3680e+00	1.2704	28.974523	0.000730	7.295870	1.235954	0.000146
  66	6.4675e+00	1.2954	29.087563	0.000567	5.674566	0.961297	0.000114
  67	6.5670e+00	1.3161	29.208677	0.000608	6.079892	1.029962	0.000122
  68	6.6665e+00	1.3352	29.349977	0.000709	7.093207	1.201622	0.000142
  69	6.7660e+00	1.3555	29.471091	0.000608	6.079892	1.029962	0.000122
  70	6.8655e+00	1.3753	29.612391	0.000709	7.093207	1.201622	0.000142
  71	6.9650e+00	1.3950	29.672948	0.000304	3.039946	0.514981	0.000061
  72	7.0645e+00	1.4145	29.854619	0.000912	9.119837	1.544942	0.000183
  73	7.1640e+00	1.4355	29.955547	0.000507	5.066576	0.858301	0.000101
  74	7.2635e+00	1.4552	30.117033	0.000811	8.106522	1.373282	0.000162
  75	7.3630e+00	1.4751	30.205850	0.000446	4.458587	0.755305	0.000089
  76	7.4625e+00	1.4953	30.343112	0.000689	6.890544	1.167290	0.000138
  77	7.5620e+00	1.5146	30.464226	0.000608	6.079892	1.029962	0.000122
  78	7.6615e+00	1.5350	30.565155	0.000507	5.066576	0.858301	0.000101
  79	7.7610e+00	1.5558	30.730677	0.000831	8.309185	1.407614	0.000166
  80	7.8605e+00	1.5755	30.815457	0.000426	4.255924	0.720973	0.000085
  81	7.9600e+00	1.5954	30.928497	0.000567	5.674566	0.961297	0.000114
  82	8.0595e+00	1.6148	31.045574	0.000588	5.877229	0.995629	0.000118
  83	8.1590e+00	1.6355	31.170725	0.000628	6.282555	1.064294	0.000126
  84	8.2585e+00	1.6546	31.307988	0.000689	6.890544	1.167290	0.000138
  85	8.3580e+00	1.6747	31.445250	0.000689	6.890544	1.167290	0.000138
  86	8.4575e+00	1.6944	31.550216	0.000527	5.269239	0.892633	0.000105
  87	8.5570e+00	1.7152	31.703627	0.000770	7.701196	1.304618	0.000154
  88	8.6565e+00	1.7344	31.812630	0.000547	5.471902	0.926965	0.000110
  89	8.7560e+00	1.7546	31.945855	0.000669	6.687881	1.132958	0.000134
  90	8.8555e+00	1.7742	32.058895	0.000567	5.674566	0.961297	0.000114
  91	8.9550e+00	1.7941	32.163860	0.000527	5.269239	0.892633	0.000105
  92	9.0545e+00	1.8142	32.297086	0.000669	6.687881	1.132958	0.000134
  93	9.1540e+00	1.8343	32.414163	0.000588	5.877229	0.995629	0.000118
  94	9.2535e+00	1.8543	32.543351	0.000649	6.485218	1.098626	0.000130
  95	9.3530e+00	1.8737	32.660428	0.000588	5.877229	0.995629	0.000118
  96	9.4525e+00	1.8941	32.781542	0.000608	6.079892	1.029962	0.000122
  97	9.5520e+00	1.9134	32.918805	0.000689	6.890544	1.167290	0.000138
  98	9.6515e+00	1.9343	33.039919	0.000608	6.079892	1.029962	0.000122
  99	9.7510e+00	1.9542	33.128736	0.000446	4.458587	0.755305	0.000089
 100	9.8505e+00	1.9739	33.270036	0.000709	7.093207	1.201622	0.000142
 101	9.9500e+00	1.9936	33.379038	0.000547	5.471902	0.926965	0.000110
 102	1.0050e+01	2.0129	33.524375	0.000730	7.295870	1.235954	0.000146
 103	1.0149e+01	2.0332	33.681823	0.000790	7.903859	1.338950	0.000158
 104	1.0248e+01	2.0535	33.778715	0.000486	4.863913	0.823969	0.000097
 105	1.0348e+01	2.0731	33.887717	0.000547	5.471902	0.926965	0.000110
 106	1.0447e+01	2.0934	34.016906	0.000649	6.485218	1.098626	0.000130
 107	1.0547e+01	2.1149	34.142057	0.000628	6.282555	1.064294	0.000126
 108	1.0646e+01	2.1334	34.271245	0.000649	6.485218	1.098626	0.000130
 109	1.0746e+01	2.1529	34.420619	0.000750	7.498533	1.270286	0.000150
 110	1.0845e+01	2.1741	34.517511	0.000486	4.863913	0.823969	0.000097
 111	1.0945e+01	2.1935	34.654773	0.000689	6.890544	1.167290	0.000138
 112	1.1044e+01	2.2128	34.767813	0.000567	5.674566	0.961297	0.000114
 113	1.1144e+01	2.2338	34.892964	0.000628	6.282555	1.064294	0.000126
 114	1.1243e+01	2.2530	35.050412	0.000790	7.903859	1.338950	0.000158
 115	1.1343e+01	2.2723	35.127118	0.000385	3.850598	0.652309	0.000077
 116	1.1443e+01	2.2927	35.280529	0.000770	7.701196	1.304618	0.000154
 117	1.1542e+01	2.3125	35.365309	0.000426	4.255924	0.720973	0.000085
 118	1.1642e+01	2.3321	35.555054	0.000953	9.525164	1.613606	0.000191
 119	1.1741e+01	2.3526	35.660020	0.000527	5.269239	0.892633	0.000105
 120	1.1841e+01	2.3727	35.769023	0.000547	5.471902	0.926965	0.000110
 121	1.1940e+01	2.3928	35.837654	0.000345	3.445272	0.583645	0.000069
 122	1.2040e+01	2.4125	35.982991	0.000730	7.295870	1.235954	0.000146
 123	1.2139e+01	2.4319	36.136402	0.000770	7.701196	1.304618	0.000154
 124	1.2239e+01	2.4523	36.241368	0.000527	5.269239	0.892633	0.000105
 125	1.2338e+01	2.4715	36.386704	0.000730	7.295870	1.235954	0.000146
 126	1.2438e+01	2.4920	36.495707	0.000547	5.471902	0.926965	0.000110
 127	1.2537e+01	2.5115	36.588561	0.000466	4.661250	0.789637	0.000093
 128	1.2636e+01	2.5307	36.725824	0.000689	6.890544	1.167290	0.000138
 129	1.2736e+01	2.5515	36.826752	0.000507	5.066576	0.858301	0.000101
 130	1.2835e+01	2.5716	36.992275	0.000831	8.309185	1.407614	0.000166
 131	1.2935e+01	2.5916	37.089166	0.000486	4.863913	0.823969	0.000097
 132	1.3034e+01	2.6118	37.222392	0.000669	6.687881	1.132958	0.000134
 133	1.3134e+01	2.6305	37.315246	0.000466	4.661250	0.789637	0.000093
 134	1.3233e+01	2.6513	37.408100	0.000466	4.661250	0.789637	0.000093
 135	1.3333e+01	2.6710	37.553437	0.000730	7.295870	1.235954	0.000146
 136	1.3432e+01	2.6910	37.674551	0.000608	6.079892	1.029962	0.000122
 137	1.3532e+01	2.7105	37.779516	0.000527	5.269239	0.892633	0.000105
 138	1.3632e+01	2.7306	37.920816	0.000709	7.093207	1.201622	0.000142
 139	1.3731e+01	2.7512	38.033856	0.000567	5.674566	0.961297	0.000114
