»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 13:38:28
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 01:38:06 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0006	0.012099	0.000000	0.000000	0.000000	0.000000
   2	5.0000e-04	0.0140	0.012099	0.000000	0.000000	0.000000	0.000000
   3	1.0000e-03	0.0308	0.217787	0.001030	10.295005	1.744021	0.041138
   4	1.5000e-03	0.0496	0.318615	0.000505	5.046571	0.854912	0.020165
   5	2.0000e-03	0.0691	0.447674	0.000646	6.459611	1.094288	0.025812
   6	2.5000e-03	0.0903	0.564634	0.000585	5.854022	0.991698	0.023392
   7	3.0000e-03	0.1098	0.661428	0.000484	4.844708	0.820716	0.019359
   8	3.5000e-03	0.1297	0.742090	0.000404	4.037257	0.683930	0.016132
   9	4.0000e-03	0.1505	0.959877	0.001090	10.900593	1.846611	0.043557
  10	4.5000e-03	0.1698	1.040539	0.000404	4.037257	0.683930	0.016132
  11	5.0000e-03	0.1902	1.157499	0.000585	5.854022	0.991698	0.023392
  12	5.5000e-03	0.2096	1.286558	0.000646	6.459611	1.094288	0.025812
  13	6.0000e-03	0.2295	1.399485	0.000565	5.652160	0.957502	0.022585
  14	6.5000e-03	0.2502	1.560809	0.000807	8.074514	1.367860	0.032265
  15	7.0000e-03	0.2703	1.669703	0.000545	5.450297	0.923305	0.021779
  16	7.5000e-03	0.2899	1.782630	0.000565	5.652160	0.957502	0.022585
  17	8.0000e-03	0.3104	1.919755	0.000686	6.863337	1.162681	0.027425
  18	8.5000e-03	0.3306	2.040748	0.000606	6.055885	1.025895	0.024199
  19	9.0000e-03	0.3497	2.145608	0.000525	5.248434	0.889109	0.020972
  20	9.5000e-03	0.3700	2.298866	0.000767	7.670788	1.299467	0.030652
  21	1.0000e-02	0.3895	2.460190	0.000807	8.074514	1.367860	0.032265
  22	1.0500e-02	0.4092	2.548918	0.000444	4.440983	0.752323	0.017746
  23	1.1000e-02	0.4305	2.706209	0.000787	7.872651	1.333663	0.031458
  24	1.1500e-02	0.4500	2.827202	0.000606	6.055885	1.025895	0.024199
  25	1.2000e-02	0.4701	2.903831	0.000384	3.835394	0.649733	0.015326
  26	1.2500e-02	0.4898	3.040956	0.000686	6.863337	1.162681	0.027425
  27	1.3000e-02	0.5088	3.145817	0.000525	5.248434	0.889109	0.020972
  28	1.3500e-02	0.5304	3.291008	0.000727	7.267062	1.231074	0.029038
  29	1.4000e-02	0.5501	3.387803	0.000484	4.844708	0.820716	0.019359
  30	1.4500e-02	0.5698	3.557193	0.000848	8.478239	1.436253	0.033878
  31	1.5000e-02	0.5904	3.653987	0.000484	4.844708	0.820716	0.019359
  32	1.5500e-02	0.6100	3.779013	0.000626	6.257748	1.060091	0.025005
  33	1.6000e-02	0.6305	3.960503	0.000908	9.083828	1.538842	0.036298
  34	1.6500e-02	0.6498	4.057297	0.000484	4.844708	0.820716	0.019359
  35	1.7000e-02	0.6694	4.146025	0.000444	4.440983	0.752323	0.017746
  36	1.7500e-02	0.6895	4.271051	0.000626	6.257748	1.060091	0.025005
  37	1.8000e-02	0.7099	4.452541	0.000908	9.083828	1.538842	0.036298
  38	1.8500e-02	0.7303	4.597732	0.000727	7.267062	1.231074	0.029038
  39	1.9000e-02	0.7495	4.722758	0.000626	6.257748	1.060091	0.025005
  40	1.9500e-02	0.7703	4.734858	0.000061	0.605589	0.102589	0.002420
  41	2.0000e-02	0.7901	4.960711	0.001130	11.304319	1.915004	0.045171
  42	2.0500e-02	0.8092	5.041373	0.000404	4.037257	0.683930	0.016132
  43	2.1000e-02	0.8302	5.234962	0.000969	9.689416	1.641432	0.038718
  44	2.1500e-02	0.8501	5.376120	0.000707	7.065199	1.196877	0.028232
  45	2.2000e-02	0.8698	5.372087	-0.000020	-0.201863	-0.034196	-0.000807
  46	2.2500e-02	0.8896	5.743132	0.001857	18.571382	3.146077	0.074209
  47	2.3000e-02	0.9104	5.795563	0.000262	2.624217	0.444554	0.010486
  48	2.3500e-02	0.9312	5.900423	0.000525	5.248434	0.889109	0.020972
  49	2.4000e-02	0.9507	6.025449	0.000626	6.257748	1.060091	0.025005
  50	2.4500e-02	0.9702	6.110144	0.000424	4.239120	0.718126	0.016939
  51	2.5000e-02	0.9912	6.271468	0.000807	8.074514	1.367860	0.032265
  52	2.5500e-02	1.0103	6.392461	0.000606	6.055885	1.025895	0.024199
  53	2.6000e-02	1.0304	6.525554	0.000666	6.661474	1.128484	0.026618
  54	2.6500e-02	1.0498	6.638480	0.000565	5.652160	0.957502	0.022585
  55	2.7000e-02	1.0706	6.807870	0.000848	8.478239	1.436253	0.033878
  56	2.7500e-02	1.0904	6.924830	0.000585	5.854022	0.991698	0.023392
  57	2.8000e-02	1.1103	7.045823	0.000606	6.055885	1.025895	0.024199
  58	2.8500e-02	1.1300	7.170849	0.000626	6.257748	1.060091	0.025005
  59	2.9000e-02	1.1507	7.295875	0.000626	6.257748	1.060091	0.025005
  60	2.9500e-02	1.1705	7.437034	0.000707	7.065199	1.196877	0.028232
  61	3.0000e-02	1.1903	7.533828	0.000484	4.844708	0.820716	0.019359
  62	3.0500e-02	1.2109	7.679020	0.000727	7.267062	1.231074	0.029038
  63	3.1000e-02	1.2302	7.836311	0.000787	7.872651	1.333663	0.031458
  64	3.1500e-02	1.2507	7.985535	0.000747	7.468925	1.265270	0.029845
  65	3.2000e-02	1.2714	8.086363	0.000505	5.046571	0.854912	0.020165
  66	3.2500e-02	1.2900	8.251720	0.000828	8.276377	1.402056	0.033071
  67	3.3000e-02	1.3100	8.376746	0.000626	6.257748	1.060091	0.025005
  68	3.3500e-02	1.3303	8.497739	0.000606	6.055885	1.025895	0.024199
  69	3.4000e-02	1.3498	8.646963	0.000747	7.468925	1.265270	0.029845
  70	3.4500e-02	1.3702	8.755857	0.000545	5.450297	0.923305	0.021779
  71	3.5000e-02	1.3902	8.897016	0.000707	7.065199	1.196877	0.028232
  72	3.5500e-02	1.4101	9.001876	0.000525	5.248434	0.889109	0.020972
  73	3.6000e-02	1.4297	9.126902	0.000626	6.257748	1.060091	0.025005
  74	3.6500e-02	1.4493	9.268061	0.000707	7.065199	1.196877	0.028232
  75	3.7000e-02	1.4703	9.389054	0.000606	6.055885	1.025895	0.024199
  76	3.7500e-02	1.4901	9.530212	0.000707	7.065199	1.196877	0.028232
  77	3.8000e-02	1.5101	9.679437	0.000747	7.468925	1.265270	0.029845
  78	3.8500e-02	1.5309	9.792363	0.000565	5.652160	0.957502	0.022585
  79	3.9000e-02	1.5506	9.905290	0.000565	5.652160	0.957502	0.022585
  80	3.9500e-02	1.5709	10.058548	0.000767	7.670788	1.299467	0.030652
  81	4.0000e-02	1.5895	10.203739	0.000727	7.267062	1.231074	0.029038
  82	4.0500e-02	1.6100	10.397328	0.000969	9.689416	1.641432	0.038718
  83	4.1000e-02	1.6299	10.490089	0.000464	4.642845	0.786519	0.018552
  84	4.1500e-02	1.6501	10.603016	0.000565	5.652160	0.957502	0.022585
  85	4.2000e-02	1.6707	10.752241	0.000747	7.468925	1.265270	0.029845
  86	4.2500e-02	1.6895	10.861135	0.000545	5.450297	0.923305	0.021779
  87	4.3000e-02	1.7097	11.042624	0.000908	9.083828	1.538842	0.036298
