»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 13:52:22
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 01:50:57 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0006	-1.994345	0.000000	0.000000	0.000000	0.000000
   2	9.9500e-02	0.0201	-1.994345	0.000000	0.000000	0.000000	0.000000
   3	1.9900e-01	0.0410	-2.010494	-0.000081	-0.810665	-0.137330	-0.000016
   4	2.9850e-01	0.0596	-2.006456	0.000020	0.202666	0.034333	0.000004
   5	3.9800e-01	0.0795	-1.998382	0.000041	0.405332	0.068665	0.000008
   6	4.9750e-01	0.0991	-2.030679	-0.000162	-1.621329	-0.274661	-0.000032
   7	5.9700e-01	0.1196	-1.953974	0.000385	3.850657	0.652319	0.000077
   8	6.9650e-01	0.1393	-1.998382	-0.000223	-2.229328	-0.377658	-0.000045
   9	7.9600e-01	0.1599	-1.986271	0.000061	0.607998	0.102998	0.000012
  10	8.9550e-01	0.1788	-2.010494	-0.000122	-1.215997	-0.205995	-0.000024
  11	9.9500e-01	0.2000	-2.022605	-0.000061	-0.607998	-0.102998	-0.000012
  12	1.0945e+00	0.2186	-1.994345	0.000142	1.418663	0.240328	0.000028
  13	1.1940e+00	0.2402	-1.994345	0.000000	0.000000	0.000000	0.000000
  14	1.2935e+00	0.2598	-1.974159	0.000101	1.013331	0.171663	0.000020
  15	1.3930e+00	0.2794	-1.982234	-0.000041	-0.405332	-0.068665	-0.000008
  16	1.4925e+00	0.2985	-1.970122	0.000061	0.607998	0.102998	0.000012
  17	1.5920e+00	0.3198	-1.962048	0.000041	0.405332	0.068665	0.000008
  18	1.6915e+00	0.3397	-1.958011	0.000020	0.202666	0.034333	0.000004
  19	1.7910e+00	0.3587	-1.941862	0.000081	0.810665	0.137330	0.000016
  20	1.8905e+00	0.3785	-1.953974	-0.000061	-0.607998	-0.102998	-0.000012
  21	1.9900e+00	0.3990	-1.978197	-0.000122	-1.215997	-0.205995	-0.000024
  22	2.0895e+00	0.4188	-1.953974	0.000122	1.215997	0.205995	0.000024
  23	2.1890e+00	0.4390	-1.986271	-0.000162	-1.621329	-0.274661	-0.000032
