»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/10/2025 - 14:46:14
Configured:	07/10/25 01:31:25 PM
Executed:	07/10/25 02:45:39 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	1.79 [Index: 2]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-3361
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0066	-2.656194	0.000248	2.480444	0.420199	0.009921
   2	5.0000e-04	0.0145	-2.606590	0.000248	2.480444	0.420199	0.009921
   3	1.0000e-03	0.0359	-2.512085	0.000473	4.725674	0.800551	0.018901
   4	1.5000e-03	0.0561	-2.397053	0.000575	5.752065	0.974426	0.023006
   5	2.0000e-03	0.0740	-2.283733	0.000567	5.666532	0.959937	0.022664
   6	2.5000e-03	0.0955	-2.166991	0.000584	5.837597	0.988916	0.023348
   7	3.0000e-03	0.1169	-2.054098	0.000565	5.645149	0.956314	0.022579
   8	3.5000e-03	0.1363	-1.949330	0.000524	5.238869	0.887488	0.020954
   9	4.0000e-03	0.1569	-1.833443	0.000579	5.794831	0.981671	0.023177
  10	4.5000e-03	0.1744	-1.720123	0.000567	5.666532	0.959937	0.022664
  11	5.0000e-03	0.1953	-1.604236	0.000579	5.794831	0.981671	0.023177
  12	5.5000e-03	0.2139	-1.482791	0.000607	6.072812	1.028762	0.024289
  13	6.0000e-03	0.2341	-1.368615	0.000571	5.709298	0.967181	0.022835
  14	6.5000e-03	0.2547	-1.251873	0.000584	5.837597	0.988916	0.023348
  15	7.0000e-03	0.2763	-1.139408	0.000562	5.623766	0.952692	0.022493
  16	7.5000e-03	0.2951	-1.023521	0.000579	5.794831	0.981671	0.023177
  17	8.0000e-03	0.3158	-0.907635	0.000579	5.794831	0.981671	0.023177
  18	8.5000e-03	0.3327	-0.797307	0.000552	5.516850	0.934580	0.022065
  19	9.0000e-03	0.3555	-0.680138	0.000586	5.858980	0.992538	0.023434
  20	9.5000e-03	0.3776	-0.576225	0.000520	5.196103	0.880244	0.020783
  21	1.0000e-02	0.3963	-0.448365	0.000639	6.393559	1.083098	0.025572
  22	1.0500e-02	0.4167	-0.333762	0.000573	5.730681	0.970804	0.022921
  23	1.1000e-02	0.4357	-0.218303	0.000577	5.773448	0.978049	0.023092
  24	1.1500e-02	0.4527	-0.104554	0.000569	5.687915	0.963559	0.022750
