»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/11/2025 - 14:9:13
Configured:	07/11/25 01:34:37 PM
Executed:	07/11/25 02:08:10 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1184
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3071	-1.869580	0.000306	3.057143	0.517894	1.201483
   2	1.0000e-04	0.7277	-0.668097	0.000306	3.057143	0.517894	1.201483
   3	2.0000e-04	1.1246	-0.063715	0.000154	1.537836	0.260516	0.604382
   4	3.0000e-04	1.5239	0.256680	0.000082	0.815238	0.138105	0.320395
   5	4.0000e-04	1.9128	1.301607	0.000266	2.658788	0.450411	1.044926
   6	5.0000e-04	2.3215	1.825890	0.000133	1.334026	0.225990	0.524284
   7	6.0000e-04	2.7209	2.503090	0.000172	1.723117	0.291904	0.677200
   8	7.0000e-04	3.1091	3.416945	0.000233	2.325282	0.393913	0.913855
   9	8.0000e-04	3.5165	4.003123	0.000149	1.491515	0.252670	0.586178
  10	9.0000e-04	3.9142	4.785907	0.000199	1.991775	0.337416	0.782784
  11	1.0000e-03	4.3155	5.575974	0.000201	2.010303	0.340555	0.790066
  12	1.1000e-03	4.7180	6.198560	0.000158	1.584156	0.268363	0.622587
  13	1.2000e-03	5.1193	6.948577	0.000191	1.908399	0.323291	0.750017
  14	1.3000e-03	5.5121	7.600290	0.000166	1.658269	0.280918	0.651714
  15	1.4000e-03	5.9171	8.204673	0.000154	1.537836	0.260516	0.604382
  16	1.5000e-03	6.3171	8.929204	0.000184	1.843550	0.312306	0.724531
  17	1.6000e-03	6.7148	9.493536	0.000144	1.435931	0.243253	0.564333
  18	1.7000e-03	7.1161	10.094278	0.000153	1.528572	0.258947	0.600742
  19	1.8000e-03	7.5211	10.662252	0.000145	1.445195	0.244823	0.567974
  20	1.9000e-03	7.9120	11.168331	0.000129	1.287706	0.218143	0.506079
  21	2.0000e-03	8.3176	11.790918	0.000158	1.584156	0.268363	0.622587
  22	2.1000e-03	8.7094	12.264229	0.000120	1.204329	0.204019	0.473312
  23	2.2000e-03	9.1171	12.752104	0.000124	1.241385	0.210296	0.487875
  24	2.3000e-03	9.5117	13.225416	0.000120	1.204329	0.204019	0.473312
  25	2.4000e-03	9.9026	13.669600	0.000113	1.130217	0.191464	0.444185
