»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/11/2025 - 14:31:3
Configured:	07/11/25 01:34:37 PM
Executed:	07/11/25 02:30:36 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	16.67 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-1184
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0030	-0.320814	0.000010	0.097397	0.016499	0.000389
   2	5.0000e-04	0.0162	-0.318867	0.000010	0.097397	0.016499	0.000389
   3	1.0000e-03	0.0347	-0.316829	0.000010	0.101927	0.017267	0.000408
   4	1.5000e-03	0.0569	-0.313206	0.000018	0.181203	0.030697	0.000725
   5	2.0000e-03	0.0732	-0.308722	0.000022	0.224239	0.037987	0.000897
   6	2.5000e-03	0.0968	-0.305144	0.000018	0.178938	0.030313	0.000716
   7	3.0000e-03	0.1157	-0.301521	0.000018	0.181203	0.030697	0.000725
   8	3.5000e-03	0.1364	-0.298849	0.000013	0.133637	0.022639	0.000534
   9	4.0000e-03	0.1555	-0.295089	0.000019	0.187998	0.031848	0.000752
  10	4.5000e-03	0.1766	-0.290651	0.000022	0.221974	0.037603	0.000888
  11	5.0000e-03	0.1967	-0.286665	0.000020	0.199324	0.033766	0.000797
  12	5.5000e-03	0.2132	-0.283586	0.000015	0.154023	0.026092	0.000616
  13	6.0000e-03	0.2345	-0.279872	0.000019	0.185733	0.031464	0.000743
  14	6.5000e-03	0.2542	-0.276385	0.000017	0.174408	0.029546	0.000697
  15	7.0000e-03	0.2759	-0.272852	0.000018	0.176673	0.029929	0.000707
  16	7.5000e-03	0.2934	-0.269546	0.000017	0.165348	0.028011	0.000661
  17	8.0000e-03	0.3145	-0.265017	0.000023	0.226504	0.038371	0.000906
  18	8.5000e-03	0.3363	-0.261393	0.000018	0.181203	0.030697	0.000725
  19	9.0000e-03	0.3556	-0.257453	0.000020	0.197059	0.033383	0.000788
  20	9.5000e-03	0.3755	-0.254872	0.000013	0.129107	0.021871	0.000516
  21	1.0000e-02	0.3945	-0.251701	0.000016	0.158553	0.026860	0.000634
  22	1.0500e-02	0.4181	-0.247399	0.000022	0.215179	0.036452	0.000861
  23	1.1000e-02	0.4371	-0.242507	0.000024	0.244624	0.041441	0.000978
  24	1.1500e-02	0.4553	-0.238431	0.000020	0.203854	0.034534	0.000815
  25	1.2000e-02	0.4739	-0.235306	0.000016	0.156288	0.026476	0.000625
  26	1.2500e-02	0.4953	-0.231004	0.000022	0.215179	0.036452	0.000861
  27	1.3000e-02	0.5164	-0.227199	0.000019	0.190263	0.032232	0.000761
