»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 17:28:0
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 05:26:41 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2971	1.791302	0.000486	4.862340	0.823703	1.900528
   2	1.0000e-04	0.6840	3.691830	0.000486	4.862340	0.823703	1.900528
   3	2.0000e-04	1.0357	7.405505	0.000950	9.501125	1.609534	3.713675
   4	3.0000e-04	1.4771	10.591255	0.000815	8.150475	1.380728	3.185750
   5	4.0000e-04	1.9052	12.393480	0.000461	4.610840	0.781097	1.802225
   6	5.0000e-04	2.2894	13.995457	0.000410	4.098525	0.694309	1.601977
   7	6.0000e-04	2.6810	15.815886	0.000466	4.657414	0.788987	1.820429
   8	7.0000e-04	3.0560	18.604783	0.000714	7.135159	1.208729	2.788897
   9	8.0000e-04	3.4695	21.284454	0.000686	6.855714	1.161389	2.679671
  10	9.0000e-04	3.8818	23.509018	0.000569	5.691360	0.964143	2.224564
  11	1.0000e-03	4.2740	26.123154	0.000669	6.688047	1.132986	2.614136
  12	1.1000e-03	4.6768	28.038245	0.000490	4.899600	0.830015	1.915091
  13	1.2000e-03	5.0742	30.379317	0.000599	5.989435	1.014638	2.341071
  14	1.3000e-03	5.4617	32.796846	0.000619	6.185046	1.047775	2.417530
  15	1.4000e-03	5.8792	34.992283	0.000562	5.616842	0.951519	2.195437
  16	1.5000e-03	6.2772	37.886765	0.000741	7.405289	1.254490	2.894482
  17	1.6000e-03	6.6721	39.692631	0.000462	4.620155	0.782675	1.805865
  18	1.7000e-03	7.0737	41.716947	0.000518	5.179045	0.877354	2.024317
  19	1.8000e-03	7.4783	43.770391	0.000525	5.253563	0.889978	2.053444
  20	1.9000e-03	7.8662	45.882089	0.000540	5.402601	0.915225	2.111697
  21	2.0000e-03	8.2773	48.692831	0.000719	7.191048	1.218196	2.810742
  22	2.1000e-03	8.6728	50.178301	0.000380	3.800450	0.643814	1.485470
  23	2.2000e-03	9.0799	51.976884	0.000460	4.601525	0.779519	1.798584
  24	2.3000e-03	9.4717	53.844644	0.000478	4.778507	0.809501	1.867760
  25	2.4000e-03	9.8672	55.635946	0.000458	4.582896	0.776364	1.791302
