»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 17:26:30
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 05:26:10 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0004	6.418676	0.000707	7.067601	1.197284	0.028232
   2	5.0000e-04	0.0107	6.559835	0.000707	7.067601	1.197284	0.028232
   3	1.0000e-03	0.0285	6.652596	0.000464	4.644424	0.786787	0.018552
   4	1.5000e-03	0.0468	6.737291	0.000424	4.240561	0.718370	0.016939
   5	2.0000e-03	0.0672	6.874417	0.000687	6.865670	1.163076	0.027425
   6	2.5000e-03	0.0871	6.979277	0.000525	5.250218	0.889411	0.020972
   7	3.0000e-03	0.1080	7.068005	0.000444	4.442492	0.752579	0.017746
   8	3.5000e-03	0.1286	7.269660	0.001010	10.096574	1.710406	0.040331
   9	4.0000e-03	0.1482	7.305958	0.000182	1.817383	0.307873	0.007260
  10	4.5000e-03	0.1668	7.422918	0.000586	5.856013	0.992035	0.023392
  11	5.0000e-03	0.1878	7.612474	0.000949	9.490779	1.607782	0.037911
  12	5.5000e-03	0.2074	7.689102	0.000384	3.836698	0.649954	0.015326
  13	6.0000e-03	0.2277	7.777831	0.000444	4.442492	0.752579	0.017746
  14	6.5000e-03	0.2473	7.874625	0.000485	4.846355	0.820995	0.019359
  15	7.0000e-03	0.2676	8.023850	0.000747	7.471464	1.265700	0.029845
  16	7.5000e-03	0.2871	8.152909	0.000646	6.461807	1.094660	0.025812
  17	8.0000e-03	0.3075	8.249703	0.000485	4.846355	0.820995	0.019359
  18	8.5000e-03	0.3276	8.386829	0.000687	6.865670	1.163076	0.027425
  19	9.0000e-03	0.3481	8.487656	0.000505	5.048287	0.855203	0.020165
  20	9.5000e-03	0.3684	8.644947	0.000788	7.875327	1.334117	0.031458
  21	1.0000e-02	0.3874	8.753841	0.000545	5.452150	0.923619	0.021779
  22	1.0500e-02	0.4070	8.838536	0.000424	4.240561	0.718370	0.016939
  23	1.1000e-02	0.4276	8.919198	0.000404	4.038629	0.684162	0.016132
  24	1.1500e-02	0.4474	9.072455	0.000767	7.673396	1.299908	0.030652
  25	1.2000e-02	0.4680	9.197481	0.000626	6.259876	1.060452	0.025005
