»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 15:10:58
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 03:10:34 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0003	4.946595	0.000727	7.268672	1.231346	0.029038
   2	5.0000e-04	0.0121	5.091787	0.000727	7.268672	1.231346	0.029038
   3	1.0000e-03	0.0296	5.204714	0.000565	5.653412	0.957714	0.022585
   4	1.5000e-03	0.0478	5.297475	0.000464	4.643874	0.786694	0.018552
   5	2.0000e-03	0.0684	5.474931	0.000888	8.883933	1.504979	0.035491
   6	2.5000e-03	0.0877	5.599957	0.000626	6.259134	1.060326	0.025005
   7	3.0000e-03	0.1083	5.777414	0.000888	8.883933	1.504979	0.035491
   8	3.5000e-03	0.1279	5.906473	0.000646	6.461042	1.094530	0.025812
   9	4.0000e-03	0.1494	6.112161	0.001030	10.297286	1.744407	0.041138
  10	4.5000e-03	0.1681	6.204922	0.000464	4.643874	0.786694	0.018552
  11	5.0000e-03	0.1886	6.354147	0.000747	7.470580	1.265550	0.029845
  12	5.5000e-03	0.2077	6.539669	0.000929	9.287748	1.573387	0.037105
  13	6.0000e-03	0.2280	6.680828	0.000707	7.066765	1.197142	0.028232
  14	6.5000e-03	0.2482	6.821986	0.000707	7.066765	1.197142	0.028232
  15	7.0000e-03	0.2685	6.934913	0.000565	5.653412	0.957714	0.022585
  16	7.5000e-03	0.2885	7.072038	0.000686	6.864857	1.162938	0.027425
  17	8.0000e-03	0.3088	7.257561	0.000929	9.287748	1.573387	0.037105
  18	8.5000e-03	0.3281	7.430984	0.000868	8.682025	1.470775	0.034685
  19	9.0000e-03	0.3481	7.539878	0.000545	5.451504	0.923510	0.021779
  20	9.5000e-03	0.3675	7.677003	0.000686	6.864857	1.162938	0.027425
  21	1.0000e-02	0.3886	7.822195	0.000727	7.268672	1.231346	0.029038
  22	1.0500e-02	0.4084	7.975452	0.000767	7.672487	1.299755	0.030652
  23	1.1000e-02	0.4282	8.108545	0.000666	6.662950	1.128734	0.026618
  24	1.1500e-02	0.4491	8.273902	0.000828	8.278210	1.402367	0.033071
  25	1.2000e-02	0.4690	8.463457	0.000949	9.489655	1.607591	0.037911
  26	1.2500e-02	0.4895	8.657046	0.000969	9.691563	1.641795	0.038718
  27	1.3000e-02	0.5084	8.705443	0.000242	2.422891	0.410449	0.009679
  28	1.3500e-02	0.5283	8.806271	0.000505	5.047689	0.855102	0.020165
  29	1.4000e-02	0.5489	9.032124	0.001131	11.306823	1.915428	0.045171
  30	1.4500e-02	0.5685	9.225713	0.000969	9.691563	1.641795	0.038718
  31	1.5000e-02	0.5885	9.354772	0.000646	6.461042	1.094530	0.025812
  32	1.5500e-02	0.6084	9.487864	0.000666	6.662950	1.128734	0.026618
  33	1.6000e-02	0.6293	9.665321	0.000888	8.883933	1.504979	0.035491
  34	1.6500e-02	0.6483	9.750016	0.000424	4.240059	0.718285	0.016939
  35	1.7000e-02	0.6689	9.923439	0.000868	8.682025	1.470775	0.034685
  36	1.7500e-02	0.6873	10.080730	0.000787	7.874395	1.333959	0.031458
  37	1.8000e-02	0.7085	10.185591	0.000525	5.249597	0.889306	0.020972
  38	1.8500e-02	0.7283	10.322716	0.000686	6.864857	1.162938	0.027425
  39	1.9000e-02	0.7484	10.467907	0.000727	7.268672	1.231346	0.029038
  40	1.9500e-02	0.7683	10.653430	0.000929	9.287748	1.573387	0.037105
  41	2.0000e-02	0.7886	10.810721	0.000787	7.874395	1.333959	0.031458
  42	2.0500e-02	0.8084	10.984144	0.000868	8.682025	1.470775	0.034685
  43	2.1000e-02	0.8293	11.145468	0.000808	8.076302	1.368163	0.032265
  44	2.1500e-02	0.8482	11.318891	0.000868	8.682025	1.470775	0.034685
  45	2.2000e-02	0.8691	11.431818	0.000565	5.653412	0.957714	0.022585
  46	2.2500e-02	0.8884	11.581043	0.000747	7.470580	1.265550	0.029845
  47	2.3000e-02	0.9090	11.762532	0.000909	9.085840	1.539183	0.036298
  48	2.3500e-02	0.9276	11.899657	0.000686	6.864857	1.162938	0.027425
  49	2.4000e-02	0.9489	12.077114	0.000888	8.883933	1.504979	0.035491
  50	2.4500e-02	0.9696	12.210206	0.000666	6.662950	1.128734	0.026618
  51	2.5000e-02	0.9888	12.371530	0.000808	8.076302	1.368163	0.032265
  52	2.5500e-02	1.0086	12.440093	0.000343	3.432429	0.581469	0.013713
  53	2.6000e-02	1.0291	12.682079	0.001211	12.114454	2.052244	0.048397
  54	2.6500e-02	1.0486	12.782906	0.000505	5.047689	0.855102	0.020165
  55	2.7000e-02	1.0692	12.928098	0.000727	7.268672	1.231346	0.029038
  56	2.7500e-02	1.0891	13.097488	0.000848	8.480118	1.436571	0.033878
