»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:16:53
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:16:24 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0001	7.888563	0.000669	6.688493	1.133061	0.000134
   2	9.9500e-02	0.0190	8.021789	0.000669	6.688493	1.133061	0.000134
   3	1.9900e-01	0.0385	8.187311	0.000831	8.309946	1.407743	0.000166
   4	2.9850e-01	0.0589	8.356871	0.000851	8.512628	1.442078	0.000170
   5	3.9800e-01	0.0788	8.510282	0.000770	7.701901	1.304737	0.000154
   6	4.9750e-01	0.0989	8.651582	0.000709	7.093856	1.201732	0.000142
   7	5.9700e-01	0.1193	8.845364	0.000973	9.728717	1.648089	0.000195
   8	6.9650e-01	0.1388	9.002813	0.000790	7.904583	1.339073	0.000158
   9	7.9600e-01	0.1587	9.148150	0.000730	7.296538	1.236067	0.000146
  10	8.9550e-01	0.1781	9.325784	0.000892	8.917991	1.510749	0.000179
  11	9.9500e-01	0.1986	9.487269	0.000811	8.107264	1.373408	0.000162
  12	1.0945e+00	0.2184	9.656829	0.000851	8.512628	1.442078	0.000170
  13	1.1940e+00	0.2387	9.814277	0.000790	7.904583	1.339073	0.000158
  14	1.2935e+00	0.2592	9.943465	0.000649	6.485812	1.098726	0.000130
  15	1.3930e+00	0.2786	10.141285	0.000993	9.931399	1.682425	0.000199
  16	1.4925e+00	0.2988	10.302770	0.000811	8.107264	1.373408	0.000162
  17	1.5920e+00	0.3182	10.464256	0.000811	8.107264	1.373408	0.000162
  18	1.6915e+00	0.3383	10.617667	0.000770	7.701901	1.304737	0.000154
  19	1.7910e+00	0.3587	10.771078	0.000770	7.701901	1.304737	0.000154
  20	1.8905e+00	0.3780	10.952749	0.000912	9.120672	1.545084	0.000183
  21	1.9900e+00	0.3986	11.142495	0.000953	9.526036	1.613754	0.000191
  22	2.0895e+00	0.4169	11.247460	0.000527	5.269722	0.892715	0.000105
  23	2.1890e+00	0.4377	11.437206	0.000953	9.526036	1.613754	0.000191
  24	2.2885e+00	0.4575	11.614840	0.000892	8.917991	1.510749	0.000179
  25	2.3880e+00	0.4779	11.792473	0.000892	8.917991	1.510749	0.000179
  26	2.4875e+00	0.4980	11.925699	0.000669	6.688493	1.133061	0.000134
  27	2.5870e+00	0.5173	12.163890	0.001196	11.958215	2.025776	0.000239
  28	2.6865e+00	0.5375	12.329413	0.000831	8.309946	1.407743	0.000166
  29	2.7860e+00	0.5569	12.478787	0.000750	7.499220	1.270402	0.000150
  30	2.8855e+00	0.5768	12.648346	0.000851	8.512628	1.442078	0.000170
  31	2.9850e+00	0.5969	12.805795	0.000790	7.904583	1.339073	0.000158
  32	3.0845e+00	0.6173	12.963243	0.000790	7.904583	1.339073	0.000158
  33	3.1840e+00	0.6374	13.148951	0.000932	9.323354	1.579419	0.000187
  34	3.2835e+00	0.6566	13.366956	0.001094	10.944807	1.854100	0.000219
  35	3.3830e+00	0.6770	13.500182	0.000669	6.688493	1.133061	0.000134
  36	3.4825e+00	0.6963	13.677816	0.000892	8.917991	1.510749	0.000179
  37	3.5820e+00	0.7163	13.827190	0.000750	7.499220	1.270402	0.000150
  38	3.6815e+00	0.7368	14.008861	0.000912	9.120672	1.545084	0.000183
  39	3.7810e+00	0.7570	14.214755	0.001034	10.336762	1.751095	0.000207
  40	3.8805e+00	0.7765	14.376240	0.000811	8.107264	1.373408	0.000162
  41	3.9800e+00	0.7965	14.505429	0.000649	6.485812	1.098726	0.000130
  42	4.0795e+00	0.8165	14.691137	0.000932	9.323354	1.579419	0.000187
  43	4.1790e+00	0.8356	14.880882	0.000953	9.526036	1.613754	0.000191
  44	4.2785e+00	0.8558	15.062553	0.000912	9.120672	1.545084	0.000183
  45	4.3780e+00	0.8772	15.228076	0.000831	8.309946	1.407743	0.000166
  46	4.4775e+00	0.8959	15.393599	0.000831	8.309946	1.407743	0.000166
  47	4.5770e+00	0.9160	15.571233	0.000892	8.917991	1.510749	0.000179
  48	4.6765e+00	0.9355	15.728681	0.000790	7.904583	1.339073	0.000158
  49	4.7760e+00	0.9554	15.914389	0.000932	9.323354	1.579419	0.000187
  50	4.8755e+00	0.9753	16.087986	0.000872	8.715309	1.476413	0.000174
  51	4.9750e+00	0.9946	16.249471	0.000811	8.107264	1.373408	0.000162
  52	5.0745e+00	1.0155	16.435180	0.000932	9.323354	1.579419	0.000187
  53	5.1740e+00	1.0360	16.624925	0.000953	9.526036	1.613754	0.000191
  54	5.2735e+00	1.0556	16.798522	0.000872	8.715309	1.476413	0.000174
  55	5.3730e+00	1.0757	16.935784	0.000689	6.891175	1.167397	0.000138
  56	5.4725e+00	1.0956	17.178013	0.001216	12.160897	2.060112	0.000243
  57	5.5720e+00	1.1159	17.299127	0.000608	6.080448	1.030056	0.000122
  58	5.6715e+00	1.1347	17.480798	0.000912	9.120672	1.545084	0.000183
  59	5.7710e+00	1.1555	17.678617	0.000993	9.931399	1.682425	0.000199
  60	5.8705e+00	1.1745	17.832029	0.000770	7.701901	1.304737	0.000154
  61	5.9700e+00	1.1946	18.033885	0.001013	10.134081	1.716760	0.000203
  62	6.0695e+00	1.2154	18.183259	0.000750	7.499220	1.270402	0.000150
  63	6.1690e+00	1.2359	18.368968	0.000932	9.323354	1.579419	0.000187
  64	6.2685e+00	1.2546	18.510267	0.000709	7.093856	1.201732	0.000142
  65	6.3680e+00	1.2746	18.728273	0.001094	10.944807	1.854100	0.000219
  66	6.4675e+00	1.2936	18.922055	0.000973	9.728717	1.648089	0.000195
  67	6.5670e+00	1.3127	19.083541	0.000811	8.107264	1.373408	0.000162
  68	6.6665e+00	1.3338	19.261175	0.000892	8.917991	1.510749	0.000179
  69	6.7660e+00	1.3532	19.410549	0.000750	7.499220	1.270402	0.000150
  70	6.8655e+00	1.3737	19.616443	0.001034	10.336762	1.751095	0.000207
  71	6.9650e+00	1.3937	19.798114	0.000912	9.120672	1.545084	0.000183
  72	7.0645e+00	1.4135	20.016119	0.001094	10.944807	1.854100	0.000219
  73	7.1640e+00	1.4328	20.157419	0.000709	7.093856	1.201732	0.000142
  74	7.2635e+00	1.4534	20.310830	0.000770	7.701901	1.304737	0.000154
  75	7.3630e+00	1.4729	20.476352	0.000831	8.309946	1.407743	0.000166
  76	7.4625e+00	1.4935	20.666098	0.000953	9.526036	1.613754	0.000191
  77	7.5620e+00	1.5137	20.867955	0.001013	10.134081	1.716760	0.000203
  78	7.6615e+00	1.5323	21.033477	0.000831	8.309946	1.407743	0.000166
  79	7.7610e+00	1.5528	21.170740	0.000689	6.891175	1.167397	0.000138
  80	7.8605e+00	1.5724	21.417005	0.001236	12.363578	2.094447	0.000248
  81	7.9600e+00	1.5926	21.570416	0.000770	7.701901	1.304737	0.000154
  82	8.0595e+00	1.6130	21.711716	0.000709	7.093856	1.201732	0.000142
  83	8.1590e+00	1.6322	21.909536	0.000993	9.931399	1.682425	0.000199
  84	8.2585e+00	1.6518	22.079095	0.000851	8.512628	1.442078	0.000170
  85	8.3580e+00	1.6722	22.264804	0.000932	9.323354	1.579419	0.000187
  86	8.4575e+00	1.6909	22.426289	0.000811	8.107264	1.373408	0.000162
  87	8.5570e+00	1.7126	22.628146	0.001013	10.134081	1.716760	0.000203
  88	8.6565e+00	1.7330	22.777520	0.000750	7.499220	1.270402	0.000150
  89	8.7560e+00	1.7523	22.947080	0.000851	8.512628	1.442078	0.000170
  90	8.8555e+00	1.7716	23.152973	0.001034	10.336762	1.751095	0.000207
  91	8.9550e+00	1.7918	23.334645	0.000912	9.120672	1.545084	0.000183
  92	9.0545e+00	1.8119	23.524390	0.000953	9.526036	1.613754	0.000191
  93	9.1540e+00	1.8322	23.653578	0.000649	6.485812	1.098726	0.000130
  94	9.2535e+00	1.8520	23.859472	0.001034	10.336762	1.751095	0.000207
  95	9.3530e+00	1.8720	23.996735	0.000689	6.891175	1.167397	0.000138
  96	9.4525e+00	1.8922	24.190517	0.000973	9.728717	1.648089	0.000195
  97	9.5520e+00	1.9115	24.364114	0.000872	8.715309	1.476413	0.000174
  98	9.6515e+00	1.9317	24.541748	0.000892	8.917991	1.510749	0.000179
  99	9.7510e+00	1.9514	24.727456	0.000932	9.323354	1.579419	0.000187
 100	9.8505e+00	1.9717	24.897016	0.000851	8.512628	1.442078	0.000170
 101	9.9500e+00	1.9910	25.034279	0.000689	6.891175	1.167397	0.000138
 102	1.0050e+01	2.0112	25.260358	0.001135	11.350170	1.922771	0.000227
 103	1.0149e+01	2.0311	25.393584	0.000669	6.688493	1.133061	0.000134
 104	1.0248e+01	2.0501	25.591403	0.000993	9.931399	1.682425	0.000199
 105	1.0348e+01	2.0715	25.773075	0.000912	9.120672	1.545084	0.000183
 106	1.0447e+01	2.0905	25.926486	0.000770	7.701901	1.304737	0.000154
 107	1.0547e+01	2.1118	26.079897	0.000770	7.701901	1.304737	0.000154
 108	1.0646e+01	2.1313	26.289828	0.001054	10.539444	1.785430	0.000211
 109	1.0746e+01	2.1503	26.463425	0.000872	8.715309	1.476413	0.000174
 110	1.0845e+01	2.1706	26.616836	0.000770	7.701901	1.304737	0.000154
 111	1.0945e+01	2.1903	26.830804	0.001074	10.742125	1.819765	0.000215
 112	1.1044e+01	2.2102	26.996327	0.000831	8.309946	1.407743	0.000166
 113	1.1144e+01	2.2306	27.133589	0.000689	6.891175	1.167397	0.000138
 114	1.1243e+01	2.2511	27.311223	0.000892	8.917991	1.510749	0.000179
 115	1.1343e+01	2.2704	27.448486	0.000689	6.891175	1.167397	0.000138
 116	1.1443e+01	2.2906	27.642268	0.000973	9.728717	1.648089	0.000195
 117	1.1542e+01	2.3096	27.815865	0.000872	8.715309	1.476413	0.000174
 118	1.1642e+01	2.3302	27.989462	0.000872	8.715309	1.476413	0.000174
 119	1.1741e+01	2.3499	28.154985	0.000831	8.309946	1.407743	0.000166
 120	1.1841e+01	2.3698	28.300322	0.000730	7.296538	1.236067	0.000146
 121	1.1940e+01	2.3894	28.530438	0.001155	11.552852	1.957106	0.000231
 122	1.2040e+01	2.4099	28.683849	0.000770	7.701901	1.304737	0.000154
 123	1.2139e+01	2.4293	28.817075	0.000669	6.688493	1.133061	0.000134
 124	1.2239e+01	2.4501	29.002783	0.000932	9.323354	1.579419	0.000187
 125	1.2338e+01	2.4689	29.160231	0.000790	7.904583	1.339073	0.000158
 126	1.2438e+01	2.4902	29.345940	0.000932	9.323354	1.579419	0.000187
 127	1.2537e+01	2.5096	29.539722	0.000973	9.728717	1.648089	0.000195
 128	1.2636e+01	2.5291	29.681022	0.000709	7.093856	1.201732	0.000142
 129	1.2736e+01	2.5497	29.866730	0.000932	9.323354	1.579419	0.000187
 130	1.2835e+01	2.5690	30.012067	0.000730	7.296538	1.236067	0.000146
 131	1.2935e+01	2.5881	30.193738	0.000912	9.120672	1.545084	0.000183
 132	1.3034e+01	2.6087	30.383484	0.000953	9.526036	1.613754	0.000191
 133	1.3134e+01	2.6291	30.569192	0.000932	9.323354	1.579419	0.000187
 134	1.3233e+01	2.6492	30.698380	0.000649	6.485812	1.098726	0.000130
 135	1.3333e+01	2.6688	30.884088	0.000932	9.323354	1.579419	0.000187
 136	1.3432e+01	2.6886	31.037500	0.000770	7.701901	1.304737	0.000154
 137	1.3532e+01	2.7081	31.211096	0.000872	8.715309	1.476413	0.000174
 138	1.3632e+01	2.7282	31.429102	0.001094	10.944807	1.854100	0.000219
 139	1.3731e+01	2.7482	31.542142	0.000568	5.675085	0.961385	0.000114
 140	1.3831e+01	2.7682	31.739961	0.000993	9.931399	1.682425	0.000199
 141	1.3930e+01	2.7879	31.881261	0.000709	7.093856	1.201732	0.000142
 142	1.4030e+01	2.8082	32.091192	0.001054	10.539444	1.785430	0.000211
 143	1.4129e+01	2.8283	32.244603	0.000770	7.701901	1.304737	0.000154
 144	1.4229e+01	2.8478	32.389940	0.000730	7.296538	1.236067	0.000146
 145	1.4328e+01	2.8683	32.563537	0.000872	8.715309	1.476413	0.000174
 146	1.4428e+01	2.8877	32.761357	0.000993	9.931399	1.682425	0.000199
 147	1.4527e+01	2.9078	32.926879	0.000831	8.309946	1.407743	0.000166
 148	1.4627e+01	2.9269	33.092402	0.000831	8.309946	1.407743	0.000166
 149	1.4726e+01	2.9472	33.225627	0.000669	6.688493	1.133061	0.000134
 150	1.4825e+01	2.9673	33.419410	0.000973	9.728717	1.648089	0.000195
 151	1.4925e+01	2.9874	33.552635	0.000669	6.688493	1.133061	0.000134
 152	1.5024e+01	3.0074	33.738343	0.000932	9.323354	1.579419	0.000187
 153	1.5124e+01	3.0283	33.867532	0.000649	6.485812	1.098726	0.000130
 154	1.5223e+01	3.0478	34.057277	0.000953	9.526036	1.613754	0.000191
 155	1.5323e+01	3.0677	34.230874	0.000872	8.715309	1.476413	0.000174
 156	1.5422e+01	3.0878	34.432731	0.001013	10.134081	1.716760	0.000203
 157	1.5522e+01	3.1065	34.598253	0.000831	8.309946	1.407743	0.000166
 158	1.5621e+01	3.1268	34.739553	0.000709	7.093856	1.201732	0.000142
 159	1.5721e+01	3.1472	34.880853	0.000709	7.093856	1.201732	0.000142
 160	1.5820e+01	3.1670	35.066561	0.000932	9.323354	1.579419	0.000187
 161	1.5920e+01	3.1872	35.240158	0.000872	8.715309	1.476413	0.000174
 162	1.6020e+01	3.2060	35.401643	0.000811	8.107264	1.373408	0.000162
 163	1.6119e+01	3.2269	35.555054	0.000770	7.701901	1.304737	0.000154
 164	1.6218e+01	3.2461	35.760948	0.001034	10.336762	1.751095	0.000207
