»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:19:24
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:18:08 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2956	-0.871985	0.000481	4.808535	0.814588	1.878683
   2	1.0000e-04	0.6763	1.006697	0.000481	4.808535	0.814588	1.878683
   3	2.0000e-04	1.0117	5.310191	0.001101	11.014900	1.865975	4.303494
   4	3.0000e-04	1.4368	9.904953	0.001176	11.760410	1.992267	4.594762
   5	4.0000e-04	1.8576	13.553093	0.000934	9.337504	1.581816	3.648139
   6	5.0000e-04	2.2684	16.378398	0.000723	7.231440	1.225039	2.825306
   7	6.0000e-04	2.6773	18.726752	0.000601	6.010669	1.018235	2.348353
   8	7.0000e-04	3.0505	21.439191	0.000694	6.942556	1.176101	2.712439
   9	8.0000e-04	3.4506	24.606737	0.000811	8.107414	1.373433	3.167546
  10	9.0000e-04	3.8525	27.949044	0.000855	8.554720	1.449209	3.342307
  11	1.0000e-03	4.2502	31.597184	0.000934	9.337504	1.581816	3.648139
  12	1.1000e-03	4.6649	34.346031	0.000704	7.035744	1.191887	2.748848
  13	1.2000e-03	5.0658	36.971089	0.000672	6.718903	1.138213	2.625058
  14	1.3000e-03	5.4562	39.690810	0.000696	6.961193	1.179258	2.719721
  15	1.4000e-03	5.8621	42.436017	0.000703	7.026425	1.190309	2.745207
  16	1.5000e-03	6.2628	45.832937	0.000869	8.694503	1.472889	3.396920
  17	1.6000e-03	6.6617	48.312361	0.000635	6.346148	1.075067	2.479424
  18	1.7000e-03	7.0676	50.657074	0.000600	6.001350	1.016656	2.344712
  19	1.8000e-03	7.4710	53.114653	0.000629	6.290235	1.065595	2.457579
  20	1.9000e-03	7.8574	55.528541	0.000618	6.178409	1.046651	2.413889
  21	2.0000e-03	8.2718	58.572298	0.000779	7.790572	1.319759	3.043757
  22	2.1000e-03	8.6642	60.633024	0.000527	5.274479	0.893521	2.060725
  23	2.2000e-03	9.0720	62.759285	0.000544	5.442218	0.921937	2.126261
  24	2.3000e-03	9.4647	64.907391	0.000550	5.498131	0.931409	2.148106
  25	2.4000e-03	9.8599	67.037292	0.000545	5.451537	0.923515	2.129902
  26	2.5000e-03	9.6841	69.753372	-0.000695	-6.951874	-1.177679	2.716080
  27	2.6000e-03	9.3301	68.078578	0.000429	4.286679	0.726183	-1.674795
  28	2.7000e-03	8.9798	63.702267	0.001120	11.201278	1.897548	-4.376311
  29	2.8000e-03	8.5342	60.381804	0.000850	8.498806	1.439737	-3.320462
  30	2.9000e-03	8.0911	59.147554	0.000316	3.159096	0.535165	-1.234251
  31	3.0000e-03	7.6974	58.714292	0.000111	1.108945	0.187860	-0.433262
  32	3.1000e-03	7.3111	56.209382	0.000641	6.411380	1.086117	-2.504910
  33	3.2000e-03	6.9254	53.100089	0.000796	7.958312	1.348175	-3.109292
  34	3.3000e-03	6.5219	50.427700	0.000684	6.840048	1.158736	-2.672390
  35	3.4000e-03	6.1087	48.370615	0.000527	5.265160	0.891942	-2.057085
  36	3.5000e-03	5.7230	46.856018	0.000388	3.876649	0.656722	-1.514597
  37	3.6000e-03	5.3305	44.172706	0.000687	6.868005	1.163471	-2.683312
  38	3.7000e-03	4.9307	41.332837	0.000727	7.268716	1.231354	-2.839869
  39	3.8000e-03	4.5316	38.441996	0.000740	7.399180	1.253455	-2.890841
  40	3.9000e-03	4.1290	35.725916	0.000695	6.951874	1.177679	-2.716080
  41	4.0000e-03	3.7228	33.712522	0.000515	5.153333	0.872998	-2.013394
  42	4.1000e-03	3.3365	30.577743	0.000802	8.023544	1.359225	-3.134778
