»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:54:30
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:53:12 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2969	-1.055849	0.000480	4.802243	0.813522	1.878683
   2	1.0000e-04	0.6772	0.822834	0.000480	4.802243	0.813522	1.878683
   3	2.0000e-04	1.0184	5.057151	0.001082	10.823660	1.833578	4.234318
   4	3.0000e-04	1.4624	8.825439	0.000963	9.632406	1.631774	3.768288
   5	4.0000e-04	1.8922	11.195637	0.000606	6.058644	1.026362	2.370198
   6	5.0000e-04	2.2897	12.910481	0.000438	4.383443	0.742575	1.714844
   7	6.0000e-04	2.6779	14.683579	0.000453	4.532349	0.767801	1.773098
   8	7.0000e-04	3.0511	17.501603	0.000720	7.203364	1.220283	2.818024
   9	8.0000e-04	3.4569	20.534437	0.000775	7.752458	1.313302	3.032834
  10	9.0000e-04	3.8742	23.188623	0.000678	6.784564	1.149336	2.654185
  11	1.0000e-03	4.2740	25.853731	0.000681	6.812484	1.154066	2.665108
  12	1.1000e-03	4.6771	27.746977	0.000484	4.839469	0.819828	1.893246
  13	1.2000e-03	5.0725	29.989745	0.000573	5.732910	0.971181	2.242768
  14	1.3000e-03	5.4623	32.491014	0.000639	6.393684	1.083119	2.501269
  15	1.4000e-03	5.8762	34.773832	0.000584	5.835283	0.988524	2.282818
  16	1.5000e-03	6.2753	37.424376	0.000678	6.775257	1.147760	2.650544
  17	1.6000e-03	6.6751	39.295777	0.000478	4.783629	0.810369	1.871401
  18	1.7000e-03	7.0792	41.239995	0.000497	4.969763	0.841901	1.944218
  19	1.8000e-03	7.4796	43.253389	0.000515	5.146590	0.871856	2.013394
  20	1.9000e-03	7.8735	45.252220	0.000511	5.109363	0.865550	1.998831
  21	2.0000e-03	8.2779	47.742567	0.000637	6.365764	1.078390	2.490347
  22	2.1000e-03	8.6728	49.322699	0.000404	4.039096	0.684241	1.580132
  23	2.2000e-03	9.0829	51.081233	0.000450	4.495123	0.761494	1.758534
  24	2.3000e-03	9.4720	52.868895	0.000457	4.569576	0.774107	1.787661
  25	2.4000e-03	9.8703	54.580098	0.000437	4.374136	0.740999	1.711203
