»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:39:14
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:38:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0007	-1.121201	0.001192	11.915982	2.018622	0.047591
   2	5.0000e-04	0.0104	-0.883249	0.001192	11.915982	2.018622	0.047591
   3	1.0000e-03	0.0281	-0.830818	0.000263	2.625555	0.444781	0.010486
   4	1.5000e-03	0.0478	-0.681594	0.000747	7.472735	1.265916	0.029845
   5	2.0000e-03	0.0667	-0.552535	0.000646	6.462906	1.094846	0.025812
   6	2.5000e-03	0.0874	-0.310549	0.001212	12.117948	2.052836	0.048397
   7	3.0000e-03	0.1075	-0.169390	0.000707	7.068803	1.197488	0.028232
   8	3.5000e-03	0.1263	0.036298	0.001030	10.300256	1.744911	0.041138
   9	4.0000e-03	0.1478	0.173423	0.000687	6.866837	1.163274	0.027425
  10	4.5000e-03	0.1674	0.290383	0.000586	5.857008	0.992204	0.023392
  11	5.0000e-03	0.1868	0.387177	0.000485	4.847179	0.821134	0.019359
  12	5.5000e-03	0.2071	0.637230	0.001252	12.521880	2.121264	0.050010
  13	6.0000e-03	0.2273	0.810653	0.000868	8.684529	1.471199	0.034685
  14	6.5000e-03	0.2468	0.992142	0.000909	9.088461	1.539627	0.036298
  15	7.0000e-03	0.2671	1.185731	0.000969	9.694358	1.642269	0.038718
  16	7.5000e-03	0.2874	1.363187	0.000889	8.886495	1.505413	0.035491
  17	8.0000e-03	0.3076	1.548710	0.000929	9.290427	1.573841	0.037105
  18	8.5000e-03	0.3269	1.633405	0.000424	4.241282	0.718493	0.016939
  19	9.0000e-03	0.3468	1.818927	0.000929	9.290427	1.573841	0.037105
  20	9.5000e-03	0.3677	1.980251	0.000808	8.078632	1.368557	0.032265
  21	1.0000e-02	0.3874	2.125443	0.000727	7.270769	1.231702	0.029038
  22	1.0500e-02	0.4074	2.335164	0.001050	10.502222	1.779125	0.041944
  23	1.1000e-02	0.4273	2.452124	0.000586	5.857008	0.992204	0.023392
  24	1.1500e-02	0.4472	2.645713	0.000969	9.694358	1.642269	0.038718
  25	1.2000e-02	0.4678	2.823169	0.000889	8.886495	1.505413	0.035491
  26	1.2500e-02	0.4883	2.976427	0.000767	7.674700	1.300129	0.030652
  27	1.3000e-02	0.5072	3.149850	0.000868	8.684529	1.471199	0.034685
  28	1.3500e-02	0.5272	3.299075	0.000747	7.472735	1.265916	0.029845
  29	1.4000e-02	0.5476	3.480564	0.000909	9.088461	1.539627	0.036298
  30	1.4500e-02	0.5673	3.649954	0.000848	8.482564	1.436985	0.033878
  31	1.5000e-02	0.5873	3.807245	0.000788	7.876666	1.334343	0.031458
  32	1.5500e-02	0.6078	4.000834	0.000969	9.694358	1.642269	0.038718
  33	1.6000e-02	0.6278	4.170224	0.000848	8.482564	1.436985	0.033878
  34	1.6500e-02	0.6471	4.262985	0.000465	4.645213	0.786920	0.018552
  35	1.7000e-02	0.6675	4.468673	0.001030	10.300256	1.744911	0.041138
  36	1.7500e-02	0.6885	4.674361	0.001030	10.300256	1.744911	0.041138
  37	1.8000e-02	0.7076	4.811487	0.000687	6.866837	1.163274	0.027425
  38	1.8500e-02	0.7262	5.009108	0.000990	9.896324	1.676483	0.039524
  39	1.9000e-02	0.7469	5.146234	0.000687	6.866837	1.163274	0.027425
  40	1.9500e-02	0.7662	5.287392	0.000707	7.068803	1.197488	0.028232
  41	2.0000e-02	0.7876	5.493080	0.001030	10.300256	1.744911	0.041138
  42	2.0500e-02	0.8073	5.626173	0.000666	6.664871	1.129060	0.026618
