»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 16:58:26
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 04:57:56 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0002	10.934582	0.000608	6.081307	1.030201	0.000122
   2	9.9500e-02	0.0188	11.055696	0.000608	6.081307	1.030201	0.000122
   3	1.9900e-01	0.0392	11.265627	0.001054	10.540932	1.785682	0.000211
   4	2.9850e-01	0.0584	11.378667	0.000568	5.675886	0.961521	0.000114
   5	3.9800e-01	0.0785	11.552264	0.000872	8.716540	1.476622	0.000174
   6	4.9750e-01	0.0985	11.685489	0.000669	6.689437	1.133221	0.000134
   7	5.9700e-01	0.1190	11.814678	0.000649	6.486727	1.098881	0.000130
   8	6.9650e-01	0.1385	11.996349	0.000912	9.121960	1.545302	0.000183
   9	7.9600e-01	0.1590	12.145723	0.000750	7.500278	1.270582	0.000150
  10	8.9550e-01	0.1785	12.266837	0.000608	6.081307	1.030201	0.000122
  11	9.9500e-01	0.1988	12.440434	0.000872	8.716540	1.476622	0.000174
  12	1.0945e+00	0.2180	12.597882	0.000791	7.905699	1.339262	0.000158
  13	1.1940e+00	0.2394	12.694773	0.000487	4.865045	0.824161	0.000097
  14	1.2935e+00	0.2579	12.852222	0.000791	7.905699	1.339262	0.000158
  15	1.3930e+00	0.2784	12.981410	0.000649	6.486727	1.098881	0.000130
  16	1.4925e+00	0.2984	13.179230	0.000993	9.932801	1.682662	0.000199
  17	1.5920e+00	0.3183	13.316492	0.000689	6.892148	1.167561	0.000138
  18	1.6915e+00	0.3384	13.457792	0.000709	7.094858	1.201901	0.000142
  19	1.7910e+00	0.3577	13.586980	0.000649	6.486727	1.098881	0.000130
  20	1.8905e+00	0.3773	13.752503	0.000831	8.311119	1.407942	0.000166
  21	1.9900e+00	0.3979	13.897840	0.000730	7.297568	1.236241	0.000146
  22	2.0895e+00	0.4173	14.067399	0.000851	8.513829	1.442282	0.000170
  23	2.1890e+00	0.4373	14.216774	0.000750	7.500278	1.270582	0.000150
  24	2.2885e+00	0.4572	14.345962	0.000649	6.486727	1.098881	0.000130
  25	2.3880e+00	0.4779	14.503410	0.000791	7.905699	1.339262	0.000158
  26	2.4875e+00	0.4971	14.660858	0.000791	7.905699	1.339262	0.000158
  27	2.5870e+00	0.5174	14.830418	0.000851	8.513829	1.442282	0.000170
  28	2.6865e+00	0.5370	14.983829	0.000770	7.702989	1.304922	0.000154
  29	2.7860e+00	0.5570	15.145315	0.000811	8.108409	1.373602	0.000162
  30	2.8855e+00	0.5766	15.262392	0.000588	5.878596	0.995861	0.000118
  31	2.9850e+00	0.5972	15.423877	0.000811	8.108409	1.373602	0.000162
  32	3.0845e+00	0.6173	15.577288	0.000770	7.702989	1.304922	0.000154
  33	3.1840e+00	0.6371	15.714551	0.000689	6.892148	1.167561	0.000138
  34	3.2835e+00	0.6564	15.876036	0.000811	8.108409	1.373602	0.000162
  35	3.3830e+00	0.6766	16.025410	0.000750	7.500278	1.270582	0.000150
  36	3.4825e+00	0.6966	16.199007	0.000872	8.716540	1.476622	0.000174
  37	3.5820e+00	0.7168	16.320121	0.000608	6.081307	1.030201	0.000122
  38	3.6815e+00	0.7355	16.477570	0.000791	7.905699	1.339262	0.000158
  39	3.7810e+00	0.7562	16.651166	0.000872	8.716540	1.476622	0.000174
  40	3.8805e+00	0.7763	16.792466	0.000709	7.094858	1.201901	0.000142
  41	3.9800e+00	0.7960	16.933766	0.000709	7.094858	1.201901	0.000142
  42	4.0795e+00	0.8163	17.107363	0.000872	8.716540	1.476622	0.000174
  43	4.1790e+00	0.8362	17.276922	0.000851	8.513829	1.442282	0.000170
