»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 17:53:58
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 05:53:13 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0003	20.783175	0.000750	7.500121	1.270555	0.000150
   2	9.9500e-02	0.0190	20.932549	0.000750	7.500121	1.270555	0.000150
   3	1.9900e-01	0.0381	21.114220	0.000912	9.121769	1.545269	0.000183
   4	2.9850e-01	0.0586	21.243408	0.000649	6.486591	1.098858	0.000130
   5	3.9800e-01	0.0791	21.412968	0.000851	8.513651	1.442251	0.000170
   6	4.9750e-01	0.0992	21.586565	0.000872	8.716357	1.476591	0.000174
   7	5.9700e-01	0.1186	21.772273	0.000932	9.324475	1.579609	0.000187
   8	6.9650e-01	0.1383	21.945870	0.000872	8.716357	1.476591	0.000174
   9	7.9600e-01	0.1585	22.115430	0.000851	8.513651	1.442251	0.000170
  10	8.9550e-01	0.1782	22.264804	0.000750	7.500121	1.270555	0.000150
  11	9.9500e-01	0.1974	22.438400	0.000872	8.716357	1.476591	0.000174
  12	1.0945e+00	0.2184	22.620072	0.000912	9.121769	1.545269	0.000183
  13	1.1940e+00	0.2391	22.781557	0.000811	8.108239	1.373573	0.000162
  14	1.2935e+00	0.2583	22.999562	0.001095	10.946122	1.854323	0.000219
  15	1.3930e+00	0.2777	23.124714	0.000628	6.283885	1.064519	0.000126
  16	1.4925e+00	0.2972	23.322533	0.000993	9.932593	1.682627	0.000199
  17	1.5920e+00	0.3185	23.439610	0.000588	5.878473	0.995840	0.000118
  18	1.6915e+00	0.3378	23.649541	0.001054	10.540710	1.785645	0.000211
  19	1.7910e+00	0.3577	23.843324	0.000973	9.729887	1.648287	0.000195
  20	1.8905e+00	0.3777	23.984623	0.000709	7.094709	1.201876	0.000142
  21	1.9900e+00	0.3978	24.186480	0.001014	10.135299	1.716966	0.000203
  22	2.0895e+00	0.4173	24.335854	0.000750	7.500121	1.270555	0.000150
  23	2.1890e+00	0.4372	24.521562	0.000932	9.324475	1.579609	0.000187
  24	2.2885e+00	0.4581	24.695159	0.000872	8.716357	1.476591	0.000174
  25	2.3880e+00	0.4774	24.872793	0.000892	8.919063	1.510930	0.000179
  26	2.4875e+00	0.4967	25.022167	0.000750	7.500121	1.270555	0.000150
  27	2.5870e+00	0.5173	25.199801	0.000892	8.919063	1.510930	0.000179
  28	2.6865e+00	0.5373	25.409732	0.001054	10.540710	1.785645	0.000211
  29	2.7860e+00	0.5567	25.587366	0.000892	8.919063	1.510930	0.000179
  30	2.8855e+00	0.5772	25.797297	0.001054	10.540710	1.785645	0.000211
  31	2.9850e+00	0.5968	25.950709	0.000770	7.702827	1.304894	0.000154
  32	3.0845e+00	0.6171	26.100083	0.000750	7.500121	1.270555	0.000150
  33	3.1840e+00	0.6364	26.277717	0.000892	8.919063	1.510930	0.000179
  34	3.2835e+00	0.6561	26.471499	0.000973	9.729887	1.648287	0.000195
  35	3.3830e+00	0.6777	26.645096	0.000872	8.716357	1.476591	0.000174
  36	3.4825e+00	0.6959	26.826767	0.000912	9.121769	1.545269	0.000183
  37	3.5820e+00	0.7168	27.000364	0.000872	8.716357	1.476591	0.000174
  38	3.6815e+00	0.7354	27.190109	0.000953	9.527181	1.613948	0.000191
  39	3.7810e+00	0.7558	27.416189	0.001135	11.351534	1.923002	0.000227
  40	3.8805e+00	0.7758	27.561526	0.000730	7.297415	1.236216	0.000146
  41	3.9800e+00	0.7962	27.690714	0.000649	6.486591	1.098858	0.000130
  42	4.0795e+00	0.8163	27.961202	0.001358	13.581300	2.300735	0.000272
  43	4.1790e+00	0.8366	28.118650	0.000791	7.905533	1.339234	0.000158
  44	4.2785e+00	0.8566	28.284173	0.000831	8.310945	1.407912	0.000166
  45	4.3780e+00	0.8759	28.449696	0.000831	8.310945	1.407912	0.000166
  46	4.4775e+00	0.8955	28.619255	0.000851	8.513651	1.442251	0.000170
  47	4.5770e+00	0.9158	28.825149	0.001034	10.338004	1.751305	0.000207
  48	4.6765e+00	0.9357	29.006820	0.000912	9.121769	1.545269	0.000183
  49	4.7760e+00	0.9546	29.212714	0.001034	10.338004	1.751305	0.000207
  50	4.8755e+00	0.9746	29.366125	0.000770	7.702827	1.304894	0.000154
  51	4.9750e+00	0.9946	29.531648	0.000831	8.310945	1.407912	0.000166
  52	5.0745e+00	1.0159	29.757728	0.001135	11.351534	1.923002	0.000227
  53	5.1740e+00	1.0349	29.911139	0.000770	7.702827	1.304894	0.000154
  54	5.2735e+00	1.0559	30.141255	0.001155	11.554240	1.957341	0.000231
  55	5.3730e+00	1.0760	30.270444	0.000649	6.486591	1.098858	0.000130
  56	5.4725e+00	1.0951	30.492486	0.001115	11.148828	1.888663	0.000223
  57	5.5720e+00	1.1152	30.682232	0.000953	9.527181	1.613948	0.000191
  58	5.6715e+00	1.1349	30.827568	0.000730	7.297415	1.236216	0.000146
  59	5.7710e+00	1.1545	31.061722	0.001176	11.756946	1.991681	0.000235
  60	5.8705e+00	1.1745	31.271653	0.001054	10.540710	1.785645	0.000211
  61	5.9700e+00	1.1939	31.404879	0.000669	6.689297	1.133198	0.000134
  62	6.0695e+00	1.2145	31.598661	0.000973	9.729887	1.648287	0.000195
  63	6.1690e+00	1.2346	31.784370	0.000932	9.324475	1.579609	0.000187
  64	6.2685e+00	1.2543	31.966041	0.000912	9.121769	1.545269	0.000183
  65	6.3680e+00	1.2749	32.163860	0.000993	9.932593	1.682627	0.000199
  66	6.4675e+00	1.2939	32.329383	0.000831	8.310945	1.407912	0.000166
  67	6.5670e+00	1.3137	32.531240	0.001014	10.135299	1.716966	0.000203
  68	6.6665e+00	1.3331	32.692725	0.000811	8.108239	1.373573	0.000162
  69	6.7660e+00	1.3533	32.930916	0.001196	11.959652	2.026020	0.000239
  70	6.8655e+00	1.3736	33.120662	0.000953	9.527181	1.613948	0.000191
  71	6.9650e+00	1.3931	33.290221	0.000851	8.513651	1.442251	0.000170
  72	7.0645e+00	1.4127	33.496115	0.001034	10.338004	1.751305	0.000207
  73	7.1640e+00	1.4343	33.669712	0.000872	8.716357	1.476591	0.000174
  74	7.2635e+00	1.4534	33.867532	0.000993	9.932593	1.682627	0.000199
  75	7.3630e+00	1.4730	34.024980	0.000791	7.905533	1.339234	0.000158
  76	7.4625e+00	1.4925	34.206651	0.000912	9.121769	1.545269	0.000183
  77	7.5620e+00	1.5127	34.368137	0.000811	8.108239	1.373573	0.000162
  78	7.6615e+00	1.5333	34.590179	0.001115	11.148828	1.888663	0.000223
  79	7.7610e+00	1.5527	34.796073	0.001034	10.338004	1.751305	0.000207
  80	7.8605e+00	1.5726	34.941410	0.000730	7.297415	1.236216	0.000146
  81	7.9600e+00	1.5932	35.139229	0.000993	9.932593	1.682627	0.000199
  82	8.0595e+00	1.6121	35.312826	0.000872	8.716357	1.476591	0.000174
  83	8.1590e+00	1.6325	35.494497	0.000912	9.121769	1.545269	0.000183
  84	8.2585e+00	1.6526	35.696354	0.001014	10.135299	1.716966	0.000203
  85	8.3580e+00	1.6725	35.902248	0.001034	10.338004	1.751305	0.000207
  86	8.4575e+00	1.6919	36.075845	0.000872	8.716357	1.476591	0.000174
  87	8.5570e+00	1.7123	36.249442	0.000872	8.716357	1.476591	0.000174
  88	8.6565e+00	1.7316	36.431113	0.000912	9.121769	1.545269	0.000183
  89	8.7560e+00	1.7513	36.616821	0.000932	9.324475	1.579609	0.000187
  90	8.8555e+00	1.7720	36.794455	0.000892	8.919063	1.510930	0.000179
  91	8.9550e+00	1.7915	37.036683	0.001216	12.162358	2.060359	0.000243
  92	9.0545e+00	1.8120	37.153760	0.000588	5.878473	0.995840	0.000118
  93	9.1540e+00	1.8324	37.367728	0.001074	10.743416	1.819984	0.000215
  94	9.2535e+00	1.8513	37.557474	0.000953	9.527181	1.613948	0.000191
  95	9.3530e+00	1.8718	37.747219	0.000953	9.527181	1.613948	0.000191
  96	9.4525e+00	1.8917	37.924853	0.000892	8.919063	1.510930	0.000179
  97	9.5520e+00	1.9115	38.098450	0.000872	8.716357	1.476591	0.000174
  98	9.6515e+00	1.9315	38.292232	0.000973	9.729887	1.648287	0.000195
  99	9.7510e+00	1.9516	38.494089	0.001014	10.135299	1.716966	0.000203
 100	9.8505e+00	1.9708	38.667686	0.000872	8.716357	1.476591	0.000174
 101	9.9500e+00	1.9904	38.808986	0.000709	7.094709	1.201876	0.000142
 102	1.0050e+01	2.0112	38.998731	0.000953	9.527181	1.613948	0.000191
 103	1.0149e+01	2.0312	39.180402	0.000912	9.121769	1.545269	0.000183
