»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/8/2025 - 17:34:24
Configured:	07/08/25 02:50:47 PM
Executed:	07/08/25 05:33:52 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-724
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0000	-2.444058	0.000727	7.270644	1.231680	0.029038
   2	5.0000e-04	0.0098	-2.298866	0.000727	7.270644	1.231680	0.029038
   3	1.0000e-03	0.0275	-2.177873	0.000606	6.058870	1.026400	0.024199
   4	1.5000e-03	0.0473	-1.960086	0.001091	10.905966	1.847521	0.043557
   5	2.0000e-03	0.0676	-1.835060	0.000626	6.260832	1.060614	0.025005
   6	2.5000e-03	0.0886	-1.633405	0.001010	10.098116	1.710667	0.040331
   7	3.0000e-03	0.1074	-1.464015	0.000848	8.482418	1.436960	0.033878
   8	3.5000e-03	0.1277	-1.286558	0.000889	8.886343	1.505387	0.035491
   9	4.0000e-03	0.1473	-1.129268	0.000788	7.876531	1.334320	0.031458
  10	4.5000e-03	0.1668	-0.955844	0.000868	8.684380	1.471174	0.034685
  11	5.0000e-03	0.1864	-0.802587	0.000767	7.674569	1.300107	0.030652
  12	5.5000e-03	0.2072	-0.556568	0.001232	12.319702	2.087014	0.049204
  13	6.0000e-03	0.2268	-0.395244	0.000808	8.078493	1.368534	0.032265
  14	6.5000e-03	0.2467	-0.189556	0.001030	10.300079	1.744881	0.041138
  15	7.0000e-03	0.2679	-0.032265	0.000788	7.876531	1.334320	0.031458
  16	7.5000e-03	0.2871	0.145192	0.000889	8.886343	1.505387	0.035491
  17	8.0000e-03	0.3075	0.290383	0.000727	7.270644	1.231680	0.029038
  18	8.5000e-03	0.3269	0.500104	0.001050	10.502041	1.779094	0.041944
  19	9.0000e-03	0.3476	0.701759	0.001010	10.098116	1.710667	0.040331
  20	9.5000e-03	0.3666	0.927613	0.001131	11.309890	1.915947	0.045171
  21	1.0000e-02	0.3872	1.024407	0.000485	4.847096	0.821120	0.019359
  22	1.0500e-02	0.4081	1.222029	0.000990	9.896154	1.676454	0.039524
  23	1.1000e-02	0.4281	1.411585	0.000949	9.492229	1.608027	0.037911
  24	1.1500e-02	0.4473	1.572908	0.000808	8.078493	1.368534	0.032265
  25	1.2000e-02	0.4682	1.718100	0.000727	7.270644	1.231680	0.029038
