»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/9/2025 - 15:45:31
Configured:	07/09/25 02:06:30 PM
Executed:	07/09/25 03:45:01 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-900
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0005	16.063763	0.000973	9.729460	1.648215	0.000195
   2	9.9500e-02	0.0193	16.257546	0.000973	9.729460	1.648215	0.000195
   3	1.9900e-01	0.0388	16.410957	0.000770	7.702489	1.304837	0.000154
   4	2.9850e-01	0.0583	16.612814	0.001013	10.134854	1.716891	0.000203
   5	3.9800e-01	0.0787	16.717779	0.000527	5.270124	0.892783	0.000105
   6	4.9750e-01	0.0993	16.947896	0.001155	11.553733	1.957255	0.000231
   7	5.9700e-01	0.1193	17.125530	0.000892	8.918671	1.510864	0.000179
   8	6.9650e-01	0.1382	17.238570	0.000568	5.675518	0.961459	0.000114
   9	7.9600e-01	0.1589	17.412166	0.000872	8.715974	1.476526	0.000174
  10	8.9550e-01	0.1790	17.545392	0.000669	6.689004	1.133148	0.000134
  11	9.9500e-01	0.1980	17.759360	0.001074	10.742945	1.819904	0.000215
  12	1.0945e+00	0.2182	17.928920	0.000851	8.513277	1.442188	0.000170
  13	1.1940e+00	0.2388	18.138851	0.001054	10.540248	1.785566	0.000211
  14	1.2935e+00	0.2586	18.264002	0.000628	6.283609	1.064472	0.000126
  15	1.3930e+00	0.2779	18.465859	0.001013	10.134854	1.716891	0.000203
  16	1.4925e+00	0.2985	18.619270	0.000770	7.702489	1.304837	0.000154
  17	1.5920e+00	0.3181	18.796904	0.000892	8.918671	1.510864	0.000179
  18	1.6915e+00	0.3381	18.990687	0.000973	9.729460	1.648215	0.000195
  19	1.7910e+00	0.3571	19.140061	0.000750	7.499792	1.270499	0.000150
  20	1.8905e+00	0.3782	19.309620	0.000851	8.513277	1.442188	0.000170
  21	1.9900e+00	0.3980	19.483217	0.000872	8.715974	1.476526	0.000174
  22	2.0895e+00	0.4177	19.656814	0.000872	8.715974	1.476526	0.000174
  23	2.1890e+00	0.4378	19.858671	0.001013	10.134854	1.716891	0.000203
  24	2.2885e+00	0.4584	19.987859	0.000649	6.486306	1.098810	0.000130
  25	2.3880e+00	0.4790	20.185679	0.000993	9.932157	1.682553	0.000199
