»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 12:3:42
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 12:02:37 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3188	1.237892	0.000512	5.120826	0.867491	2.006113
   2	1.0000e-04	0.6919	3.244004	0.000512	5.120826	0.867491	2.006113
   3	2.0000e-04	1.0531	6.702819	0.000883	8.829010	1.495675	3.458815
   4	3.0000e-04	1.5102	9.145835	0.000624	6.236069	1.056419	2.443016
   5	4.0000e-04	1.9176	10.412853	0.000323	3.234206	0.547889	1.267018
   6	5.0000e-04	2.3041	11.894682	0.000378	3.782534	0.640779	1.481829
   7	6.0000e-04	2.6891	13.911717	0.000515	5.148707	0.872215	2.017035
   8	7.0000e-04	3.0762	16.463959	0.000651	6.514880	1.103651	2.552241
   9	8.0000e-04	3.4964	18.568374	0.000537	5.371756	0.910000	2.104416
  10	9.0000e-04	3.9044	20.214042	0.000420	4.200750	0.711626	1.645668
  11	1.0000e-03	4.2944	22.515064	0.000587	5.873615	0.995017	2.301022
  12	1.1000e-03	4.6948	24.313648	0.000459	4.591085	0.777751	1.798584
  13	1.2000e-03	5.0928	26.327042	0.000514	5.139413	0.870640	2.013394
  14	1.3000e-03	5.4926	28.169316	0.000470	4.702610	0.796644	1.842274
  15	1.4000e-03	5.9039	29.840470	0.000427	4.265806	0.722647	1.671154
  16	1.5000e-03	6.2958	32.279844	0.000623	6.226776	1.054844	2.439375
  17	1.6000e-03	6.6931	33.801723	0.000388	3.884764	0.658097	1.521879
  18	1.7000e-03	7.1002	35.370933	0.000401	4.005582	0.678564	1.569210
  19	1.8000e-03	7.5061	36.969269	0.000408	4.079932	0.691159	1.598337
  20	1.9000e-03	7.8943	38.523915	0.000397	3.968408	0.672266	1.554646
  21	2.0000e-03	8.3002	40.919600	0.000612	6.115251	1.035952	2.395684
  22	2.1000e-03	8.6963	42.048266	0.000288	2.881045	0.488062	1.128666
  23	2.2000e-03	9.1034	43.435432	0.000354	3.540898	0.599844	1.387167
  24	2.3000e-03	9.4936	44.829881	0.000356	3.559485	0.602993	1.394448
  25	2.4000e-03	9.8926	46.209766	0.000352	3.522310	0.596696	1.379885
  26	2.5000e-03	9.6797	48.255928	-0.000522	-5.223056	-0.884810	2.046162
  27	2.6000e-03	9.3274	45.874807	0.000608	6.078076	1.029654	-2.381121
  28	2.7000e-03	8.9253	42.674493	0.000817	8.169158	1.383893	-3.200314
  29	2.8000e-03	8.4737	41.902631	0.000197	1.970263	0.333772	-0.771862
  30	2.9000e-03	8.0847	41.702384	0.000051	0.511153	0.086592	-0.200247
  31	3.0000e-03	7.7081	40.591922	0.000283	2.834577	0.480190	-1.110462
  32	3.1000e-03	7.2906	37.912251	0.000684	6.840159	1.158754	-2.679671
  33	3.2000e-03	6.8817	36.452267	0.000373	3.726772	0.631332	-1.459984
  34	3.3000e-03	6.4895	35.538412	0.000233	2.332717	0.395173	-0.913855
  35	3.4000e-03	6.1115	33.805364	0.000442	4.423799	0.749412	-1.733048
  36	3.5000e-03	5.7143	32.483732	0.000337	3.373611	0.571505	-1.321631
  37	3.6000e-03	5.2975	30.452134	0.000519	5.185882	0.878512	-2.031599
  38	3.7000e-03	4.8962	28.904769	0.000395	3.949820	0.669118	-1.547365
  39	3.8000e-03	4.5039	27.142594	0.000450	4.498148	0.762007	-1.762175
  40	3.9000e-03	4.1096	25.114636	0.000518	5.176588	0.876938	-2.027958
  41	4.0000e-03	3.7012	23.836695	0.000326	3.262087	0.552612	-1.277941
  42	4.1000e-03	3.3101	21.677667	0.000551	5.511161	0.933616	-2.159029
  43	4.2000e-03	2.8981	19.704322	0.000504	5.037183	0.853322	-1.973345
  44	4.3000e-03	2.5081	17.588984	0.000540	5.399637	0.914723	-2.115338
  45	4.4000e-03	2.1153	15.495490	0.000534	5.343875	0.905277	-2.093493
  46	4.5000e-03	1.7123	13.904436	0.000406	4.061345	0.688010	-1.591055
  47	4.6000e-03	1.3014	11.577927	0.000594	5.938671	1.006038	-2.326508
  48	4.7000e-03	0.9167	9.309673	0.000579	5.789972	0.980848	-2.268254
  49	4.8000e-03	0.5106	7.074187	0.000571	5.706329	0.966678	-2.235487
  50	4.9000e-03	0.1131	4.882390	0.000559	5.594804	0.947786	-2.191796
  51	5.0000e-03	-0.2927	2.843510	0.000520	5.204469	0.881661	-2.038880
  52	5.1000e-03	-0.6810	0.462389	0.000608	6.078076	1.029654	-2.381121
  53	5.2000e-03	-1.0903	-1.754893	0.000566	5.659860	0.958806	-2.217282
  54	5.3000e-03	-1.4919	-3.917563	0.000552	5.520455	0.935190	-2.162669
  55	5.4000e-03	-1.8838	-6.156690	0.000572	5.715622	0.968253	-2.239127
  56	5.5000e-03	-2.2861	-8.355768	0.000561	5.613392	0.950934	-2.199078
  57	5.6000e-03	-2.6920	-10.482029	0.000543	5.427518	0.919446	-2.126261
  58	5.7000e-03	-3.0855	-12.626494	0.000547	5.473986	0.927318	-2.144465
  59	5.8000e-03	-3.4937	-14.643530	0.000515	5.148707	0.872215	-2.017035
  60	5.9000e-03	-3.8929	-16.653283	0.000513	5.130120	0.869066	-2.009753
  61	6.0000e-03	-4.2866	-18.888770	0.000571	5.706329	0.966678	-2.235487
  62	6.1000e-03	-4.6944	-20.701917	0.000463	4.628260	0.784048	-1.813147
  63	6.2000e-03	-5.0932	-22.595163	0.000483	4.832721	0.818685	-1.893246
  64	6.3000e-03	-5.4910	-24.448359	0.000473	4.730491	0.801367	-1.853197
  65	6.4000e-03	-5.8926	-26.297915	0.000472	4.721197	0.799792	-1.849556
  66	6.5000e-03	-6.2891	-28.533402	0.000571	5.706329	0.966678	-2.235487
  67	6.6000e-03	-6.6846	-30.295577	0.000450	4.498148	0.762007	-1.762175
  68	6.7000e-03	-7.0887	-32.061393	0.000451	4.507442	0.763581	-1.765816
  69	6.8000e-03	-7.4892	-33.954639	0.000483	4.832721	0.818685	-1.893246
  70	6.9000e-03	-7.8754	-35.858807	0.000486	4.860602	0.823408	-1.904169
  71	7.0000e-03	-8.2819	-38.345513	0.000635	6.347594	1.075311	-2.486706
  72	7.1000e-03	-8.6805	-39.922005	0.000402	4.024170	0.681713	-1.576491
  73	7.2000e-03	-9.0839	-41.756997	0.000468	4.684022	0.793495	-1.834992
  74	7.3000e-03	-9.4709	-43.639320	0.000480	4.804840	0.813962	-1.882323
  75	7.4000e-03	-9.8695	-45.539848	0.000485	4.851309	0.821834	-1.900528
  76	7.5000e-03	-9.6931	-48.255928	-0.000693	-6.933096	-1.174498	-2.716080
  77	7.6000e-03	-9.3183	-46.471908	0.000455	4.553910	0.771453	1.784020
  78	7.7000e-03	-8.9387	-43.449996	0.000771	7.713767	1.306747	3.021912
  79	7.8000e-03	-8.4827	-42.605317	0.000216	2.156137	0.365260	0.844679
  80	7.9000e-03	-8.0793	-42.412351	0.000049	0.492566	0.083443	0.192965
  81	8.0000e-03	-7.7217	-41.582236	0.000212	2.118962	0.358962	0.830116
  82	8.1000e-03	-7.3066	-38.949896	0.000672	6.719341	1.138287	2.632340
  83	8.2000e-03	-6.8934	-37.693800	0.000321	3.206325	0.543166	1.256096
  84	8.3000e-03	-6.5038	-36.692564	0.000256	2.555766	0.432958	1.001236
  85	8.4000e-03	-6.1121	-35.006847	0.000430	4.302981	0.728945	1.685717
  86	8.5000e-03	-5.7154	-34.100273	0.000231	2.314130	0.392024	0.906574
  87	8.6000e-03	-5.2961	-32.043189	0.000525	5.250938	0.889533	2.057085
  88	8.7000e-03	-4.8988	-30.477620	0.000400	3.996289	0.676990	1.565569
  89	8.8000e-03	-4.5089	-28.708163	0.000452	4.516736	0.765156	1.769457
  90	8.9000e-03	-4.1128	-26.873171	0.000468	4.684022	0.793495	1.834992
  91	9.0000e-03	-3.6996	-26.126795	0.000191	1.905207	0.322751	0.746376
  92	9.1000e-03	-3.3126	-23.785723	0.000598	5.975846	1.012336	2.341071
  93	9.2000e-03	-2.8971	-21.801456	0.000507	5.065064	0.858045	1.984267
  94	9.3000e-03	-2.5094	-19.824470	0.000505	5.046476	0.854896	1.976986
  95	9.4000e-03	-2.1120	-17.807435	0.000515	5.148707	0.872215	2.017035
  96	9.5000e-03	-1.7056	-16.879016	0.000237	2.369892	0.401471	0.928419
  97	9.6000e-03	-1.3030	-14.319493	0.000653	6.533467	1.106799	2.559523
  98	9.7000e-03	-0.9155	-12.076725	0.000572	5.724916	0.969827	2.242768
  99	9.8000e-03	-0.5057	-9.946823	0.000544	5.436811	0.921021	2.129902
 100	9.9000e-03	-0.1099	-7.791435	0.000550	5.501867	0.932042	2.155388
 101	1.0000e-02	-0.0298	-6.655488	0.000550	5.501867	0.932042	1.135948

PMax (uC/cm2):	4.51e+01
Pr (uC/cm2):	3.17e+00
-Pr (uC/cm2):	-7.80e+00
PLoss (uC/cm2):	-7.89e+00
-Vc:	-5.69e-01
