»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 12:4:23
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 12:03:54 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0009	26.923658	0.000345	3.445206	0.583634	0.000069
   2	9.9500e-02	0.0220	26.992290	0.000345	3.445206	0.583634	0.000069
   3	1.9900e-01	0.0412	27.113404	0.000608	6.079776	1.029942	0.000122
   4	2.9850e-01	0.0616	27.198183	0.000426	4.255843	0.720959	0.000085
   5	3.9800e-01	0.0815	27.323335	0.000628	6.282435	1.064273	0.000126
   6	4.9750e-01	0.1015	27.420226	0.000486	4.863821	0.823954	0.000097
   7	5.9700e-01	0.1221	27.529229	0.000547	5.471798	0.926948	0.000110
   8	6.9650e-01	0.1374	27.601897	0.000365	3.647865	0.617965	0.000073
   9	7.9600e-01	0.1607	27.727048	0.000628	6.282435	1.064273	0.000126
  10	8.9550e-01	0.1797	27.783568	0.000284	2.837229	0.480640	0.000057
  11	9.9500e-01	0.2010	27.936979	0.000770	7.701049	1.304593	0.000154
  12	1.0945e+00	0.2198	27.969276	0.000162	1.621274	0.274651	0.000032
  13	1.1940e+00	0.2406	28.074242	0.000527	5.269139	0.892616	0.000105
  14	1.2935e+00	0.2605	28.187282	0.000567	5.674457	0.961279	0.000114
  15	1.3930e+00	0.2802	28.316470	0.000649	6.485094	1.098605	0.000130
  16	1.4925e+00	0.3003	28.397213	0.000405	4.053184	0.686628	0.000081
  17	1.5920e+00	0.3197	28.514290	0.000588	5.877116	0.995610	0.000118
  18	1.6915e+00	0.3404	28.651552	0.000689	6.890412	1.167267	0.000138
  19	1.7910e+00	0.3601	28.720184	0.000345	3.445206	0.583634	0.000069
  20	1.8905e+00	0.3796	28.825149	0.000527	5.269139	0.892616	0.000105
  21	1.9900e+00	0.4000	28.942226	0.000588	5.877116	0.995610	0.000118
  22	2.0895e+00	0.4187	29.051229	0.000547	5.471798	0.926948	0.000110
  23	2.1890e+00	0.4396	29.152157	0.000507	5.066480	0.858285	0.000101
  24	2.2885e+00	0.4606	29.240974	0.000446	4.458502	0.755291	0.000089
  25	2.3880e+00	0.4798	29.337865	0.000486	4.863821	0.823954	0.000097
  26	2.4875e+00	0.5000	29.467054	0.000649	6.485094	1.098605	0.000130
  27	2.5870e+00	0.5193	29.584131	0.000588	5.877116	0.995610	0.000118
  28	2.6865e+00	0.5396	29.644688	0.000304	3.039888	0.514971	0.000061
  29	2.7860e+00	0.5595	29.790025	0.000730	7.295731	1.235930	0.000146
  30	2.8855e+00	0.5798	29.874804	0.000426	4.255843	0.720959	0.000085
  31	2.9850e+00	0.5986	29.999956	0.000628	6.282435	1.064273	0.000126
  32	3.0845e+00	0.6185	30.088773	0.000446	4.458502	0.755291	0.000089
  33	3.1840e+00	0.6392	30.221998	0.000669	6.687753	1.132936	0.000134
  34	3.2835e+00	0.6591	30.322927	0.000507	5.066480	0.858285	0.000101
  35	3.3830e+00	0.6796	30.415781	0.000466	4.661161	0.789622	0.000093
  36	3.4825e+00	0.6991	30.520746	0.000527	5.269139	0.892616	0.000105
  37	3.5820e+00	0.7188	30.645897	0.000628	6.282435	1.064273	0.000126
  38	3.6815e+00	0.7391	30.746826	0.000507	5.066480	0.858285	0.000101
  39	3.7810e+00	0.7587	30.859866	0.000567	5.674457	0.961279	0.000114
  40	3.8805e+00	0.7788	30.936571	0.000385	3.850525	0.652297	0.000077
  41	3.9800e+00	0.7983	31.065760	0.000649	6.485094	1.098605	0.000130
  42	4.0795e+00	0.8188	31.162651	0.000486	4.863821	0.823954	0.000097
  43	4.1790e+00	0.8392	31.303951	0.000709	7.093072	1.201599	0.000142
  44	4.2785e+00	0.8590	31.384693	0.000405	4.053184	0.686628	0.000081
  45	4.3780e+00	0.8791	31.497733	0.000567	5.674457	0.961279	0.000114
  46	4.4775e+00	0.8979	31.622884	0.000628	6.282435	1.064273	0.000126
  47	4.5770e+00	0.9187	31.719775	0.000486	4.863821	0.823954	0.000097
  48	4.6765e+00	0.9391	31.812630	0.000466	4.661161	0.789622	0.000093
  49	4.7760e+00	0.9583	31.974115	0.000811	8.106368	1.373256	0.000162
  50	4.8755e+00	0.9777	32.062932	0.000446	4.458502	0.755291	0.000089
  51	4.9750e+00	0.9978	32.171935	0.000547	5.471798	0.926948	0.000110
  52	5.0745e+00	1.0182	32.264789	0.000466	4.661161	0.789622	0.000093
  53	5.1740e+00	1.0381	32.369754	0.000527	5.269139	0.892616	0.000105
  54	5.2735e+00	1.0588	32.498943	0.000649	6.485094	1.098605	0.000130
  55	5.3730e+00	1.0786	32.603908	0.000527	5.269139	0.892616	0.000105
  56	5.4725e+00	1.0983	32.704837	0.000507	5.066480	0.858285	0.000101
  57	5.5720e+00	1.1181	32.854211	0.000750	7.498390	1.270262	0.000150
  58	5.6715e+00	1.1382	32.967250	0.000567	5.674457	0.961279	0.000114
  59	5.7710e+00	1.1573	33.043956	0.000385	3.850525	0.652297	0.000077
  60	5.8705e+00	1.1775	33.148922	0.000527	5.269139	0.892616	0.000105
  61	5.9700e+00	1.1979	33.270036	0.000608	6.079776	1.029942	0.000122
  62	6.0695e+00	1.2182	33.370964	0.000507	5.066480	0.858285	0.000101
  63	6.1690e+00	1.2376	33.504189	0.000669	6.687753	1.132936	0.000134
  64	6.2685e+00	1.2572	33.617229	0.000567	5.674457	0.961279	0.000114
  65	6.3680e+00	1.2762	33.722195	0.000527	5.269139	0.892616	0.000105
  66	6.4675e+00	1.2962	33.819086	0.000486	4.863821	0.823954	0.000097
  67	6.5670e+00	1.3154	33.968460	0.000750	7.498390	1.270262	0.000150
  68	6.6665e+00	1.3361	34.065351	0.000486	4.863821	0.823954	0.000097
  69	6.7660e+00	1.3564	34.202614	0.000689	6.890412	1.167267	0.000138
  70	6.8655e+00	1.3756	34.311617	0.000547	5.471798	0.926948	0.000110
  71	6.9650e+00	1.3966	34.424656	0.000567	5.674457	0.961279	0.000114
  72	7.0645e+00	1.4169	34.509436	0.000426	4.255843	0.720959	0.000085
  73	7.1640e+00	1.4364	34.650736	0.000709	7.093072	1.201599	0.000142
  74	7.2635e+00	1.4559	34.763776	0.000567	5.674457	0.961279	0.000114
  75	7.3630e+00	1.4764	34.880853	0.000588	5.877116	0.995610	0.000118
  76	7.4625e+00	1.4954	35.018115	0.000689	6.890412	1.167267	0.000138
  77	7.5620e+00	1.5150	35.123081	0.000527	5.269139	0.892616	0.000105
  78	7.6615e+00	1.5362	35.211898	0.000446	4.458502	0.755291	0.000089
  79	7.7610e+00	1.5553	35.337049	0.000628	6.282435	1.064273	0.000126
  80	7.8605e+00	1.5759	35.450089	0.000567	5.674457	0.961279	0.000114
  81	7.9600e+00	1.5959	35.587352	0.000689	6.890412	1.167267	0.000138
  82	8.0595e+00	1.6158	35.704428	0.000588	5.877116	0.995610	0.000118
  83	8.1590e+00	1.6360	35.805357	0.000507	5.066480	0.858285	0.000101
  84	8.2585e+00	1.6561	35.918397	0.000567	5.674457	0.961279	0.000114
  85	8.3580e+00	1.6759	36.027399	0.000547	5.471798	0.926948	0.000110
  86	8.4575e+00	1.6949	36.168699	0.000709	7.093072	1.201599	0.000142
  87	8.5570e+00	1.7136	36.289813	0.000608	6.079776	1.029942	0.000122
  88	8.6565e+00	1.7349	36.398816	0.000547	5.471798	0.926948	0.000110
  89	8.7560e+00	1.7547	36.507818	0.000547	5.471798	0.926948	0.000110
  90	8.8555e+00	1.7747	36.620858	0.000567	5.674457	0.961279	0.000114
  91	8.9550e+00	1.7941	36.762158	0.000709	7.093072	1.201599	0.000142
  92	9.0545e+00	1.8154	36.855012	0.000466	4.661161	0.789622	0.000093
  93	9.1540e+00	1.8346	36.972089	0.000588	5.877116	0.995610	0.000118
  94	9.2535e+00	1.8540	37.121463	0.000750	7.498390	1.270262	0.000150
  95	9.3530e+00	1.8743	37.238540	0.000588	5.877116	0.995610	0.000118
  96	9.4525e+00	1.8948	37.323320	0.000426	4.255843	0.720959	0.000085
  97	9.5520e+00	1.9103	37.460583	0.000689	6.890412	1.167267	0.000138
  98	9.6515e+00	1.9347	37.569585	0.000547	5.471798	0.926948	0.000110
  99	9.7510e+00	1.9549	37.690699	0.000608	6.079776	1.029942	0.000122
 100	9.8505e+00	1.9748	37.791628	0.000507	5.066480	0.858285	0.000101
 101	9.9500e+00	1.9946	37.936965	0.000730	7.295731	1.235930	0.000146
 102	1.0050e+01	2.0146	38.037893	0.000507	5.066480	0.858285	0.000101
 103	1.0149e+01	2.0339	38.167081	0.000649	6.485094	1.098605	0.000130
 104	1.0248e+01	2.0547	38.268010	0.000507	5.066480	0.858285	0.000101
 105	1.0348e+01	2.0739	38.409309	0.000709	7.093072	1.201599	0.000142
 106	1.0447e+01	2.0947	38.514275	0.000527	5.269139	0.892616	0.000105
 107	1.0547e+01	2.1144	38.659612	0.000730	7.295731	1.235930	0.000146
 108	1.0646e+01	2.1340	38.764577	0.000527	5.269139	0.892616	0.000105
 109	1.0746e+01	2.1535	38.841283	0.000385	3.850525	0.652297	0.000077
 110	1.0845e+01	2.1739	38.966434	0.000628	6.282435	1.064273	0.000126
 111	1.0945e+01	2.1941	39.095622	0.000649	6.485094	1.098605	0.000130
 112	1.1044e+01	2.2137	39.208662	0.000567	5.674457	0.961279	0.000114
 113	1.1144e+01	2.2341	39.337851	0.000649	6.485094	1.098605	0.000130
 114	1.1243e+01	2.2527	39.458965	0.000608	6.079776	1.029942	0.000122
 115	1.1343e+01	2.2735	39.572005	0.000567	5.674457	0.961279	0.000114
 116	1.1443e+01	2.2933	39.713304	0.000709	7.093072	1.201599	0.000142
 117	1.1542e+01	2.3129	39.818270	0.000527	5.269139	0.892616	0.000105
 118	1.1642e+01	2.3335	39.939384	0.000608	6.079776	1.029942	0.000122
 119	1.1741e+01	2.3540	40.040312	0.000507	5.066480	0.858285	0.000101
 120	1.1841e+01	2.3733	40.104906	0.000324	3.242547	0.549302	0.000065
 121	1.1940e+01	2.3922	40.262355	0.000790	7.903708	1.338924	0.000158
 122	1.2040e+01	2.4126	40.363283	0.000507	5.066480	0.858285	0.000101
 123	1.2139e+01	2.4334	40.452100	0.000446	4.458502	0.755291	0.000089
 124	1.2239e+01	2.4517	40.633771	0.000912	9.119664	1.544913	0.000183
 125	1.2338e+01	2.4725	40.750848	0.000588	5.877116	0.995610	0.000118
 126	1.2438e+01	2.4929	40.843702	0.000466	4.661161	0.789622	0.000093
 127	1.2537e+01	2.5126	40.964816	0.000608	6.079776	1.029942	0.000122
 128	1.2636e+01	2.5323	41.053633	0.000446	4.458502	0.755291	0.000089
 129	1.2736e+01	2.5527	41.178785	0.000628	6.282435	1.064273	0.000126
 130	1.2835e+01	2.5704	41.303936	0.000628	6.282435	1.064273	0.000126
 131	1.2935e+01	2.5920	41.445235	0.000709	7.093072	1.201599	0.000142
 132	1.3034e+01	2.6119	41.562312	0.000588	5.877116	0.995610	0.000118
 133	1.3134e+01	2.6324	41.643055	0.000405	4.053184	0.686628	0.000081
 134	1.3233e+01	2.6519	41.768206	0.000628	6.282435	1.064273	0.000126
 135	1.3333e+01	2.6720	41.897395	0.000649	6.485094	1.098605	0.000130
 136	1.3432e+01	2.6922	42.006397	0.000547	5.471798	0.926948	0.000110
 137	1.3532e+01	2.7119	42.147697	0.000709	7.093072	1.201599	0.000142
 138	1.3632e+01	2.7325	42.232477	0.000426	4.255843	0.720959	0.000085
 139	1.3731e+01	2.7514	42.357628	0.000628	6.282435	1.064273	0.000126
 140	1.3831e+01	2.7718	42.462594	0.000527	5.269139	0.892616	0.000105
 141	1.3930e+01	2.7921	42.555448	0.000466	4.661161	0.789622	0.000093
 142	1.4030e+01	2.8127	42.708859	0.000770	7.701049	1.304593	0.000154
 143	1.4129e+01	2.8304	42.801713	0.000466	4.661161	0.789622	0.000093
 144	1.4229e+01	2.8515	42.922827	0.000608	6.079776	1.029942	0.000122
 145	1.4328e+01	2.8713	43.027793	0.000527	5.269139	0.892616	0.000105
 146	1.4428e+01	2.8917	43.148907	0.000608	6.079776	1.029942	0.000122
