»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/3/2025 - 14:9:26
Configured:	07/03/25 12:01:19 PM
Executed:	07/03/25 02:09:03 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-410
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0009	2.673944	0.000788	7.875388	1.334127	0.031458
   2	5.0000e-04	0.0111	2.831235	0.000788	7.875388	1.334127	0.031458
   3	1.0000e-03	0.0282	2.899798	0.000343	3.432861	0.581542	0.013713
   4	1.5000e-03	0.0474	3.032890	0.000666	6.663789	1.128876	0.026618
   5	2.0000e-03	0.0670	3.117585	0.000424	4.240593	0.718376	0.016939
   6	2.5000e-03	0.0860	3.182115	0.000323	3.230928	0.547334	0.012906
   7	3.0000e-03	0.1077	3.351505	0.000848	8.481187	1.436752	0.033878
   8	3.5000e-03	0.1276	3.488630	0.000687	6.865722	1.163085	0.027425
   9	4.0000e-03	0.1472	3.585425	0.000485	4.846392	0.821001	0.019359
  10	4.5000e-03	0.1675	3.698351	0.000565	5.654124	0.957835	0.022585
  11	5.0000e-03	0.1875	3.774980	0.000384	3.836727	0.649959	0.015326
  12	5.5000e-03	0.2079	3.863708	0.000444	4.442526	0.752584	0.017746
  13	6.0000e-03	0.2271	3.964536	0.000505	5.048325	0.855209	0.020165
  14	6.5000e-03	0.2471	4.105694	0.000707	7.067655	1.197293	0.028232
  15	7.0000e-03	0.2674	4.194423	0.000444	4.442526	0.752584	0.017746
  16	7.5000e-03	0.2876	4.287184	0.000464	4.644459	0.786793	0.018552
  17	8.0000e-03	0.3080	4.408177	0.000606	6.057990	1.026251	0.024199
  18	8.5000e-03	0.3274	4.573534	0.000828	8.279254	1.402544	0.033071
  19	9.0000e-03	0.3473	4.698560	0.000626	6.259923	1.060460	0.025005
  20	9.5000e-03	0.3667	4.803420	0.000525	5.250258	0.889418	0.020972
  21	1.0000e-02	0.3867	4.896182	0.000464	4.644459	0.786793	0.018552
  22	1.0500e-02	0.4078	5.025241	0.000646	6.461856	1.094668	0.025812
  23	1.1000e-02	0.4272	5.105903	0.000404	4.038660	0.684168	0.016132
  24	1.1500e-02	0.4479	5.234962	0.000646	6.461856	1.094668	0.025812
  25	1.2000e-02	0.4679	5.315624	0.000404	4.038660	0.684168	0.016132
  26	1.2500e-02	0.4871	5.424518	0.000545	5.452191	0.923626	0.021779
  27	1.3000e-02	0.5077	5.573742	0.000747	7.471521	1.265710	0.029845
  28	1.3500e-02	0.5273	5.662470	0.000444	4.442526	0.752584	0.017746
  29	1.4000e-02	0.5473	5.791530	0.000646	6.461856	1.094668	0.025812
  30	1.4500e-02	0.5675	5.839927	0.000242	2.423196	0.410501	0.009679
  31	1.5000e-02	0.5870	5.896390	0.000283	2.827062	0.478917	0.011293
  32	1.5500e-02	0.6073	6.134343	0.001191	11.914048	2.018294	0.047591
  33	1.6000e-02	0.6281	6.259369	0.000626	6.259923	1.060460	0.025005
  34	1.6500e-02	0.6480	6.380362	0.000606	6.057990	1.026251	0.024199
  35	1.7000e-02	0.6681	6.465057	0.000424	4.240593	0.718376	0.016939
  36	1.7500e-02	0.6879	6.541686	0.000384	3.836727	0.649959	0.015326
  37	1.8000e-02	0.7080	6.698977	0.000788	7.875388	1.334127	0.031458
  38	1.8500e-02	0.7267	6.783672	0.000424	4.240593	0.718376	0.016939
  39	1.9000e-02	0.7472	6.908698	0.000626	6.259923	1.060460	0.025005
  40	1.9500e-02	0.7676	7.009525	0.000505	5.048325	0.855209	0.020165
  41	2.0000e-02	0.7883	7.102287	0.000464	4.644459	0.786793	0.018552
  42	2.0500e-02	0.8082	7.243445	0.000707	7.067655	1.197293	0.028232
  43	2.1000e-02	0.8282	7.376537	0.000666	6.663789	1.128876	0.026618
  44	2.1500e-02	0.8478	7.424935	0.000242	2.423196	0.410501	0.009679
  45	2.2000e-02	0.8683	7.562060	0.000687	6.865722	1.163085	0.027425
  46	2.2500e-02	0.8878	7.683053	0.000606	6.057990	1.026251	0.024199
  47	2.3000e-02	0.9086	7.791946	0.000545	5.452191	0.923626	0.021779
  48	2.3500e-02	0.9278	7.888741	0.000485	4.846392	0.821001	0.019359
