»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 14:26:8
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 02:25:48 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0004	2.423892	0.000464	4.644096	0.786731	0.018552
   2	5.0000e-04	0.0109	2.516654	0.000464	4.644096	0.786731	0.018552
   3	1.0000e-03	0.0286	2.565051	0.000242	2.423006	0.410468	0.009679
   4	1.5000e-03	0.0481	2.722342	0.000787	7.874771	1.334022	0.031458
   5	2.0000e-03	0.0669	2.782838	0.000303	3.028758	0.513085	0.012099
   6	2.5000e-03	0.0885	2.940129	0.000787	7.874771	1.334022	0.031458
   7	3.0000e-03	0.1080	3.053056	0.000565	5.653682	0.957760	0.022585
   8	3.5000e-03	0.1279	3.182115	0.000646	6.461350	1.094582	0.025812
   9	4.0000e-03	0.1480	3.210346	0.000141	1.413420	0.239440	0.005646
  10	4.5000e-03	0.1679	3.343439	0.000666	6.663268	1.128788	0.026618
  11	5.0000e-03	0.1881	3.492663	0.000747	7.470936	1.265611	0.029845
  12	5.5000e-03	0.2074	3.633822	0.000707	7.067102	1.197199	0.028232
  13	6.0000e-03	0.2283	3.698351	0.000323	3.230675	0.547291	0.012906
  14	6.5000e-03	0.2477	3.811278	0.000565	5.653682	0.957760	0.022585
  15	7.0000e-03	0.2676	3.956470	0.000727	7.269019	1.231405	0.029038
  16	7.5000e-03	0.2887	3.984701	0.000141	1.413420	0.239440	0.005646
  17	8.0000e-03	0.3079	4.170224	0.000929	9.288191	1.573462	0.037105
  18	8.5000e-03	0.3282	4.238787	0.000343	3.432592	0.581497	0.013713
  19	9.0000e-03	0.3474	4.371879	0.000666	6.663268	1.128788	0.026618
  20	9.5000e-03	0.3673	4.484806	0.000565	5.653682	0.957760	0.022585
  21	1.0000e-02	0.3882	4.609832	0.000626	6.259433	1.060377	0.025005
  22	1.0500e-02	0.4077	4.738891	0.000646	6.461350	1.094582	0.025812
  23	1.1000e-02	0.4283	4.851818	0.000565	5.653682	0.957760	0.022585
  24	1.1500e-02	0.4485	4.964744	0.000565	5.653682	0.957760	0.022585
  25	1.2000e-02	0.4688	5.081704	0.000586	5.855599	0.991965	0.023392
  26	1.2500e-02	0.4892	5.170432	0.000444	4.442178	0.752525	0.017746
  27	1.3000e-02	0.5087	5.271260	0.000505	5.047930	0.855142	0.020165
  28	1.3500e-02	0.5280	5.351922	0.000404	4.038344	0.684114	0.016132
  29	1.4000e-02	0.5476	5.480981	0.000646	6.461350	1.094582	0.025812
  30	1.4500e-02	0.5685	5.626173	0.000727	7.269019	1.231405	0.029038
