»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/7/2025 - 15:7:37
Configured:	07/07/25 01:27:50 PM
Executed:	07/07/25 03:06:17 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-528
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2979	1.034004	0.000472	4.715283	0.798790	1.845915
   2	1.0000e-04	0.6921	2.879918	0.000472	4.715283	0.798790	1.845915
   3	2.0000e-04	1.0434	6.287761	0.000871	8.705137	1.474690	3.407843
   4	3.0000e-04	1.4856	9.054813	0.000707	7.068274	1.197398	2.767052
   5	4.0000e-04	1.9031	10.722326	0.000426	4.259565	0.721590	1.667513
   6	5.0000e-04	2.2900	12.357071	0.000418	4.175862	0.707410	1.634745
   7	6.0000e-04	2.6859	14.283085	0.000492	4.919891	0.833452	1.926014
   8	7.0000e-04	3.0646	16.729741	0.000625	6.249842	1.058752	2.446656
   9	8.0000e-04	3.4781	19.045327	0.000592	5.915029	1.002033	2.315585
  10	9.0000e-04	3.8870	21.051439	0.000512	5.124498	0.868114	2.006113
  11	1.0000e-03	4.2783	23.443483	0.000611	6.110337	1.035119	2.392044
  12	1.1000e-03	4.6805	25.307602	0.000476	4.761784	0.806668	1.864119
  13	1.2000e-03	5.0821	27.379250	0.000529	5.291905	0.896473	2.071648
  14	1.3000e-03	5.4736	29.425412	0.000523	5.226802	0.885444	2.046162
  15	1.4000e-03	5.8853	31.340503	0.000489	4.891989	0.828725	1.915091
  16	1.5000e-03	6.2823	33.790800	0.000626	6.259142	1.060327	2.450297
  17	1.6000e-03	6.6776	35.563898	0.000453	4.529275	0.767280	1.773098
  18	1.7000e-03	7.0834	37.271460	0.000436	4.361869	0.738921	1.707562
  19	1.8000e-03	7.4832	39.073685	0.000460	4.603678	0.779884	1.802225
  20	1.9000e-03	7.8781	40.839501	0.000451	4.510675	0.764129	1.765816
  21	2.0000e-03	8.2846	43.227903	0.000610	6.101036	1.033544	2.388403
  22	2.1000e-03	8.6789	44.644197	0.000362	3.617840	0.612879	1.416294
  23	2.2000e-03	9.0872	46.202484	0.000398	3.980554	0.674324	1.558287
  24	2.3000e-03	9.4794	47.731644	0.000391	3.906151	0.661720	1.529160
  25	2.4000e-03	9.8782	49.315417	0.000405	4.045657	0.685353	1.583773
  26	2.5000e-03	9.6982	51.456242	-0.000547	-5.468612	-0.926408	2.140824
  27	2.6000e-03	9.3228	49.541151	0.000489	4.891989	0.828725	-1.915091
  28	2.7000e-03	8.9426	46.075054	0.000885	8.853943	1.499899	-3.466097
  29	2.8000e-03	8.4946	44.534971	0.000393	3.934052	0.666447	-1.540083
  30	2.9000e-03	8.0875	44.083505	0.000115	1.153245	0.195365	-0.451466
  31	3.0000e-03	7.7084	43.340770	0.000190	1.897273	0.321407	-0.742735
  32	3.1000e-03	7.2961	40.744838	0.000663	6.631157	1.123348	-2.595932
  33	3.2000e-03	6.8954	38.680472	0.000527	5.273304	0.893322	-2.064366
  34	3.3000e-03	6.4951	37.289665	0.000355	3.552738	0.601850	-1.390808
  35	3.4000e-03	6.0983	35.840603	0.000370	3.701543	0.627058	-1.449061
  36	3.5000e-03	5.7205	34.489845	0.000345	3.450434	0.584519	-1.350758
  37	3.6000e-03	5.3140	32.210668	0.000582	5.822025	0.986278	-2.279177
  38	3.7000e-03	4.9072	30.270091	0.000496	4.957092	0.839754	-1.940577
  39	3.8000e-03	4.5090	28.387767	0.000481	4.808286	0.814546	-1.882323
  40	3.9000e-03	4.1113	26.418063	0.000503	5.031495	0.852358	-1.969704
  41	4.0000e-03	3.7076	24.896185	0.000389	3.887551	0.658569	-1.521879
  42	4.1000e-03	3.3231	22.522346	0.000606	6.063835	1.027241	-2.373839
  43	4.2000e-03	2.9062	20.377881	0.000548	5.477912	0.927983	-2.144465
  44	4.3000e-03	2.5076	18.204288	0.000555	5.552315	0.940588	-2.173592
  45	4.4000e-03	2.1207	16.045260	0.000552	5.515114	0.934286	-2.159029
  46	4.5000e-03	1.7180	14.210268	0.000469	4.687382	0.794064	-1.834992
  47	4.6000e-03	1.3129	11.774534	0.000622	6.221941	1.054025	-2.435734
  48	4.7000e-03	0.9264	9.371568	0.000614	6.138238	1.039846	-2.402966
  49	4.8000e-03	0.5163	7.081468	0.000585	5.849927	0.991004	-2.290099
  50	4.9000e-03	0.1220	4.805932	0.000581	5.812725	0.984702	-2.275536
  51	5.0000e-03	-0.2876	2.635981	0.000554	5.543015	0.939012	-2.169951
  52	5.1000e-03	-0.6754	0.182043	0.000627	6.268443	1.061903	-2.453938
  53	5.2000e-03	-1.0793	-2.133543	0.000592	5.915029	1.002033	-2.315585
  54	5.3000e-03	-1.4860	-4.405438	0.000580	5.803425	0.983127	-2.271895
  55	5.4000e-03	-1.8763	-6.764714	0.000603	6.026633	1.020939	-2.359276
  56	5.5000e-03	-2.2779	-9.120349	0.000602	6.017333	1.019364	-2.355635
  57	5.6000e-03	-2.6861	-11.348553	0.000569	5.691820	0.964220	-2.228205
  58	5.7000e-03	-3.0747	-13.602244	0.000576	5.756923	0.975249	-2.253691
  59	5.8000e-03	-3.4818	-15.786759	0.000558	5.580216	0.945314	-2.184515
  60	5.9000e-03	-3.8853	-17.942147	0.000551	5.505813	0.932710	-2.155388
  61	6.0000e-03	-4.2722	-20.432493	0.000636	6.361446	1.077658	-2.490347
  62	6.1000e-03	-4.6821	-22.409479	0.000505	5.050096	0.855509	-1.976986
  63	6.2000e-03	-5.0852	-24.437437	0.000518	5.180301	0.877567	-2.027958
  64	6.3000e-03	-5.4774	-26.487240	0.000524	5.236103	0.887020	-2.049803
  65	6.4000e-03	-5.8836	-28.482430	0.000510	5.096597	0.863387	-1.995190
  66	6.5000e-03	-6.2809	-30.841706	0.000603	6.026633	1.020939	-2.359276
  67	6.6000e-03	-6.6752	-32.694902	0.000473	4.733883	0.801942	-1.853197
  68	6.7000e-03	-7.0792	-34.573585	0.000480	4.798986	0.812970	-1.878683
  69	6.8000e-03	-7.4784	-36.576056	0.000512	5.115198	0.866538	-2.002472
  70	6.9000e-03	-7.8684	-38.600373	0.000517	5.171000	0.875991	-2.024317
  71	7.0000e-03	-8.2743	-41.145333	0.000650	6.500952	1.101291	-2.544960
  72	7.1000e-03	-8.6671	-42.914790	0.000452	4.519975	0.765704	-1.769457
  73	7.2000e-03	-9.0739	-44.833522	0.000490	4.901290	0.830301	-1.918732
  74	7.3000e-03	-9.4596	-46.825071	0.000509	5.087297	0.861811	-1.991549
  75	7.4000e-03	-9.8606	-48.863951	0.000521	5.208202	0.882293	-2.038880
  76	7.5000e-03	-9.7147	-51.456242	-0.000662	-6.621856	-1.121773	-2.592291
  77	7.6000e-03	-9.3241	-50.145533	0.000335	3.348130	0.567189	1.310709
  78	7.7000e-03	-8.9542	-46.901529	0.000829	8.286621	1.403792	3.244004
  79	7.8000e-03	-8.5087	-45.230375	0.000427	4.268865	0.723165	1.671154
  80	7.9000e-03	-8.0903	-44.837163	0.000100	1.004439	0.170157	0.393213
  81	8.0000e-03	-7.7116	-44.276470	0.000143	1.432255	0.242631	0.560692
  82	8.1000e-03	-7.3264	-41.724229	0.000652	6.519552	1.104442	2.552241
  83	8.2000e-03	-6.9181	-39.783652	0.000496	4.957092	0.839754	1.940577
  84	8.3000e-03	-6.5083	-38.407408	0.000352	3.515536	0.595548	1.376244
  85	8.4000e-03	-6.1143	-36.907374	0.000383	3.831748	0.649116	1.500033
  86	8.5000e-03	-5.7279	-35.804195	0.000282	2.818009	0.477384	1.103180
  87	8.6000e-03	-5.3202	-33.466764	0.000597	5.970831	1.011486	2.337431
  88	8.7000e-03	-4.9110	-31.580800	0.000482	4.817587	0.816121	1.885964
  89	8.8000e-03	-4.5182	-29.669349	0.000488	4.882689	0.827150	1.911450
  90	8.9000e-03	-4.1248	-27.783385	0.000482	4.817587	0.816121	1.885964
  91	9.0000e-03	-3.7132	-26.629233	0.000295	2.948214	0.499441	1.154152
  92	9.1000e-03	-3.3268	-24.157091	0.000631	6.314945	1.069781	2.472142
  93	9.2000e-03	-2.9154	-22.023548	0.000545	5.450011	0.923257	2.133543
  94	9.3000e-03	-2.5211	-19.864520	0.000552	5.515114	0.934286	2.159029
  95	9.4000e-03	-2.1281	-17.763745	0.000537	5.366308	0.909077	2.100775
  96	9.5000e-03	-1.7219	-16.463959	0.000332	3.320229	0.562462	1.299786
  97	9.6000e-03	-1.3165	-13.813414	0.000677	6.770662	1.146981	2.650544
  98	9.7000e-03	-0.9324	-11.457779	0.000602	6.017333	1.019364	2.355635
  99	9.8000e-03	-0.5152	-9.215011	0.000573	5.729022	0.970523	2.242768
 100	9.9000e-03	-0.1221	-6.979524	0.000571	5.710421	0.967372	2.235487
 101	1.0000e-02	-0.0323	-5.512259	0.000571	5.710421	0.967372	1.467266

PMax (uC/cm2):	4.83e+01
Pr (uC/cm2):	3.18e+00
-Pr (uC/cm2):	-6.50e+00
PLoss (uC/cm2):	-6.55e+00
-Vc:	-5.49e-01
C (Max-Eff) (nF):	4.89e-01
K (Eff):	8.29e+02
Vert. (+/-Pr) Shift (uC/cm2):	-1.66e+00
Offset (uC/cm2):	-9.83e-01

A (Loop Area - uC/cm2·Volts):	-2.40e+00



Hysteresis Version: 5.48.1 - Radiant Technologies, Inc., 1999 - 9/12/24

