»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 13:41:34
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 01:40:20 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2984	2.890841	0.000417	4.168300	0.706129	1.631104
   2	1.0000e-04	0.7016	4.521945	0.000417	4.168300	0.706129	1.631104
   3	2.0000e-04	1.0767	6.877580	0.000602	6.019844	1.019789	2.355635
   4	3.0000e-04	1.5105	8.435867	0.000398	3.982215	0.674605	1.558287
   5	4.0000e-04	1.9019	9.597301	0.000297	2.968053	0.502802	1.161434
   6	5.0000e-04	2.2861	11.272095	0.000428	4.279951	0.725043	1.674795
   7	6.0000e-04	2.6950	12.986939	0.000438	4.382297	0.742381	1.714844
   8	7.0000e-04	3.0847	14.745474	0.000449	4.493948	0.761295	1.758534
   9	8.0000e-04	3.4879	16.376578	0.000417	4.168300	0.706129	1.631104
  10	9.0000e-04	3.8901	18.029527	0.000422	4.224125	0.715586	1.652949
  11	1.0000e-03	4.2783	20.283218	0.000576	5.759325	0.975656	2.253691
  12	1.1000e-03	4.6890	21.954372	0.000427	4.270646	0.723467	1.671154
  13	1.2000e-03	5.0888	23.738392	0.000456	4.559078	0.772329	1.784020
  14	1.3000e-03	5.4764	25.500567	0.000450	4.503252	0.762872	1.762175
  15	1.4000e-03	5.8890	27.288228	0.000457	4.568382	0.773905	1.787661
  16	1.5000e-03	6.2842	29.840470	0.000652	6.522273	1.104903	2.552241
  17	1.6000e-03	6.6782	31.391475	0.000396	3.963606	0.671453	1.551005
  18	1.7000e-03	7.0840	32.986171	0.000408	4.075257	0.690367	1.594696
  19	1.8000e-03	7.4887	34.697374	0.000437	4.372993	0.740805	1.711203
  20	1.9000e-03	7.8809	36.353964	0.000423	4.233429	0.717162	1.656590
  21	2.0000e-03	8.2883	38.938973	0.000661	6.606011	1.119089	2.585009
  22	2.1000e-03	8.6777	40.253323	0.000336	3.358831	0.569001	1.314350
  23	2.2000e-03	9.0891	41.749715	0.000382	3.824043	0.647810	1.496393
  24	2.3000e-03	9.4775	43.267953	0.000388	3.879868	0.657267	1.518238
  25	2.4000e-03	9.8752	44.727937	0.000373	3.731000	0.632049	1.459984
  26	2.5000e-03	9.6933	47.170952	-0.000624	-6.243145	-1.057617	2.443016
  27	2.6000e-03	9.3021	45.434263	0.000444	4.438123	0.751838	-1.736689
  28	2.7000e-03	8.9084	43.074987	0.000603	6.029148	1.021365	-2.359276
  29	2.8000e-03	8.4897	42.219386	0.000219	2.186497	0.370403	-0.855602
  30	2.9000e-03	8.0972	41.476651	0.000190	1.898065	0.321541	-0.742735
  31	3.0000e-03	7.7005	41.032466	0.000114	1.135117	0.192294	-0.444185
  32	3.1000e-03	7.2748	39.077326	0.000500	4.996377	0.846409	-1.955141
  33	3.2000e-03	6.8875	37.624623	0.000371	3.712392	0.628896	-1.452702
  34	3.3000e-03	6.4963	36.357605	0.000324	3.237876	0.548511	-1.267018
  35	3.4000e-03	6.0989	34.908544	0.000370	3.703088	0.627320	-1.449061
  36	3.5000e-03	5.7080	34.234985	0.000172	1.721285	0.291593	-0.673559
  37	3.6000e-03	5.2988	32.425479	0.000462	4.624208	0.783362	-1.809506
  38	3.7000e-03	4.9051	30.801656	0.000415	4.149691	0.702977	-1.623823
  39	3.8000e-03	4.5029	29.137784	0.000425	4.252038	0.720315	-1.663872
  40	3.9000e-03	4.1046	27.430222	0.000436	4.363689	0.739229	-1.707562
  41	4.0000e-03	3.6954	26.640156	0.000202	2.019020	0.342031	-0.790066
  42	4.1000e-03	3.3109	24.601275	0.000521	5.210375	0.882661	-2.038880
  43	4.2000e-03	2.8983	22.759001	0.000471	4.707946	0.797548	-1.842274
  44	4.3000e-03	2.5027	20.949495	0.000462	4.624208	0.783362	-1.809506
  45	4.4000e-03	2.1092	19.107221	0.000471	4.707946	0.797548	-1.842274
  46	4.5000e-03	1.7123	17.923942	0.000302	3.023878	0.512259	-1.183279
  47	4.6000e-03	1.3017	15.812245	0.000540	5.396460	0.914185	-2.111697
  48	4.7000e-03	0.9155	13.791569	0.000516	5.163854	0.874780	-2.020676
  49	4.8000e-03	0.5054	11.840069	0.000499	4.987073	0.844833	-1.951500
  50	4.9000e-03	0.1109	9.921337	0.000490	4.903335	0.830647	-1.918732
  51	5.0000e-03	-0.2943	8.253824	0.000426	4.261342	0.721891	-1.667513
  52	5.1000e-03	-0.6868	6.182176	0.000529	5.294113	0.896847	-2.071648
  53	5.2000e-03	-1.0877	4.110528	0.000529	5.294113	0.896847	-2.071648
  54	5.3000e-03	-1.4902	2.082571	0.000518	5.182462	0.877933	-2.027958
  55	5.4000e-03	-1.8827	0.032768	0.000524	5.238287	0.887390	-2.049803
  56	5.5000e-03	-2.2803	-1.995190	0.000518	5.182462	0.877933	-2.027958
  57	5.6000e-03	-2.6878	-4.092324	0.000536	5.359243	0.907880	-2.097134
  58	5.7000e-03	-3.0793	-6.247712	0.000551	5.508110	0.933099	-2.155388
  59	5.8000e-03	-3.4837	-8.443149	0.000561	5.610457	0.950437	-2.195437
  60	5.9000e-03	-3.8850	-10.543924	0.000537	5.368547	0.909456	-2.100775
  61	6.0000e-03	-4.2728	-13.074320	0.000647	6.466447	1.095446	-2.530396
  62	6.1000e-03	-4.6799	-15.080433	0.000513	5.126637	0.868476	-2.006113
  63	6.2000e-03	-5.0828	-17.203053	0.000542	5.424372	0.918914	-2.122620
  64	6.3000e-03	-5.4716	-19.427617	0.000568	5.684891	0.963047	-2.224564
  65	6.4000e-03	-5.8799	-21.586645	0.000552	5.517415	0.934675	-2.159029
