»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:23:59
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:22:44 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2972	3.325924	0.000505	5.049968	0.855488	1.973345
   2	1.0000e-04	0.6798	5.299268	0.000505	5.049968	0.855488	1.973345
   3	2.0000e-04	1.0251	9.300571	0.001024	10.239695	1.734651	4.001303
   4	3.0000e-04	1.4621	12.970556	0.000939	9.391822	1.591018	3.669985
   5	4.0000e-04	1.8903	15.242451	0.000581	5.813985	0.984916	2.271895
   6	5.0000e-04	2.2905	17.092006	0.000473	4.733180	0.801822	1.849556
   7	6.0000e-04	2.6810	18.835977	0.000446	4.462979	0.756049	1.743971
   8	7.0000e-04	3.0487	21.654001	0.000721	7.211578	1.221674	2.818024
   9	8.0000e-04	3.4604	24.759653	0.000795	7.947643	1.346367	3.105652
  10	9.0000e-04	3.8712	27.526705	0.000708	7.081136	1.199577	2.767052
  11	1.0000e-03	4.2679	30.585025	0.000783	7.826518	1.325848	3.058320
  12	1.1000e-03	4.6729	32.623905	0.000522	5.217679	0.883899	2.038880
  13	1.2000e-03	5.0699	35.055998	0.000622	6.223946	1.054365	2.432093
  14	1.3000e-03	5.4544	37.732029	0.000685	6.848204	1.160117	2.676030
  15	1.4000e-03	5.8713	40.266066	0.000648	6.484829	1.098560	2.534037
  16	1.5000e-03	6.2677	43.630218	0.000861	8.609170	1.458433	3.364153
  17	1.6000e-03	6.6672	45.614486	0.000508	5.077920	0.860223	1.984267
  18	1.7000e-03	7.0688	47.729824	0.000541	5.413342	0.917045	2.115338
  19	1.8000e-03	7.4722	49.990797	0.000579	5.786033	0.980181	2.260973
  20	1.9000e-03	7.8653	52.317305	0.000595	5.953744	1.008592	2.326508
  21	2.0000e-03	8.2742	55.535823	0.000824	8.236479	1.395297	3.218518
  22	2.1000e-03	8.6691	57.196054	0.000425	4.248681	0.719746	1.660231
  23	2.2000e-03	9.0793	59.118427	0.000492	4.919526	0.833390	1.922373
  24	2.3000e-03	9.4656	61.073567	0.000500	5.003381	0.847596	1.955141
  25	2.4000e-03	9.8654	63.072398	0.000512	5.115189	0.866536	1.998831
