»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:21:47
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:21:09 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e+00
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2001

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0008	3.006675	0.000525	5.250098	0.889391	0.020972
   2	5.0000e-04	0.0110	3.111536	0.000525	5.250098	0.889391	0.020972
   3	1.0000e-03	0.0280	3.236562	0.000626	6.259732	1.060427	0.025005
   4	1.5000e-03	0.0485	3.385786	0.000747	7.471293	1.265671	0.029845
   5	2.0000e-03	0.0681	3.474514	0.000444	4.442391	0.752561	0.017746
   6	2.5000e-03	0.0877	3.579375	0.000525	5.250098	0.889391	0.020972
   7	3.0000e-03	0.1077	3.724567	0.000727	7.269366	1.231464	0.029038
   8	3.5000e-03	0.1282	3.833460	0.000545	5.452025	0.923598	0.021779
   9	4.0000e-03	0.1470	4.027049	0.000969	9.692488	1.641952	0.038718
  10	4.5000e-03	0.1683	4.152075	0.000626	6.259732	1.060427	0.025005
  11	5.0000e-03	0.1865	4.260969	0.000545	5.452025	0.923598	0.021779
  12	5.5000e-03	0.2070	4.373895	0.000565	5.653952	0.957805	0.022585
  13	6.0000e-03	0.2281	4.519087	0.000727	7.269366	1.231464	0.029038
  14	6.5000e-03	0.2470	4.587650	0.000343	3.432756	0.581525	0.013713
  15	7.0000e-03	0.2671	4.732841	0.000727	7.269366	1.231464	0.029038
  16	7.5000e-03	0.2872	4.894165	0.000808	8.077074	1.368293	0.032265
  17	8.0000e-03	0.3087	5.051456	0.000788	7.875147	1.334086	0.031458
  18	8.5000e-03	0.3278	5.156317	0.000525	5.250098	0.889391	0.020972
  19	9.0000e-03	0.3483	5.265210	0.000545	5.452025	0.923598	0.021779
  20	9.5000e-03	0.3673	5.370071	0.000525	5.250098	0.889391	0.020972
  21	1.0000e-02	0.3880	5.523329	0.000767	7.673220	1.299879	0.030652
  22	1.0500e-02	0.4082	5.644321	0.000606	6.057805	1.026220	0.024199
  23	1.1000e-02	0.4277	5.797579	0.000767	7.673220	1.299879	0.030652
  24	1.1500e-02	0.4476	5.906473	0.000545	5.452025	0.923598	0.021779
  25	1.2000e-02	0.4675	6.043598	0.000687	6.865513	1.163049	0.027425
