»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:22:32
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:22:00 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	-0.0009	23.496130	0.000689	6.891648	1.167477	0.000138
   2	9.9500e-02	0.0199	23.633393	0.000689	6.891648	1.167477	0.000138
   3	1.9900e-01	0.0386	23.774692	0.000709	7.094344	1.201814	0.000142
   4	2.9850e-01	0.0593	23.871584	0.000486	4.864693	0.824101	0.000097
   5	3.9800e-01	0.0784	24.004809	0.000669	6.688952	1.133139	0.000134
   6	4.9750e-01	0.0989	24.150146	0.000730	7.297039	1.236152	0.000146
   7	5.9700e-01	0.1187	24.279334	0.000649	6.486257	1.098802	0.000130
   8	6.9650e-01	0.1389	24.412560	0.000669	6.688952	1.133139	0.000134
   9	7.9600e-01	0.1589	24.537711	0.000628	6.283561	1.064464	0.000126
  10	8.9550e-01	0.1775	24.658825	0.000608	6.080866	1.030127	0.000122
  11	9.9500e-01	0.1984	24.783976	0.000628	6.283561	1.064464	0.000126
  12	1.0945e+00	0.2190	24.925276	0.000709	7.094344	1.201814	0.000142
  13	1.1940e+00	0.2395	25.066576	0.000709	7.094344	1.201814	0.000142
  14	1.2935e+00	0.2592	25.199801	0.000669	6.688952	1.133139	0.000134
  15	1.3930e+00	0.2779	25.337064	0.000689	6.891648	1.167477	0.000138
  16	1.4925e+00	0.2980	25.470289	0.000669	6.688952	1.133139	0.000134
  17	1.5920e+00	0.3181	25.595441	0.000628	6.283561	1.064464	0.000126
  18	1.6915e+00	0.3386	25.724629	0.000649	6.486257	1.098802	0.000130
  19	1.7910e+00	0.3577	25.906300	0.000912	9.121299	1.545190	0.000183
  20	1.8905e+00	0.3784	26.007228	0.000507	5.067388	0.858439	0.000101
  21	1.9900e+00	0.3971	26.144491	0.000689	6.891648	1.167477	0.000138
  22	2.0895e+00	0.4171	26.277717	0.000669	6.688952	1.133139	0.000134
  23	2.1890e+00	0.4372	26.451313	0.000872	8.715908	1.476515	0.000174
  24	2.2885e+00	0.4574	26.568390	0.000588	5.878170	0.995789	0.000118
  25	2.3880e+00	0.4775	26.677393	0.000547	5.472779	0.927114	0.000110
