»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/1/2025 - 14:44:59
Configured:	07/01/25 10:49:51 AM
Executed:	07/01/25 02:44:25 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.19 [Index: 3]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-22
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	2.00e+02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	2009

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.0001	17.716970	0.000831	8.310105	1.407770	0.000166
   2	9.9500e-02	0.0189	17.882493	0.000831	8.310105	1.407770	0.000166
   3	1.9900e-01	0.0385	18.088387	0.001034	10.336959	1.751128	0.000207
   4	2.9850e-01	0.0591	18.221612	0.000669	6.688621	1.133083	0.000134
   5	3.9800e-01	0.0806	18.411358	0.000953	9.526217	1.613785	0.000191
   6	4.9750e-01	0.0993	18.572843	0.000811	8.107419	1.373434	0.000162
   7	5.9700e-01	0.1191	18.758551	0.000932	9.323532	1.579449	0.000187
   8	6.9650e-01	0.1395	18.936185	0.000892	8.918161	1.510777	0.000179
   9	7.9600e-01	0.1587	19.121893	0.000932	9.323532	1.579449	0.000187
  10	8.9550e-01	0.1785	19.299527	0.000892	8.918161	1.510777	0.000179
  11	9.9500e-01	0.1982	19.465050	0.000831	8.310105	1.407770	0.000166
  12	1.0945e+00	0.2185	19.654795	0.000953	9.526217	1.613785	0.000191
  13	1.1940e+00	0.2386	19.824355	0.000851	8.512790	1.442106	0.000170
  14	1.2935e+00	0.2586	20.006026	0.000912	9.120846	1.545113	0.000183
  15	1.3930e+00	0.2784	20.195772	0.000953	9.526217	1.613785	0.000191
  16	1.4925e+00	0.2976	20.353220	0.000790	7.904734	1.339098	0.000158
  17	1.5920e+00	0.3177	20.575262	0.001115	11.147701	1.888472	0.000223
  18	1.6915e+00	0.3379	20.740785	0.000831	8.310105	1.407770	0.000166
  19	1.7910e+00	0.3577	20.894196	0.000770	7.702048	1.304762	0.000154
  20	1.8905e+00	0.3780	21.092016	0.000993	9.931588	1.682457	0.000199
  21	1.9900e+00	0.3971	21.249464	0.000790	7.904734	1.339098	0.000158
  22	2.0895e+00	0.4179	21.443246	0.000973	9.728903	1.648121	0.000195
  23	2.1890e+00	0.4375	21.608769	0.000831	8.310105	1.407770	0.000166
  24	2.2885e+00	0.4576	21.810626	0.001013	10.134274	1.716792	0.000203
  25	2.3880e+00	0.4787	21.976148	0.000831	8.310105	1.407770	0.000166
