»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/2/2025 - 14:1:33
Configured:	07/02/25 01:35:59 PM
Executed:	07/02/25 02:00:15 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-220
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.3009	3.049218	0.000468	4.684770	0.793622	1.834992
   2	1.0000e-04	0.6903	4.884211	0.000468	4.684770	0.793622	1.834992
   3	2.0000e-04	1.0480	8.364871	0.000889	8.886191	1.505362	3.480660
   4	3.0000e-04	1.5006	10.749632	0.000609	6.088342	1.031393	2.384762
   5	4.0000e-04	1.9168	11.918348	0.000298	2.983753	0.505461	1.168715
   6	5.0000e-04	2.2931	13.327360	0.000360	3.597234	0.609388	1.409012
   7	6.0000e-04	2.6843	15.355317	0.000518	5.177415	0.877078	2.027958
   8	7.0000e-04	3.0688	17.907559	0.000652	6.515921	1.103827	2.552241
   9	8.0000e-04	3.4897	19.928235	0.000516	5.158824	0.873929	2.020676
  10	9.0000e-04	3.9008	21.464677	0.000392	3.922566	0.664501	1.536442
  11	1.0000e-03	4.2874	23.674677	0.000564	5.642174	0.955810	2.210001
  12	1.1000e-03	4.6887	25.451416	0.000454	4.536047	0.768427	1.776739
  13	1.2000e-03	5.0882	27.472092	0.000516	5.158824	0.873929	2.020676
  14	1.3000e-03	5.4840	29.318007	0.000471	4.712656	0.798346	1.845915
  15	1.4000e-03	5.8975	30.879935	0.000399	3.987632	0.675523	1.561928
  16	1.5000e-03	6.2903	33.250133	0.000605	6.051162	1.025095	2.370198
  17	1.6000e-03	6.6882	34.808420	0.000398	3.978337	0.673948	1.558287
  18	1.7000e-03	7.0883	36.377630	0.000401	4.006222	0.678672	1.569210
  19	1.8000e-03	7.4939	38.008734	0.000416	4.164240	0.705441	1.631104
  20	1.9000e-03	7.8857	39.541535	0.000391	3.913270	0.662926	1.532801
  21	2.0000e-03	8.2959	41.758817	0.000566	5.660764	0.958959	2.217282
  22	2.1000e-03	8.6877	42.971223	0.000310	3.095295	0.524357	1.212406
  23	2.2000e-03	9.0973	44.354749	0.000353	3.532168	0.598365	1.383526
  24	2.3000e-03	9.4873	45.778324	0.000363	3.634415	0.615687	1.423575
  25	2.4000e-03	9.8831	47.103596	0.000338	3.383445	0.573171	1.325272
  26	2.5000e-03	9.6954	49.095146	-0.000508	-5.084463	-0.861331	1.991549
  27	2.6000e-03	9.3228	46.848736	0.000574	5.735126	0.971557	-2.246409
  28	2.7000e-03	8.9264	43.677549	0.000810	8.096101	1.371517	-3.171187
  29	2.8000e-03	8.4738	42.894765	0.000200	1.998464	0.338549	-0.782784
  30	2.9000e-03	8.0917	42.661750	0.000059	0.594891	0.100777	-0.233015
  31	3.0000e-03	7.7127	41.536725	0.000287	2.872210	0.486566	-1.125025
  32	3.1000e-03	7.2870	38.864335	0.000682	6.822662	1.155790	-2.672390
  33	3.2000e-03	6.8802	37.364302	0.000383	3.829614	0.648754	-1.500033
  34	3.3000e-03	6.4886	36.515982	0.000217	2.165777	0.366893	-0.848320
  35	3.4000e-03	6.1044	34.859392	0.000423	4.229307	0.716464	-1.656590
  36	3.5000e-03	5.7144	33.450380	0.000360	3.597234	0.609388	-1.409012
  37	3.6000e-03	5.3000	31.400577	0.000523	5.233186	0.886526	-2.049803
  38	3.7000e-03	4.8981	29.885980	0.000387	3.866795	0.655053	-1.514597
  39	3.8000e-03	4.5059	28.149291	0.000443	4.433800	0.751106	-1.736689
  40	3.9000e-03	4.1138	26.186869	0.000501	5.010102	0.848734	-1.962422
  41	4.0000e-03	3.6991	24.752371	0.000366	3.662301	0.620411	-1.434498
  42	4.1000e-03	3.3099	22.655237	0.000535	5.354023	0.906996	-2.097134
  43	4.2000e-03	2.8970	20.743787	0.000488	4.879969	0.826689	-1.911450
  44	4.3000e-03	2.5061	18.755878	0.000508	5.075168	0.859757	-1.987908
  45	4.4000e-03	2.1202	16.622336	0.000545	5.446975	0.922743	-2.133543
  46	4.5000e-03	1.7119	14.998513	0.000415	4.145650	0.702292	-1.623823
  47	4.6000e-03	1.3071	12.715696	0.000583	5.828077	0.987303	-2.282818
  48	4.7000e-03	0.9161	10.534822	0.000557	5.567812	0.943213	-2.180874
  49	4.8000e-03	0.5103	8.419483	0.000540	5.400499	0.914869	-2.115338
  50	4.9000e-03	0.1167	6.267737	0.000549	5.493451	0.930616	-2.151747
  51	5.0000e-03	-0.2991	4.243420	0.000517	5.168120	0.875503	-2.024317
  52	5.1000e-03	-0.6812	2.011574	0.000570	5.697945	0.965258	-2.231846
  53	5.2000e-03	-1.0851	-0.187504	0.000561	5.614288	0.951086	-2.199078
  54	5.3000e-03	-1.4883	-2.328328	0.000547	5.465565	0.925892	-2.140824
  55	5.4000e-03	-1.8815	-4.505561	0.000556	5.558517	0.941638	-2.177233
  56	5.5000e-03	-2.2823	-6.751971	0.000574	5.735126	0.971557	-2.246409
  57	5.6000e-03	-2.6887	-8.823619	0.000529	5.288957	0.895974	-2.071648
  58	5.7000e-03	-3.0839	-10.946239	0.000542	5.419089	0.918019	-2.122620
  59	5.8000e-03	-3.4849	-13.097986	0.000549	5.493451	0.930616	-2.151747
  60	5.9000e-03	-3.8898	-15.162352	0.000527	5.270367	0.892824	-2.064366
  61	6.0000e-03	-4.2796	-17.565318	0.000613	6.134818	1.039266	-2.402966
  62	6.1000e-03	-4.6839	-19.520459	0.000499	4.991511	0.845585	-1.955141
  63	6.2000e-03	-5.0831	-21.694051	0.000555	5.549222	0.940064	-2.173592
  64	6.3000e-03	-5.4731	-23.936819	0.000573	5.725830	0.969982	-2.242768
