»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Executed Version:	5.48.1
»»»  Vision Version:	5.48.4 (R)
»»»  Vision Compiled:	9/18/24
»»»  Driver Version:	5.47.0
»»»  Windows Version:	Windows 8 or 8.1
»»»  Processor Information:	x86 (AMD or Intel) - 32 Processors
»»»  Tester Name:	PMF21124-494 (100V)
»»»  Tester S/N:	PMF21124-494
»»»  Internal Amp Type:	100V RevK 270k
»»»  Internal Amp S/N:	iAB2-596/K     
»»»  Execution Count:	1
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:	7/2/2025 - 16:38:33
Configured:	07/02/25 01:35:59 PM
Executed:	07/02/25 04:37:18 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:	
Lot Name:	
Wafer Name:	
Die Row/Column:	0/0
Capacitor Number:	0
Sample Area (cm2):	1.00e-04
Sample Thickness (microns):	1.50e-01

Amplifier:	Internal

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:	PMF21124-494 (100V)
Tester Serial Number:	PMF21124-494
Return Signal Amp. Level:	0.2 [Index: 1]

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:	Hyst-220
Volts:	10.00
Field:	666.67 (kV/cm)
DCBias:	0.00
DCField:	0.00 (kV/cm)
Hysteresis Period (ms):	1.00e-02
Preset:	Enabled
Preset Delay (ms):	1.00e+03
Profile:	Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:	101

Valid Data

Point	Time (ms)	Drive Voltage	Measured Polarization (uC/cm2)	Capacitance (uF)	Normalized Capacitance (uF/cm2)	Dielectric Constant	Instantaneous Current (mA)
   1	0.0000e+00	0.2977	4.248881	0.000449	4.490612	0.760730	1.758534
   2	1.0000e-04	0.6964	6.007415	0.000449	4.490612	0.760730	1.758534
   3	2.0000e-04	1.0655	8.898256	0.000738	7.382083	1.250559	2.890841
   4	3.0000e-04	1.5118	10.594896	0.000433	4.332558	0.733955	1.696640
   5	4.0000e-04	1.9120	11.574287	0.000250	2.500983	0.423678	0.979391
   6	5.0000e-04	2.2812	13.092524	0.000388	3.876988	0.656780	1.518238
   7	6.0000e-04	2.6859	15.156891	0.000527	5.271588	0.893031	2.064366
   8	7.0000e-04	3.0823	17.272229	0.000540	5.401751	0.915081	2.115338
   9	8.0000e-04	3.4940	18.870565	0.000408	4.081530	0.691430	1.598337
  10	9.0000e-04	3.8907	20.476184	0.000410	4.100124	0.694580	1.605618
  11	1.0000e-03	4.2758	22.722593	0.000574	5.736455	0.971782	2.246409
  12	1.1000e-03	4.6851	24.601275	0.000480	4.797424	0.812706	1.878683
  13	1.2000e-03	5.0864	26.428986	0.000467	4.667262	0.790656	1.827711
  14	1.3000e-03	5.4779	28.216647	0.000456	4.564991	0.773330	1.787661
  15	1.4000e-03	5.8896	29.982463	0.000451	4.509207	0.763880	1.765816
  16	1.5000e-03	6.2848	32.349021	0.000604	6.043267	1.023757	2.366558
  17	1.6000e-03	6.6806	33.936435	0.000405	4.053638	0.686705	1.587414
  18	1.7000e-03	7.0877	35.560257	0.000415	4.146611	0.702455	1.623823
  19	1.8000e-03	7.4875	37.180439	0.000414	4.137314	0.700880	1.620182
  20	1.9000e-03	7.8799	38.862515	0.000430	4.295368	0.727655	1.682076
  21	2.0000e-03	8.2861	41.061593	0.000562	5.615590	0.951307	2.199078
  22	2.1000e-03	8.6813	42.350457	0.000329	3.291256	0.557554	1.288864
  23	2.2000e-03	9.0903	43.792236	0.000368	3.681744	0.623704	1.441780
  24	2.3000e-03	9.4800	45.255861	0.000374	3.737528	0.633154	1.463625
  25	2.4000e-03	9.8795	46.657591	0.000358	3.579474	0.606379	1.401730
  26	2.5000e-03	9.6994	48.616373	-0.000500	-5.001966	-0.847356	1.958781
  27	2.6000e-03	9.3161	46.686718	0.000493	4.927587	0.834756	-1.929655
  28	2.7000e-03	8.9096	44.032533	0.000678	6.777757	1.148183	-2.654185
  29	2.8000e-03	8.4818	43.519172	0.000131	1.310924	0.222077	-0.513361
  30	2.9000e-03	8.1046	43.089551	0.000110	1.097085	0.185851	-0.429621
  31	3.0000e-03	7.7133	41.888068	0.000307	3.068120	0.519754	-1.201483
  32	3.1000e-03	7.2803	39.849187	0.000521	5.206507	0.882006	-2.038880
  33	3.2000e-03	6.8784	38.680472	0.000298	2.984444	0.505579	-1.168715
  34	3.3000e-03	6.5012	37.613701	0.000272	2.724119	0.461478	-1.066771
  35	3.4000e-03	6.0989	36.033569	0.000404	4.035043	0.683555	-1.580132
  36	3.5000e-03	5.7101	34.923107	0.000284	2.835687	0.480378	-1.110462
  37	3.6000e-03	5.2988	33.284721	0.000418	4.183800	0.708755	-1.638386
  38	3.7000e-03	4.9033	31.762843	0.000389	3.886286	0.658355	-1.521879
  39	3.8000e-03	4.5068	30.047999	0.000438	4.379044	0.741830	-1.714844
